time,posX,posY,posZ,rotX,rotY,rotZ,forX,forY,forZ,angle,miss,out,outf
0.01626205,0.006418705,1.496531,4.15895,-0.4845581,-0.04629517,-0.1479797,-0.0008079361,0.008456909,0.9999639,31.97897,0,0,1964
0.03626251,0.006298542,1.496554,4.158898,-0.5017395,-0.08297729,-0.08334351,-0.001448255,0.008756666,0.9999606,0.04423466,0,0,1964
0.05625916,0.006202221,1.496569,4.158877,-0.4909363,-0.1043396,-0.07302856,-0.001820864,0.008568449,0.9999616,0.01978234,0,0,1964
0.07625961,0.00611043,1.496581,4.158853,-0.5125427,-0.1317749,-0.05899048,-0.002299938,0.00894559,0.9999573,0,0,0,1964
0.09626007,0.005852938,1.496608,4.158802,-0.5355225,-0.1881104,-0.04772949,-0.003282982,0.009346309,0.9999509,0.04423466,0,0,1964
0.1162605,0.005727887,1.496614,4.158772,-0.5349731,-0.2059326,-0.0569458,-0.003594061,0.009337172,0.9999499,0.09891172,0,0,1964
0.136261,0.005642533,1.496612,4.158764,-0.5289307,-0.2109985,-0.06692505,-0.003682554,0.009231346,0.9999506,0.1203313,0,0,1964
0.1562614,0.005452037,1.496582,4.158715,-0.5333252,-0.2187805,-0.04138184,-0.003818492,0.009308134,0.9999494,0.1282043,0,0,1964
0.1762619,0.0052706,1.496552,4.158622,-0.4702454,-0.1801758,-0.02377319,-0.003144653,0.008207337,0.9999614,0.1370561,0,0,1964
0.1962624,0.005140424,1.496533,4.158604,-0.4442749,-0.1563416,-0.02005005,-0.002728711,0.007753735,0.9999662,0.1008706,0,0,1964
0.216259,0.005030274,1.496532,4.158594,-0.4346008,-0.1428833,-0.02352905,-0.002493632,0.007584922,0.9999681,0.08156469,0,0,1964
0.2362595,0.004977465,1.496555,4.158603,-0.4430237,-0.1250916,-0.01947021,-0.002183207,0.007731961,0.9999678,0.0656106,0,0,1964
0.2562599,0.004837155,1.496593,4.158582,-0.4506226,-0.1097412,-0.01620483,-0.001915535,0.007864894,0.9999672,0.05233916,0,0,1964
0.2762604,0.004625082,1.496531,4.158561,-0.4504395,-0.09872437,-0.02392578,-0.001723172,0.007861376,0.9999676,0.03956468,0,0,1964
0.2962608,0.004575491,1.496523,4.158561,-0.4222717,-0.08737183,-0.02661133,-0.001524643,0.007370208,0.9999717,0.02797646,0,0,1964
0.3162613,0.004539847,1.496488,4.158567,-0.3769531,-0.08322144,-0.02890015,-0.001452386,0.006579154,0.9999773,0.01978234,0,0,1964
0.3362617,0.004393578,1.4964,4.15859,-0.3256226,-0.06759644,-0.01480103,-0.001179721,0.005682932,0.9999831,0,0,0,1964
0.3562622,0.004354358,1.496352,4.158645,-0.3123169,-0.06811523,-0.01733398,-0.001189035,0.005451009,0.9999844,0,0,0,1964
0.3762627,0.004315376,1.496309,4.15885,-0.2973633,-0.06570435,0.01101542,-0.00114658,0.005190049,0.9999859,0.01978234,0,0,1964
0.3962593,0.004299283,1.496283,4.158949,-0.2657471,-0.06393433,0.02708919,-0.001115664,0.004638051,0.9999886,0,0,0,1964
0.4162598,0.004226327,1.496247,4.159141,-0.2185059,-0.08325195,0.01913847,-0.001452955,0.003813562,0.9999917,0,0,0,1964
0.4362602,0.004205704,1.496245,4.159324,-0.2124329,-0.0866394,-0.0473938,-0.001512149,0.003707559,0.999992,0,0,0,1964
0.4562607,0.004203439,1.496223,4.159476,-0.1624451,-0.1226196,-0.07092285,-0.002140102,0.002835009,0.9999937,0.01978234,0,0,1964
0.4762611,0.004102588,1.496004,4.15975,-0.03717041,-0.163147,-0.06912231,-0.002847471,0.0006487668,0.9999957,0.05934703,0,0,1964
0.4962616,0.004060864,1.495837,4.160047,0.02619596,-0.1981812,-0.05770874,-0.003459172,-0.0004572058,0.9999939,0.1027921,0,0,1964
0.5162621,0.004060149,1.495773,4.160269,0.03636713,-0.2328491,-0.04647827,-0.0040639,-0.0006347261,0.9999915,0.1370561,0,0,1964
0.5362625,0.004030585,1.495725,4.16049,0.0361715,-0.2474976,-0.04278564,-0.004319506,-0.0006313116,0.9999905,0.1724585,0,0,1964
0.5562592,0.004011273,1.495671,4.160708,0.07809211,-0.2758484,-0.03384399,-0.004814488,-0.001362964,0.9999875,0.1887116,0,0,1964
0.5762596,0.004018545,1.495557,4.161246,0.1329689,-0.3022766,-0.04882813,-0.005275927,-0.002320742,0.9999834,0.2167048,0,0,1964
0.5962601,0.004062891,1.495443,4.161746,0.1521066,-0.3381348,-0.08712769,-0.005901632,-0.002654758,0.9999791,0.2422834,0,0,1964
0.6162605,0.0041399,1.495353,4.162073,0.1631635,-0.3508301,-0.1166992,-0.006123047,-0.002847737,0.9999772,0.276953,0,0,1964
0.636261,0.004385114,1.495316,4.162604,0.1656699,-0.3727112,-0.1225586,-0.006504925,-0.002891481,0.9999747,0.289391,0,0,1964
0.6562614,0.004630804,1.495253,4.163551,0.1322968,-0.4032898,-0.1810608,-0.007038676,-0.002309012,0.9999726,0.3071049,0,0,1964
0.6762619,0.004896402,1.49506,4.164648,0.1243284,-0.4211121,-0.1933594,-0.007349599,-0.002169939,0.9999706,0.3339648,0,0,1964
0.6962624,0.005179763,1.494939,4.16536,0.1015732,-0.4655762,-0.209137,-0.008125721,-0.001772786,0.9999654,0.3483046,0,0,1964
0.716259,0.005341053,1.494837,4.166229,0.05661589,-0.4725647,-0.2376709,-0.00824785,-0.0009881336,0.9999655,0.3876539,0,0,1964
0.7362595,0.005642414,1.494774,4.167114,0.05316736,-0.5055542,-0.2485352,-0.008823534,-0.0009279452,0.9999607,0.3921704,0,0,1964
0.7562599,0.006655574,1.494639,4.170196,-0.02331543,-0.6326904,-0.2704468,-0.01104212,0.0004066977,0.999939,0.4210443,0,0,1964
0.7762604,0.007098317,1.494582,4.171591,-0.07376099,-0.6705017,-0.2609558,-0.01170201,0.001287594,0.9999307,0.533025,0,0,1964
0.7962608,0.007645011,1.494416,4.172985,-0.1076355,-0.7258911,-0.2615051,-0.01266885,0.001878838,0.999918,0.564406,0,0,1964
0.8162613,0.00824213,1.494252,4.174481,-0.109314,-0.7494202,-0.2505188,-0.01307921,0.001908074,0.9999126,0.6110179,0,0,1964
0.8362617,0.009031177,1.493928,4.176015,-0.09130859,-0.7915649,-0.2405701,-0.01381483,0.001593615,0.9999033,0.6258884,0,0,1964
0.8562622,0.01138699,1.492863,4.180878,0.03347706,-0.8589172,-0.196991,-0.01499016,-0.0005842849,0.9998875,0.6564078,0,0,1964
0.8762627,0.01233912,1.492674,4.182628,0.08128382,-0.9138184,-0.190918,-0.0159482,-0.00141867,0.9998718,0.6884183,0,0,1964
0.8962593,0.01333106,1.492292,4.184392,0.09551261,-0.9686279,-0.1758118,-0.016905,-0.001667009,0.9998557,0.7287365,0,0,1964
0.9162598,0.01435125,1.491944,4.186104,0.1126755,-1.038483,-0.2002869,-0.01812386,-0.001966557,0.9998338,0.7684676,0,0,1964
0.9362602,0.01535463,1.491086,4.187884,0.09963269,-1.094086,-0.2299805,-0.01909418,-0.001738918,0.9998162,0.8225815,0,0,1964
0.9562607,0.01841772,1.4899,4.193296,0.2310687,-1.215057,-0.4580688,-0.02120484,-0.004032898,0.999767,0.8632076,0,0,1964
0.9762611,0.01940382,1.489706,4.195236,0.2710879,-1.245087,-0.5386963,-0.02172897,-0.004731359,0.9997527,0.9379522,0,0,1964
0.9962616,0.02026641,1.489711,4.197188,0.293738,-1.261566,-0.641571,-0.02201637,-0.005126672,0.9997445,0.9528548,0,0,1964
1.016262,0.02103758,1.489386,4.199184,0.2047137,-1.285248,-0.7224426,-0.02242982,-0.00357292,0.999742,0.9563395,0,0,1964
1.036263,0.02259851,1.488102,4.203105,0.08959657,-1.340027,-0.8036499,-0.02338572,-0.001563755,0.9997253,0.9681343,0,0,1964
1.056259,0.02376437,1.486893,4.206991,0.2457866,-1.351532,-0.874054,-0.02358625,-0.004289772,0.9997126,0.998776,0,0,1964
1.07626,0.02425313,1.486565,4.208939,0.3862261,-1.341278,-0.9787903,-0.02340707,-0.006740865,0.9997033,0.9922896,0,0,1964
1.09626,0.02453244,1.485993,4.211073,0.478786,-1.298645,-1.064606,-0.02266305,-0.008356295,0.9997082,0.9747815,0,0,1964
1.116261,0.02511704,1.485546,4.215308,0.7031668,-1.29425,-1.144867,-0.02258525,-0.01227227,0.9996696,0.9276733,0,0,1964
1.136261,0.02519894,1.486015,4.220058,0.8230774,-1.326752,-0.9711304,-0.02315163,-0.01436492,0.9996288,0.9142877,0,0,1964
1.156261,0.02524877,1.485383,4.222414,0.8929233,-1.350311,-0.8065796,-0.02356245,-0.01558382,0.9996009,0.9448116,0,0,1964
1.176262,0.0252316,1.485533,4.22481,0.9576266,-1.386871,-0.7310791,-0.0241996,-0.01671296,0.9995674,0.9675278,0,0,1964
1.196262,0.02523875,1.485545,4.227471,0.8664495,-1.419525,-0.6565857,-0.02476997,-0.01512182,0.9995788,1.004052,0,0,1964
1.216259,0.02516782,1.485249,4.232892,0.6750839,-1.501282,-0.566803,-0.02619756,-0.01178216,0.9995874,1.036088,0,0,1964
1.236259,0.02481866,1.48492,4.239289,0.1540588,-1.648987,-0.6035156,-0.02877638,-0.002688829,0.9995822,1.118551,0,0,1964
1.25626,0.02464938,1.484364,4.242733,-0.06387329,-1.726501,-0.6130676,-0.03012875,0.001114859,0.9995454,1.270878,0,0,1964
1.27626,0.02447712,1.483979,4.246283,-0.1864624,-1.799896,-0.5834351,-0.03140863,0.003254383,0.9995013,1.350602,0,0,1964
1.296261,0.02411139,1.483183,4.253639,-0.4439697,-1.909851,-0.6040955,-0.03332608,0.007748424,0.9994145,1.426287,0,0,1964
1.316261,0.02392828,1.482428,4.257786,-0.5423889,-1.914368,-0.6564331,-0.03340453,0.009466356,0.9993971,1.541166,0,0,1964
1.336262,0.02352643,1.481645,4.266248,-0.4817505,-1.912231,-0.8039551,-0.03336721,0.008408278,0.9994078,1.547881,0,0,1964
1.356262,0.02318716,1.480821,4.270694,-0.460022,-1.840118,-0.8899536,-0.03210937,0.008028583,0.9994521,1.551165,0,0,1964
1.376263,0.02239871,1.479095,4.279409,-0.3960571,-1.772797,-1.003021,-0.03093534,0.006912234,0.9994975,1.483981,0,0,1964
1.396259,0.02178741,1.478268,4.283775,-0.2632141,-1.753265,-0.989502,-0.03059535,0.004593764,0.9995213,1.427933,0,0,1964
1.41626,0.02121568,1.477446,4.288269,-0.2519531,-1.733795,-0.9915466,-0.03025576,0.004397625,0.9995325,1.417341,0,0,1964
1.43626,0.01997662,1.477443,4.297644,-0.103363,-1.666748,-1.071198,-0.02908584,0.001804201,0.9995753,1.406392,0,0,1964
1.456261,0.01884449,1.480158,4.307148,-0.2904663,-1.559082,-1.123138,-0.02720767,0.005069432,0.9996169,1.357539,0,0,1964
1.476261,0.01816809,1.477728,4.312344,-0.8411865,-1.488281,-0.9411926,-0.02596978,0.01468094,0.9995549,1.266714,0,0,1964
1.496262,0.01747251,1.478199,4.317014,-0.7832336,-1.511139,-0.8555908,-0.02636882,0.0136696,0.9995588,1.206096,0,0,1964
1.516262,0.01696217,1.480199,4.322129,-0.9795227,-1.487701,-0.8006287,-0.02595861,0.01709513,0.9995168,1.239226,0,0,1964
1.536263,0.01486659,1.48223,4.337805,-1.591736,-1.382111,-0.7627258,-0.02411079,0.02777771,0.9993233,1.223333,0,0,1964
1.556259,0.01425862,1.482338,4.342786,-1.602661,-1.433228,-0.7904968,-0.02500218,0.02796789,0.9992961,1.14961,0,0,1964
1.57626,0.01364172,1.48295,4.347718,-1.487183,-1.464844,-0.875,-0.02555483,0.02595307,0.9993365,1.209984,0,0,1964
1.59626,0.0131191,1.483196,4.352566,-1.436188,-1.500336,-0.9671631,-0.02617447,0.02506333,0.9993432,1.250701,0,0,1964
1.616261,0.01259029,1.4838,4.357275,-1.364716,-1.503784,-1.123169,-0.02623577,0.02381668,0.999372,1.294222,0,0,1964
1.636261,0.01133919,1.484401,4.371776,-1.554443,-1.493988,-1.215729,-0.02606255,0.02712693,0.9992922,1.305813,0,0,1964
1.656261,0.0109216,1.484834,4.376209,-1.616516,-1.495422,-1.178925,-0.02608686,0.02820995,0.9992616,1.314773,0,0,1964
1.676262,0.0105083,1.485112,4.380452,-1.59314,-1.508331,-1.180695,-0.02631219,0.02780169,0.9992671,1.322786,0,0,1964
1.696262,0.01016355,1.48518,4.384558,-1.50827,-1.516937,-1.206696,-0.02646309,0.02632133,0.9993032,1.341734,0,0,1964
1.716259,0.009593248,1.485124,4.392727,-1.41568,-1.535187,-1.262421,-0.02678293,0.02470597,0.9993359,1.355808,0,0,1964
1.736259,0.008872628,1.485446,4.400136,-1.163879,-1.567993,-1.274475,-0.02735753,0.02031213,0.9994193,1.382818,0,0,1964
1.75626,0.008530736,1.485625,4.403643,-1.063385,-1.629303,-1.266022,-0.02842812,0.01855827,0.9994236,1.426699,0,0,1964
1.77626,0.008223176,1.485706,4.407125,-1.016754,-1.695313,-1.264801,-0.02957976,0.01774453,0.9994049,1.493445,0,0,1964
