time,posX,posY,posZ,rotX,rotY,rotZ,forX,forY,forZ,angle,miss,out,outf
0.01184082,0.0412235,1.559348,4.08204,-0.422821,-3.052765,1.73538,-0.05325433,0.007379536,0.9985537,176.2103,0,0,5899
0.03184509,0.04136159,1.559319,4.08203,-0.390564,-3.049896,1.734853,-0.05320413,0.006816596,0.9985604,177.669,0,0,5900
0.05183411,0.04151259,1.559247,4.082021,-0.3479004,-3.066986,1.755268,-0.05350221,0.006071947,0.9985493,177.6736,0,0,5901
0.07183838,0.04156855,1.559243,4.08202,-0.3535461,-3.104736,1.74902,-0.0541601,0.00617046,0.9985132,177.6596,0,0,5902
0.09184265,0.04163094,1.559255,4.082016,-0.3556519,-3.15332,1.748005,-0.05500713,0.006207102,0.9984667,177.6244,0,0,5903
0.1118317,0.04169373,1.559278,4.082005,-0.3514404,-3.223724,1.723542,-0.05623372,0.006133876,0.9983988,177.5792,0,0,5904
0.1318359,0.04167944,1.55928,4.081979,-0.3537292,-3.245483,1.724448,-0.0566132,0.006173639,0.9983771,177.5129,0,0,5905
0.1518402,0.04167737,1.559278,4.081943,-0.349823,-3.254425,1.742012,-0.05676907,0.006105418,0.9983687,177.4919,0,0,5906
0.1718445,0.0416877,1.559278,4.081899,-0.3528748,-3.271942,1.736328,-0.05707388,0.006158546,0.998351,177.4834,0,1,5907
0.1918335,0.04166337,1.55928,4.081876,-0.3572388,-3.263214,1.742816,-0.05692193,0.006235145,0.9983591,177.467,0,1,5908
0.2118378,0.04162125,1.5593,4.081778,-0.3601379,-3.271271,1.776506,-0.05706238,0.006285555,0.9983508,177.475,0,1,5909
0.231842,0.04156798,1.559307,4.081748,-0.3734436,-3.268066,1.787686,-0.05700656,0.006517702,0.9983525,177.4664,0,1,5910
0.2518311,0.04153308,1.559327,4.081731,-0.3761902,-3.278351,1.794954,-0.0571856,0.00656558,0.998342,177.4691,0,1,5911
0.2718353,0.04147363,1.559339,4.08171,-0.3753052,-3.292786,1.791342,-0.05743727,0.006550207,0.9983276,177.4587,0,1,5912
0.2918396,0.04135779,1.559341,4.081659,-0.3652344,-3.326233,1.784375,-0.05802003,0.006374565,0.9982951,177.4437,0,1,5913
0.3118439,0.04113324,1.559308,4.081626,-0.3358765,-3.372864,1.745421,-0.05883238,0.00586233,0.9982507,177.4105,0,1,5914
0.3318329,0.04100371,1.559287,4.081616,-0.3161926,-3.379364,1.728588,-0.05894571,0.005518586,0.998246,177.3632,0,1,5915
0.3518372,0.04088288,1.559274,4.081619,-0.325531,-3.396912,1.710037,-0.05925188,0.005681559,0.9982269,177.3552,0,1,5916
0.3718414,0.0407428,1.559295,4.081639,-0.3107605,-3.386749,1.68461,-0.0590749,0.005423915,0.9982388,177.3369,0,1,5917
0.3918304,0.04036202,1.5593,4.081676,-0.3226624,-3.377228,1.691735,-0.05890869,0.00563136,0.9982475,177.3444,0,1,5918
0.4118347,0.04020223,1.55931,4.081706,-0.3006897,-3.367218,1.733991,-0.05873435,0.005247836,0.9982598,177.3481,0,1,5919
0.431839,0.04002265,1.559311,4.081762,-0.3007202,-3.355225,1.730554,-0.0585252,0.005248329,0.9982721,177.3557,0,1,5920
0.4518433,0.03981033,1.559293,4.081824,-0.292572,-3.337738,1.700142,-0.05822057,0.005106275,0.9982907,177.3645,0,1,5921
0.4718323,0.03943117,1.55928,4.081909,-0.2451782,-3.341888,1.673007,-0.05829353,0.004278949,0.9982903,177.3781,0,1,5922
0.4918365,0.03901641,1.559125,4.081957,-0.111145,-3.355133,1.711133,-0.05852442,0.001939737,0.9982841,177.3691,0,1,5923
0.5118408,0.03877975,1.559008,4.081975,-0.0920105,-3.340027,1.705103,-0.05826131,0.001605701,0.9983001,177.3505,0,1,5924
0.5318451,0.03854183,1.558946,4.082015,-0.08584595,-3.35788,1.740721,-0.05857237,0.001498464,0.998282,177.3617,0,1,5925
0.5518341,0.03808817,1.55888,4.082106,-0.06521606,-3.360077,1.797482,-0.05861099,0.0011383,0.9982802,177.3413,0,1,5926
0.5718384,0.03782471,1.558863,4.08214,-0.03213501,-3.373077,1.815301,-0.05883711,0.0005606006,0.9982674,177.3328,0,1,5927
0.5918427,0.03734717,1.558746,4.082128,0.05237488,-3.404419,1.839982,-0.05938323,-0.000914114,0.9982349,177.3171,0,1,5928
0.6118317,0.03711476,1.558668,4.08212,0.07818426,-3.413483,1.834018,-0.05954115,-0.001364572,0.9982249,177.2805,0,1,5929
0.6318359,0.03691159,1.558632,4.082094,0.1199098,-3.444061,1.853542,-0.06007363,-0.002092819,0.9981918,177.2687,0,1,5930
0.6518402,0.03652042,1.558585,4.082082,0.1187103,-3.461365,1.855737,-0.06037517,-0.002071884,0.9981736,177.2368,0,1,5931
0.6718445,0.03632341,1.558614,4.082056,0.1147588,-3.452423,1.833692,-0.06021951,-0.002002918,0.9981831,177.215,0,1,5932
0.6918335,0.03599375,1.558653,4.082002,0.1270019,-3.451477,1.86455,-0.06020318,-0.0022166,0.9981837,177.2206,0,1,5933
0.7118378,0.03586119,1.558668,4.081962,0.1172847,-3.429932,1.887485,-0.05982754,-0.002047002,0.9982066,177.2169,0,1,5934
0.731842,0.03556489,1.558693,4.081893,0.1057924,-3.403107,1.913611,-0.05936016,-0.001846425,0.9982349,177.2354,0,1,5935
0.7518311,0.03541265,1.558712,4.081869,0.07857539,-3.394196,1.932891,-0.05920536,-0.001371399,0.9982449,177.2568,0,1,5936
0.7718353,0.03506822,1.558789,4.081831,0.04052599,-3.403503,1.994622,-0.05936724,-0.0007073119,0.9982359,177.2633,0,1,5937
0.7918396,0.03488632,1.558808,4.081824,0.009926653,-3.418365,1.994985,-0.05962622,-0.0001732528,0.9982207,177.2497,0,1,5938
0.8118439,0.03474291,1.558847,4.08182,0.007274912,-3.428009,1.997942,-0.05979415,-0.0001269712,0.9982107,177.233,0,1,5939
0.8318329,0.03442945,1.558878,4.081813,0.001599251,-3.459198,2.039139,-0.06033777,-2.79122E-05,0.998178,177.2219,0,1,5940
0.8518372,0.03424358,1.558877,4.081824,0.0003331718,-3.457733,2.03679,-0.06031229,-5.814945E-06,0.9981796,177.1878,0,1,5941
0.8718414,0.03387396,1.558878,4.081907,-0.009429932,-3.472687,2.060672,-0.06057246,0.000164489,0.9981638,177.1865,0,1,5942
0.8918304,0.03368454,1.558879,4.08198,-0.01168823,-3.469086,2.080822,-0.06050982,0.0002037677,0.9981676,177.1674,0,1,5943
0.9118347,0.0333696,1.558864,4.08208,-0.005358097,-3.467194,2.120336,-0.06047722,9.351643E-05,0.9981696,177.168,0,1,5944
0.931839,0.03321631,1.558825,4.082186,0.007796521,-3.464111,2.134135,-0.0604235,-0.000136075,0.9981728,177.1655,0,1,5945
0.9518433,0.03307825,1.558809,4.082286,0.02205824,-3.449066,2.160354,-0.06016125,-0.0003849889,0.9981886,177.1662,0,1,5946
0.9718323,0.0328093,1.558759,4.082507,0.02507582,-3.442993,2.1799,-0.06005536,-0.0004376556,0.9981949,177.1785,0,1,5947
0.9918365,0.03267181,1.558743,4.082611,0.04983972,-3.439972,2.181215,-0.06000279,-0.0008698672,0.9981979,177.1809,0,1,5948
1.011841,0.03240312,1.558678,4.082859,0.06577706,-3.430298,2.190857,-0.059834,-0.001148026,0.9982077,177.1818,0,1,5949
1.031845,0.03229463,1.558631,4.083011,0.09116083,-3.430298,2.190837,-0.05983433,-0.001591056,0.998207,177.1873,0,1,5950
1.051834,0.03204779,1.558542,4.083377,0.131419,-3.414734,2.207197,-0.05956297,-0.002293692,0.9982219,177.1857,0,1,5951
1.071838,0.03191216,1.558519,4.083578,0.1504999,-3.41272,2.224089,-0.05952797,-0.002626716,0.9982232,177.1972,0,1,5952
1.091843,0.03165866,1.558429,4.08396,0.1832384,-3.401062,2.283617,-0.05932436,-0.003198108,0.9982336,177.1971,0,1,5953
1.111832,0.03153885,1.558442,4.084197,0.1847382,-3.40918,2.297627,-0.05946589,-0.003224284,0.9982252,177.2049,0,1,5954
1.131836,0.03142179,1.558467,4.084455,0.1803869,-3.397247,2.271571,-0.05925806,-0.003148341,0.9982377,177.1954,0,1,5955
1.15184,0.03123111,1.558477,4.084943,0.2069312,-3.395477,2.230463,-0.05922743,-0.003611624,0.998238,177.2053,0,1,5956
1.171844,0.03114927,1.558428,4.085195,0.2491281,-3.401093,2.23468,-0.05932485,-0.004348092,0.9982293,177.2043,0,1,5957
1.191833,0.03096948,1.558308,4.085695,0.3128156,-3.371338,2.223333,-0.05880637,-0.005459635,0.9982545,177.198,0,1,5958
1.211838,0.03091097,1.558246,4.08595,0.3275621,-3.363129,2.225224,-0.05866283,-0.005717006,0.9982615,177.2238,0,1,5959
1.231842,0.0308625,1.558208,4.086235,0.3278835,-3.37912,2.238714,-0.05894141,-0.005722616,0.9982451,177.2309,0,1,5960
1.251831,0.03074569,1.558253,4.086905,0.3093166,-3.377838,2.262928,-0.05891917,-0.005398566,0.9982482,177.2151,0,1,5961
1.271835,0.03057669,1.558174,4.08748,0.341513,-3.387665,2.269318,-0.05909064,-0.005960491,0.9982348,177.2148,0,1,5962
1.29184,0.03046487,1.558093,4.08777,0.3752805,-3.404358,2.248914,-0.05938092,-0.006549833,0.9982139,177.2031,0,1,5963
1.311844,0.03038265,1.558004,4.088127,0.4064957,-3.3992,2.242405,-0.0592907,-0.00709463,0.9982156,177.1857,0,1,5964
1.331833,0.03027788,1.558015,4.088745,0.4270366,-3.434174,2.248267,-0.05989988,-0.007453126,0.9981766,177.1894,0,1,5965
1.351837,0.03011657,1.557978,4.089366,0.4376978,-3.441833,2.209844,-0.06003324,-0.007639193,0.9981672,177.1548,0,1,5966
1.371841,0.03001111,1.558072,4.08967,0.4312373,-3.432312,2.214787,-0.05986758,-0.007526439,0.9981779,177.1453,0,1,5967
1.39183,0.02998399,1.558062,4.089953,0.4374988,-3.428009,2.23453,-0.0597927,-0.007635721,0.9981816,177.153,0,1,5968
1.411835,0.02989014,1.557932,4.090326,0.4245138,-3.429779,2.248128,-0.05982348,-0.007409096,0.9981815,177.1568,0,1,5969
1.431839,0.0297071,1.557967,4.090956,0.4292375,-3.405151,2.248691,-0.0593944,-0.007491537,0.9982065,177.1538,0,1,5970
1.451843,0.02960396,1.557927,4.09164,0.4247721,-3.401764,2.247572,-0.05933529,-0.007413603,0.9982106,177.1747,0,1,5971
1.471832,0.02951673,1.557915,4.091986,0.4159063,-3.395386,2.236591,-0.05922416,-0.00725887,0.9982183,177.1766,0,1,5972
1.491837,0.02946949,1.557864,4.092342,0.4332388,-3.387207,2.227766,-0.05908155,-0.007561371,0.9982245,177.1815,0,1,5973
1.511841,0.0294105,1.557847,4.09266,0.4362044,-3.381836,2.220195,-0.05898825,-0.007613129,0.9982296,177.1885,0,1,5974
1.531845,0.02923507,1.557741,4.093723,0.4740548,-3.334808,2.221036,-0.05816828,-0.008273724,0.9982725,177.1931,0,1,5975
1.551834,0.02923101,1.557748,4.094086,0.4775066,-3.311951,2.22757,-0.05777009,-0.008333966,0.9982951,177.2354,0,1,5976
1.571838,0.02913029,1.557729,4.09444,0.4887379,-3.294861,2.238489,-0.05747252,-0.008529982,0.9983106,177.2573,0,1,5977
1.591843,0.02898633,1.557686,4.094805,0.4886088,-3.281586,2.249582,-0.05724118,-0.008527729,0.998324,177.2719,0,1,5978
1.611832,0.02878639,1.557608,4.095646,0.4961063,-3.286041,2.258343,-0.05731879,-0.00865858,0.9983184,177.2828,0,1,5979
1.631836,0.02855846,1.557524,4.096486,0.4987484,-3.29483,2.270219,-0.05747194,-0.008704691,0.9983092,177.2759,0,1,5980
1.65184,0.02842321,1.557477,4.097011,0.5037454,-3.314178,2.270041,-0.05780881,-0.008791902,0.9982889,177.2644,0,1,5981
1.671844,0.02823901,1.557485,4.097478,0.5011787,-3.344482,2.262129,-0.05833693,-0.008747106,0.9982587,177.2444,0,1,5982
1.691833,0.02813073,1.55742,4.097951,0.5120794,-3.363556,2.27884,-0.05866925,-0.008937352,0.9982375,177.2128,0,1,5983
1.711838,0.02761357,1.557212,4.099667,0.5429564,-3.385773,2.280818,-0.05905584,-0.009476235,0.9982097,177.1933,0,1,5984
1.731842,0.02744056,1.557291,4.100223,0.5582283,-3.385956,2.30122,-0.05905873,-0.009742768,0.998207,177.1652,0,1,5985
1.751831,0.02726071,1.557314,4.100985,0.5622898,-3.372589,2.308082,-0.05882599,-0.009813651,0.99822,177.1627,0,1,5986
1.771835,0.02702115,1.557289,4.101687,0.5606406,-3.359589,2.328555,-0.05859957,-0.009784864,0.9982336,177.1731,0,1,5987
1.79184,0.02685894,1.557136,4.102442,0.5757051,-3.344971,2.37483,-0.05834444,-0.01004778,0.998246,177.1821,0,1,5988
1.811844,0.02605452,1.556985,4.104848,0.6791919,-3.32962,2.364365,-0.05807586,-0.01185386,0.9982418,177.1938,0,1,5989
1.831833,0.02565885,1.556851,4.105729,0.7516351,-3.322296,2.307845,-0.05794754,-0.01311813,0.9982334,177.1974,0,1,5990
1.851837,0.025309,1.556731,4.106664,0.8144156,-3.332031,2.313095,-0.05811602,-0.01421375,0.9982086,177.1991,0,1,5991
1.871841,0.02490053,1.556557,4.107595,0.8931041,-3.339661,2.330965,-0.05824823,-0.01558697,0.9981804,177.185,0,1,5992
1.89183,0.0244891,1.556285,4.108513,0.9907186,-3.328217,2.348637,-0.05804698,-0.01729044,0.9981641,177.1722,0,1,5993
1.911835,0.02314274,1.555749,4.111438,1.258003,-3.313477,2.430766,-0.0577849,-0.02195454,0.9980876,177.1772,0,1,5994
1.931839,0.02256135,1.555552,4.112504,1.348994,-3.322083,2.477969,-0.05793251,-0.02354221,0.9980429,177.1727,0,1,5995
1.951843,0.0220004,1.555415,4.113539,1.434478,-3.339874,2.511233,-0.0582407,-0.02503375,0.9979886,177.1568,0,1,5996
1.971832,0.0214324,1.555206,4.114511,1.520351,-3.387665,2.535756,-0.05907046,-0.02653202,0.9979011,177.1319,0,1,5997
1.991837,0.01956065,1.554715,4.117388,1.773379,-3.518555,2.585238,-0.06134258,-0.03094636,0.9976369,177.0788,0,1,5998
2.011841,0.01894201,1.554662,4.118412,1.828371,-3.596008,2.597304,-0.06268931,-0.03190568,0.997523,176.9282,0,1,5999
2.031845,0.01823284,1.554583,4.119321,1.868914,-3.631836,2.617916,-0.06331124,-0.03261291,0.9974608,176.846,0,1,6000
2.051834,0.01750157,1.554533,4.120376,1.87329,-3.676361,2.613697,-0.06408647,-0.03268925,0.9974088,176.8021,0,1,6001
2.071838,0.01676258,1.554511,4.121369,1.881414,-3.687805,2.632041,-0.06428534,-0.03283096,0.9973913,176.7495,0,1,6002
2.091843,0.01438679,1.554261,4.124286,1.913744,-3.760956,2.667015,-0.06555715,-0.03339493,0.9972898,176.7283,0,1,6003
2.111832,0.01363979,1.554114,4.125271,1.911936,-3.815216,2.738657,-0.06650187,-0.03336339,0.9972283,176.6258,0,1,6004
2.131836,0.01272824,1.55406,4.126205,1.958054,-3.846771,2.781318,-0.06704915,-0.03416784,0.9971645,176.5636,0,1,6005
2.15184,0.0118224,1.553899,4.127248,1.971009,-3.906799,2.811158,-0.06809314,-0.03439381,0.9970859,176.5209,0,1,6006
2.171844,0.009927757,1.553767,4.129293,2.002494,-4.009949,2.843302,-0.06988682,-0.034943,0.9969428,176.4513,0,1,6007
2.191833,0.007924087,1.553627,4.131253,2.019044,-4.125549,2.858926,-0.07189747,-0.03523167,0.9967896,176.3266,0,1,6008
2.211838,0.006886527,1.553555,4.132221,2.019507,-4.183899,2.862503,-0.07291251,-0.03523974,0.9967155,176.1887,0,1,6009
2.231842,0.005870849,1.553521,4.133183,2.042444,-4.240234,2.901153,-0.0738916,-0.03563982,0.9966292,176.1186,0,1,6010
2.251831,0.003811315,1.553445,4.13526,2.052706,-4.331238,2.952589,-0.07547385,-0.03581881,0.9965042,176.0507,0,1,6011
2.271835,0.002670355,1.553428,4.136354,2.055184,-4.362061,2.993864,-0.07600991,-0.03586203,0.9964619,175.9354,0,1,6012
2.29184,0.0005173087,1.553432,4.13841,2.047803,-4.433319,3.069552,-0.07724941,-0.03573329,0.9963713,175.89,0,1,6013
2.311844,-0.0005606636,1.553411,4.139493,2.034143,-4.462372,3.103782,-0.07775534,-0.03549504,0.9963404,175.792,0,1,6014
2.331833,-0.002768263,1.553406,4.141608,2.056648,-4.515259,3.167271,-0.07867381,-0.03588758,0.9962543,175.7491,0,1,6015
2.351837,-0.003812917,1.553226,4.14276,2.059311,-4.553345,3.200214,-0.07933622,-0.03593402,0.9962,175.6679,0,1,6016
2.371841,-0.004914157,1.553101,4.143923,2.061041,-4.566559,3.229453,-0.07956546,-0.03596419,0.9961807,175.6169,0,1,6017
2.39183,-0.00727962,1.552789,4.146377,2.089704,-4.605499,3.267061,-0.0802411,-0.03646413,0.9961083,175.5889,0,1,6018
