InteractionNumber,ElapsedTime,SplitTime,missCount
0,2.459496, ,0
1,5.619495,3.16,0
2,8.059498,2.440002,0
3,10.1395,2.079998,0
4,12.4995,2.360001,0
5,16.1195,3.619999,0
6,17.2995,1.18,0
7,19.1395,1.84,0
8,21.41949,2.279999,0
9,24.8795,3.460003,0
10,26.39949,1.519997,0
11,27.57949,1.18,0
12,29.6395,2.060001,0
13,32.1795,2.540001,0
14,33.8795,1.700001,0
15,36.9395,3.060001,0
16,38.55949,1.619995,0
17,41.2195,2.660004,0
18,44.41949,3.199997,0
19,46.87949,2.459999,0
20,50.9995,4.120003,0
21,54.01949,3.019997,0
22,60.47949,6.459999,0
23,62.7195,2.240005,0
24,64.65949,1.939995,0
25,69.19949,4.540001,0
26,71.91949,2.720001,0
27,73.8195,1.900002,0
28,75.61949,1.799995,0
29,76.8595,1.240005,0
30,78.91949,2.059998,0
31,83.1795,4.260002,0
32,86.3595,3.18,0
33,88.1395,1.779999,0
34,89.37949,1.239998,0
35,91.19949,1.82,0
36,95.3195,4.120003,0
37,99.57949,4.259995,0
38,102.9995,3.420006,0
39,107.1195,4.119995,0
40,111.1995,4.080002,0
41,113.5595,2.360001,0
42,117.5195,3.960007,0
43,119.0395,1.519989,0
44,120.9595,1.919998,0
45,123.4395,2.480011,0
46,125.5795,2.139999,0
47,128.3595,2.779999,0
48,130.1395,1.779999,0
49,132.1995,2.059998,0
50,134.1595,1.960007,0
51,137.1995,3.039993,0
52,139.0395,1.839996,0
53,140.7195,1.680008,0
54,143.9795,3.259995,0
55,146.2195,2.240005,0
56,148.5795,2.360001,0
57,150.7595,2.179993,0
58,153.4195,2.660004,0
59,154.7995,1.380005,0
60,158.8995,4.099991,0
61,161.0995,2.199997,0
62,162.3595,1.26001,0
63,164.3995,2.039993,0
64,168.4795,4.080002,0
65,170.4795,2,0
66,172.4195,1.940002,0
67,174.9195,2.5,0
68,176.8595,1.940002,0
69,178.7595,1.899994,0
70,180.4395,1.680008,0
71,182.1395,1.699997,0
72,185.5595,3.419998,0
73,187.7995,2.240005,0
74,189.1595,1.359985,0
75,190.1195,0.9600067,0
76,191.4795,1.360001,0
77,193.1195,1.639999,0
78,196.9795,3.860001,0
79,198.5795,1.600006,0
80,201.7395,3.159988,0
81,202.6795,0.9400024,0
82,206.8195,4.139999,0
83,209.9595,3.139999,0
84,211.4995,1.540009,0
85,214.2195,2.720001,0
86,216.4195,2.199997,0
87,218.3995,1.979996,0
88,220.2595,1.860001,0
89,222.1595,1.899994,0
90,223.3395,1.180008,0
91,224.6195,1.279999,0
92,226.2995,1.679993,0
93,228.4995,2.199997,0
94,230.2795,1.779999,0
95,232.1195,1.839996,0
96,234.4795,2.360016,0
97,236.1395,1.660004,0
98,238.3395,2.199982,0
99,239.9595,1.620026,0
100,244.6195,4.659973,0

time,posX,posY,posZ,rotX,rotY,rotZ
0.1008129,-0.07250999,-0.003760074,-0.4396621,359.7907,179.2138,0.4745058
0.2010803,-0.0728811,-0.003589786,-0.4377404,359.7466,179.2629,0.3593121
0.3124008,-0.07465993,-0.003584001,-0.4364926,359.651,179.9382,0.04479976
0.4248123,-0.07725688,-0.003786897,-0.4353311,359.7732,181.2221,359.7352
0.5248547,-0.08273754,-0.003293662,-0.4339393,359.8537,184.0709,359.2464
0.6373787,-0.09715363,-0.003457976,-0.4308893,0.1328277,192.9551,358.7121
0.7378159,-0.1173581,-0.004247308,-0.424613,0.3843942,205.4939,2.209128
0.8383446,-0.1436283,-0.002664607,-0.4067056,358.831,227.0865,5.012038
0.9492989,-0.1561429,-1.264992E-05,-0.3886232,357.2701,241.1613,4.035375
1.061981,-0.159964,-0.0004722398,-0.3773783,357.3936,248.2805,3.077255
1.162846,-0.1586349,0.003466408,-0.3775094,355.3958,247.3856,1.436594
1.275543,-0.1550389,0.008370949,-0.3806353,352.8849,244.6325,0.1896291
1.375696,-0.1535246,0.01160864,-0.3833729,351.425,242.5508,359.2249
1.476049,-0.1497279,0.0101602,-0.3861551,351.2386,240.3411,359.5429
1.576122,-0.1335356,0.003299005,-0.3853931,352.7986,238.353,359.7801
1.676657,-0.1053666,-0.00830577,-0.37976,353.5959,237.052,359.2303
1.777292,-0.07358359,-0.01606379,-0.3702213,354.1363,238.3109,358.5267
1.877403,-0.04081774,-0.02872589,-0.3586093,355.1255,239.2857,358.6985
1.978006,-0.002984564,-0.03710961,-0.3320495,356.3444,237.4587,1.012778
