InteractionNumber,ElapsedTime,SplitTime,missCount
0,2.168085, ,0
1,3.888086,1.720001,0
2,4.288086,0.3999996,0
3,6.208086,1.92,0
4,11.18809,4.98,0
5,14.70808,3.519999,0
6,18.42809,3.720001,0
7,20.22808,1.799999,0
8,22.16809,1.940002,0
9,24.90808,2.739998,0
10,27.00808,2.099998,0
11,33.80809,6.800003,0
12,36.52808,2.719997,0
13,40.76809,4.240002,0
14,43.16808,2.399998,0
15,46.00808,2.84,0
16,47.94809,1.940002,0
17,51.52809,3.580002,0
18,56.52809,5,0
19,57.80809,1.279999,0
20,60.34809,2.540001,0
21,65.84808,5.499996,0
22,67.18808,1.339996,0
23,71.60808,4.419998,0
24,73.00809,1.400009,0
25,79.70808,6.699997,0
26,82.76808,3.059998,0
27,84.96808,2.199997,0
28,87.04808,2.080002,0
29,88.88808,1.839996,0
30,91.16809,2.280014,0
31,94.06808,2.899994,0
32,95.80809,1.740005,0
33,97.66809,1.860001,0
34,101.7881,4.119995,0
35,103.7681,1.979996,0
36,107.7281,3.960007,0
37,109.8681,2.139999,0
38,112.9481,3.079987,0
39,113.7881,0.8400116,0
40,116.9881,3.199997,0
41,121.4681,4.479996,0
42,123.4081,1.940002,0
43,125.3281,1.919998,0
44,126.9481,1.619995,0
45,132.0081,5.059998,0
46,135.8281,3.820007,0
47,139.0881,3.259995,0
48,144.0281,4.940002,0
49,145.5681,1.540009,0
50,148.0481,2.479996,0
51,152.7881,4.740005,0
52,155.7681,2.979996,0
53,160.1881,4.419998,0
54,161.4681,1.279999,0
55,162.9081,1.440002,0
56,164.6281,1.720001,0
57,165.0681,0.4400024,0
58,166.4681,1.399994,0
59,170.9481,4.479996,0
60,172.9081,1.960007,0
61,174.5881,1.679993,0
62,176.3281,1.740005,0
63,178.7481,2.419998,0
64,180.1881,1.440002,0
65,181.8081,1.619995,0
66,187.4081,5.600006,0
67,188.5481,1.139999,0
68,189.9281,1.37999,0
69,191.7281,1.800003,0
70,193.4681,1.740005,0
71,194.3681,0.8999939,0
72,197.0681,2.700012,0
73,199.7681,2.699997,0
74,201.8281,2.059998,0
75,203.5081,1.679993,0
76,205.2881,1.779999,0
77,207.0681,1.780014,0
78,208.8081,1.73999,0
79,210.7481,1.940002,0
80,211.2481,0.5,0
81,214.7481,3.5,0
82,216.2481,1.5,0
83,218.5081,2.259995,0
84,219.9481,1.440002,0
85,221.6881,1.740005,0
86,222.8681,1.179993,0
87,228.0481,5.180008,0
88,229.7281,1.679993,0
89,231.1081,1.380005,0
90,232.3481,1.240005,0
91,234.1081,1.759995,0
92,235.8481,1.740005,0
93,239.0681,3.220001,0
94,241.3481,2.279999,0
95,243.3281,1.97998,0
96,244.7681,1.440002,0
97,246.2081,1.440002,0
98,247.5881,1.380005,0
99,249.2081,1.619995,0
100,251.1081,1.899994,0

time,posX,posY,posZ,rotX,rotY,rotZ
0.1011333,-0.0159861,-0.006258165,-0.07639119,359.5413,174.92,1.405528
0.2016449,-0.01585528,-0.004435064,-0.07322279,358.4559,175.0887,1.442864
0.3127995,-0.01796806,-0.001755652,-0.06941447,356.9928,176.4305,1.599411
0.4129791,-0.02622007,0.000684702,-0.06631123,355.6645,181.6447,0.8745447
0.5130882,-0.04184839,0.004257482,-0.06118718,353.5787,192.6889,0.2890338
0.6134682,-0.06063927,0.00340894,-0.05295637,354.0809,207.1031,359.6383
0.7135429,-0.07842228,-0.002028455,-0.04094784,357.5469,222.4554,359.0978
0.8145161,-0.08723965,-0.007003812,-0.03011818,0.352075,233.7696,0.3072126
0.9145775,-0.08690472,-0.00760188,-0.02625651,359.7393,238.0082,2.723528
1.014742,-0.0839935,-0.01022508,-0.02406961,0.2303562,241.1044,3.19478
1.115242,-0.07558622,-0.01711412,-0.02862857,3.939287,238.6132,4.764169
1.21525,-0.06053706,-0.02265152,-0.03987094,7.095581,229.644,4.556732
1.31587,-0.05375744,-0.01601954,-0.03960124,3.315474,228.0264,2.342026
1.41592,-0.05690606,-0.0111097,-0.02604782,0.09126243,237.5712,0.3635614
1.516642,-0.05631769,-0.003222658,-0.0145837,354.9995,244.6432,359.7014
1.616648,-0.04634792,-0.001576666,-0.006990348,347.5116,249.1045,358.2448
1.717207,-0.027549,-0.005872069,-0.002727446,345.5518,252.0404,357.9832
1.817217,-0.00673653,-0.009777244,0.003164719,344.6714,255.4873,356.2072
1.917582,0.01282602,-0.02096996,0.009382287,345.0497,257.1319,356.3173
2.017769,0.03569303,-0.02749014,0.01884639,343.9606,255.6017,357.9311
2.1182,0.06110758,-0.02311708,0.03783541,345.1729,255.3641,359.06
2.218496,0.09045037,-0.01575592,0.06305546,345.3383,255.8529,358.5862
2.319103,0.1120017,-0.01302276,0.09051614,345.7147,256.4247,359.2979
2.431595,0.1185005,-0.007570169,0.1058744,343.6846,254.1899,357.8378
2.532057,0.1240001,-0.01164507,0.09356421,346.4405,245.5164,358.7603
2.632191,0.1328708,-0.02054934,0.06200458,349.7969,232.4301,0.8147049
2.732401,0.1413636,-0.02069246,0.02496891,351.6234,220.4114,0.01102047
2.832907,0.1482026,-0.01853874,-0.008419416,350.5606,208.6696,359.6878
2.933517,0.1535152,-0.01764556,-0.03333054,349.1985,195.7699,359.704
3.045963,0.1517264,-0.0156736,-0.05010473,349.663,183.0709,358.9149
3.146313,0.1423859,-0.009975853,-0.05351794,348.7546,172.7322,359.499
3.246323,0.1289725,-0.004986516,-0.04538933,344.7548,159.6936,2.251856
3.346514,0.1099124,-0.001954318,-0.03210637,343.0186,144.7337,4.237853
3.446793,0.0914477,-0.0007362566,-0.01980202,344.0808,133.2194,2.384548
3.547186,0.07656847,-0.0004663921,-0.009055864,342.3113,125.2159,2.940848
3.647278,0.06017932,-0.008557338,0.001351295,344.976,121.3029,1.677741
3.747669,0.03595361,-0.01711359,0.01084316,348.6949,120.8039,1.322734
3.847702,0.01010783,-0.02089399,0.02001484,351.5959,123.0487,0.3327115
3.94784,-0.01555132,-0.02498737,0.02597824,355.1092,127.3822,0.4119635
4.048269,-0.0306549,-0.02306055,0.02999927,355.082,131.8878,0.2990933
4.14868,-0.03773569,-0.02110611,0.0279377,354.6236,141.3509,359.4088
4.249027,-0.04792481,-0.02491651,0.01993676,355.7704,156.992,359.5104
4.349413,-0.05334584,-0.02878896,0.01636599,358.0362,173.8504,357.9106
4.461964,-0.04416552,-0.0285726,0.01995936,357.4589,189.179,358.265
4.562115,-0.02540734,-0.02421232,0.02255775,355.963,199.1388,359.298
