InteractionNumber,ElapsedTime,SplitTime,missCount
0,3.156076, ,0
1,5.076078,1.920002,0
2,7.116076,2.039997,0
3,8.816076,1.700001,0
4,15.51608,6.700001,0
5,18.49608,2.98,0
6,20.87608,2.380001,0
7,24.77608,3.899998,0
8,27.55608,2.780003,0
9,31.53608,3.98,0
10,33.49608,1.960001,0
11,36.41608,2.919998,0
12,38.95608,2.540001,0
13,41.87608,2.919998,0
14,44.25608,2.380005,0
15,46.45608,2.199997,0
16,48.91608,2.459999,0
17,51.29608,2.380005,0
18,53.37608,2.079994,0
19,57.05608,3.68,0
20,58.65607,1.599998,0
21,61.53608,2.880005,0
22,63.79607,2.259995,0
23,67.65607,3.860001,0
24,69.61608,1.960007,0
25,73.85608,4.239998,0
26,75.75608,1.900002,0
27,79.35608,3.599998,0
28,81.85608,2.5,0
29,84.07608,2.220001,0
30,85.29607,1.219994,0
31,86.57608,1.280006,0
32,89.01608,2.439995,0
33,93.47607,4.459999,0
34,97.47607,4,0
35,99.07608,1.600006,0
36,100.1961,1.119995,0
37,103.6161,3.419998,0
38,105.0161,1.400009,0
39,107.2361,2.220001,0
40,111.1561,3.919998,0
41,112.0761,0.9199982,0
42,114.0961,2.019989,0
43,116.3561,2.26001,0
44,119.4961,3.139999,0
45,121.3561,1.860001,0
46,122.8561,1.5,0
47,125.3561,2.5,0
48,128.6361,3.279999,0
49,130.6161,1.979996,0
50,132.4161,1.800003,0
51,134.8161,2.399994,0
52,137.7561,2.940002,0
53,139.6161,1.860001,0
54,142.1961,2.580002,0
55,143.7361,1.539993,0
56,146.5161,2.780014,0
57,148.2161,1.699997,0
58,150.0361,1.819992,0
59,151.7361,1.699997,0
60,154.4361,2.700012,0
61,156.7161,2.279999,0
62,158.3561,1.639999,0
63,159.6161,1.259995,0
64,160.8361,1.220001,0
65,163.2361,2.399994,0
66,164.7361,1.5,0
67,166.0561,1.320007,0
68,170.0361,3.979996,0
69,172.3161,2.279999,0
70,173.4961,1.180008,0
71,176.2561,2.759995,0
72,177.8161,1.559998,0
73,179.1961,1.380005,0
74,182.2561,3.059998,0
75,183.5161,1.259995,0
76,186.8761,3.360001,0
77,189.1561,2.280014,0
78,191.1161,1.959991,0
79,193.1561,2.040009,0
80,195.3361,2.179993,0
81,196.9561,1.619995,0
82,199.8361,2.880005,0
83,201.5961,1.759995,0
84,203.2161,1.62001,0
85,204.8161,1.599991,0
86,206.2161,1.400009,0
87,208.7761,2.559998,0
88,210.4361,1.660004,0
89,211.0361,0.5999908,0
90,211.8961,0.8600006,0
91,211.9161,0.02000427,0
92,213.0161,1.099991,0
93,215.4361,2.420013,0
94,217.8961,2.459991,0
95,220.2961,2.400009,0
96,222.9761,2.679993,0
97,225.0561,2.080002,0
98,228.6761,3.619995,0
99,230.1761,1.5,0
100,231.5761,1.399994,0

time,posX,posY,posZ,rotX,rotY,rotZ
0.1002846,0.03721643,0.00518333,0.02610001,355.3329,4.14189,1.105996
0.2012196,0.03336558,0.005115458,0.02807442,355.2735,1.833692,0.9329509
0.3129406,0.02660088,0.004825606,0.03042821,355.3849,356.8668,0.9820124
0.4133053,0.01175501,0.006617687,0.02971496,354.1229,346.0041,1.715034
0.5254765,-0.007460959,0.008122909,0.02459543,352.9008,331.375,2.795062
0.6256008,-0.01828724,0.01141765,0.01929213,350.7353,322.1734,3.714196
0.7258167,-0.02765739,0.01481339,0.01170054,348.3774,314.1055,5.516951
0.8263645,-0.03773758,0.01274233,0.002588134,349.2943,303.9579,7.181837
0.9267197,-0.03582603,0.009349967,0.008674391,351.754,305.4576,3.333133
1.026953,-0.01851922,0.00442793,0.02905045,354.4586,321.5399,359.2854
1.126984,0.009985485,-0.0003371899,0.04784658,357.5142,342.3751,357.7137
1.227251,0.04216682,-0.004404127,0.05716736,0.1241961,3.729737,357.6917
1.327644,0.06999512,-0.004148437,0.05618519,359.7486,22.59694,359.6776
1.428102,0.09009651,-0.005843296,0.05092562,0.1003261,37.21682,1.067147
1.528143,0.1109558,-0.006414054,0.0393282,359.8446,51.66066,2.561009
1.628607,0.1266824,-0.0007323185,0.01959981,355.4785,68.02188,2.090334
1.728918,0.1334038,-0.001728561,0.008517321,356.1124,75.83307,0.9427865
1.829187,0.1370781,-0.0007772779,0.008988516,356.0747,76.05397,359.6501
1.929386,0.1335827,0.01351884,0.01117618,347.3276,73.69659,357.544
2.030041,0.1342305,0.0128541,0.01626293,343.6411,72.2681,357.2189
2.130077,0.1445031,-0.002470908,0.02766919,346.6726,70.65446,358.6244
2.230356,0.1568644,-0.03228238,0.04248159,359.2033,68.09965,2.706695
2.330534,0.1589477,-0.06997699,0.05378705,18.60218,64.06104,6.26804
2.430876,0.1608622,-0.0955392,0.06517088,27.80457,61.16227,5.349763
2.543406,0.1849452,-0.108107,0.08962079,29.16309,59.7031,3.30319
2.64345,0.2230741,-0.1178027,0.1234841,27.94277,58.52137,1.649095
2.747686,0.2659706,-0.1249035,0.1548328,23.58848,58.87711,0.5295216
2.85174,0.2873301,-0.1174445,0.1751505,21.60531,62.25553,1.322973
2.953867,0.2932017,-0.1161387,0.1924072,18.89786,64.35938,2.118863
3.054564,0.2954458,-0.1233316,0.2025834,18.2233,65.6629,3.676774
3.154791,0.2976872,-0.1284584,0.20965,17.69001,65.26983,3.959431
3.255407,0.2981205,-0.1299491,0.2107164,17.45665,66.37693,3.570973
3.355734,0.2907169,-0.1233464,0.2052089,16.99798,67.28043,3.675269
