InteractionNumber,ElapsedTime,SplitTime,missCount
0,3.957817, ,0
1,5.937817,1.98,0
2,7.157816,1.219999,0
3,9.277817,2.120001,0
4,13.21782,3.939999,0
5,15.87782,2.660002,0
6,17.79782,1.919998,0
7,19.97782,2.180002,0
8,23.19781,3.219997,0
9,25.05782,1.860001,0
10,26.91782,1.860001,0
11,28.71782,1.799999,0
12,31.53782,2.82,0
13,32.85781,1.32,0
14,34.67781,1.82,0
15,36.15781,1.48,0
16,37.59782,1.440002,0
17,38.51781,0.9199982,0
18,39.55782,1.040001,0
19,41.05782,1.5,0
20,42.25782,1.200001,0
21,44.49781,2.239998,0
22,45.55782,1.060001,0
23,47.05782,1.5,0
24,48.05782,1,0
25,50.69781,2.639999,0
26,52.17781,1.48,0
27,54.65782,2.480003,0
28,56.21782,1.559998,0
29,57.67781,1.459999,0
30,61.97782,4.300003,0
31,64.17781,2.199993,0
32,65.45781,1.279999,0
33,67.17781,1.720001,0
34,70.63782,3.460007,0
35,71.71782,1.080002,0
36,74.49782,2.779999,0
37,77.65782,3.160004,0
38,79.11781,1.459991,0
39,79.81781,0.6999969,0
40,80.85782,1.040009,0
41,80.91782,0.05999756,0
42,82.37781,1.459991,0
43,83.55782,1.180008,0
44,85.89781,2.339996,0
45,87.45781,1.559998,0
46,90.15782,2.700012,0
47,92.45781,2.299988,0
48,94.71782,2.26001,0
49,96.31781,1.599991,0
50,98.39781,2.080002,0
51,99.55782,1.160004,0
52,101.6778,2.119995,0
53,104.5778,2.900009,0
54,105.4978,0.9199982,0
55,107.3578,1.860001,0
56,109.3378,1.979996,0
57,112.0578,2.720001,0
58,113.8178,1.759995,0
59,115.6978,1.880005,0
60,118.3578,2.659988,0
61,120.2378,1.880005,0
62,124.6378,4.400009,0
63,126.4578,1.819992,0
64,128.2378,1.779999,0
65,130.2178,1.979996,0
66,131.4378,1.220001,0
67,132.5978,1.160004,0
68,132.7578,0.1600037,0
69,135.7778,3.020004,0
70,137.9578,2.179993,0
71,139.3978,1.440002,0
72,140.6178,1.220001,0
73,142.2578,1.639999,0
74,144.1978,1.940002,0
75,145.7178,1.519989,0
76,146.8178,1.100006,0
77,150.5578,3.740005,0
78,151.8978,1.339996,0
79,153.2778,1.380005,0
80,157.6978,4.419998,0
81,160.4578,2.759995,0
82,162.1178,1.660004,0
83,164.1378,2.019989,0
84,166.4378,2.300003,0
85,168.3978,1.960007,0
86,169.7778,1.37999,0
87,171.8578,2.080002,0
88,172.7978,0.9400024,0
89,174.5178,1.720001,0
90,175.9178,1.400009,0
91,177.4978,1.579987,0
92,179.1778,1.680008,0
93,181.1378,1.959991,0
94,183.7178,2.580002,0
95,185.0378,1.320007,0
96,188.5778,3.539993,0
97,191.4178,2.840012,0
98,194.4578,3.039993,0
99,195.2178,0.7599945,0
100,196.8178,1.600006,0

time,posX,posY,posZ,rotX,rotY,rotZ
0.1013393,0.01594263,-0.00408394,0.02510756,0.7240923,0.9690434,359.4842
0.2130871,0.01548348,-0.004674779,0.02629572,1.143631,0.4216863,359.4724
0.3134356,0.006353919,-0.003442359,0.0274647,1.344651,356.0605,0.6048267
0.4257536,-0.0242765,-0.004776461,0.02326539,2.319648,338.0225,2.071832
0.538908,-0.05688792,-0.009611218,0.004856782,4.393095,315.0564,2.795031
0.652154,-0.07688691,-0.01380086,-0.0200289,5.380912,295.4026,2.566735
0.7636776,-0.08467191,-0.01844289,-0.03677464,6.600042,284.5149,1.407805
0.8637714,-0.07251716,-0.0196211,-0.02050046,7.206954,298.273,359.0351
0.9639816,-0.02186182,-0.02370516,0.005335848,8.014005,338.3745,0.4579188
