InteractionNumber,ElapsedTime,SplitTime,missCount
0,1.49725, ,0
1,2.277249,0.7799997,0
2,3.057249,0.7799997,0
3,4.57725,1.52,0
4,5.557249,0.9799995,0
5,7.477249,1.92,0
6,8.137249,0.6599998,0
7,8.99725,0.8600006,0
8,10.13725,1.139999,0
9,11.45725,1.32,0
10,11.95725,0.5,0
11,12.89725,0.9400005,0
12,13.99725,1.1,0
13,14.93725,0.9399986,0
14,16.21725,1.280001,0
15,17.15725,0.9400005,0
16,18.87725,1.720001,0
17,20.01725,1.139999,0
18,21.01725,1,0
19,24.47725,3.459999,0
20,25.21725,0.7399979,0
21,26.33725,1.120003,0
22,28.55725,2.219997,0
23,29.59725,1.040001,0
24,31.13725,1.540001,0
25,32.05725,0.9199982,0
26,32.99725,0.9400024,0
27,34.63725,1.639999,0
28,35.75725,1.119999,0
29,36.69725,0.9400024,0
30,37.63725,0.9399986,0
31,40.01725,2.380001,0
32,40.91725,0.8999977,0
33,41.97725,1.060001,0
34,42.91725,0.9399986,0
35,43.67725,0.7600021,0
36,46.51725,2.84,0
37,47.17725,0.6599998,0
38,49.05725,1.879997,0
39,50.87725,1.82,0
40,52.03725,1.160004,0
41,54.25725,2.220001,0
42,54.99725,0.7399979,0
43,55.99725,1,0
44,56.87725,0.8799973,0
45,57.71725,0.840004,0
46,58.65725,0.9399948,0
47,59.45725,0.8000031,0
48,60.67725,1.220001,0
49,62.27725,1.599998,0
50,63.11724,0.8399963,0
51,64.63725,1.520008,0
52,65.87724,1.23999,0
53,66.89725,1.020004,0
54,67.69725,0.8000031,0
55,69.19725,1.5,0
56,69.91725,0.7200012,0
57,71.37724,1.459991,0
58,72.53725,1.160004,0
59,74.61725,2.080002,0
60,75.29724,0.6799927,0
61,77.21725,1.920013,0
62,78.27725,1.059998,0
63,79.21725,0.9400024,0
64,80.31725,1.099991,0
65,81.33725,1.020004,0
66,82.91725,1.580002,0
67,83.81725,0.8999939,0
68,85.01724,1.199997,0
69,85.47725,0.4600067,0
70,86.43724,0.9599915,0
71,87.63725,1.200012,0
72,89.89725,2.259995,0
73,90.65724,0.7599945,0
74,91.29724,0.6399994,0
75,93.09724,1.800003,0
76,94.13725,1.040009,0
77,94.95724,0.8199921,0
78,96.83725,1.880005,0
79,98.73724,1.899994,0
80,99.81725,1.080002,0
81,100.6572,0.8399963,0
82,101.7372,1.080002,0
83,103.4572,1.720001,0
84,104.2172,0.7599945,0
85,105.2773,1.060013,0
86,108.5172,3.23999,0
87,109.3772,0.8600006,0
88,110.9572,1.580002,0
89,112.4973,1.540009,0
90,113.5172,1.019989,0
91,114.5372,1.020004,0
92,115.3772,0.8399963,0
93,117.1573,1.780014,0
