InteractionNumber,ElapsedTime,SplitTime,missCount
0,0.8487091, ,0
1,2.38871,1.540001,0
2,3.348709,0.9599991,0
3,4.40871,1.060001,0
4,5.448709,1.039999,0
5,7.46871,2.02,0
6,8.46871,1,0
7,11.46871,3,0
8,12.56871,1.099998,0
9,13.56871,1,0
10,14.64871,1.080002,0
11,16.00871,1.359999,0
12,17.16871,1.16,0
13,18.08871,0.920002,0
14,20.14871,2.059998,0
15,21.20871,1.060001,0
16,22.04871,0.8400002,0
17,24.40871,2.360001,0
18,25.78871,1.379997,0
19,26.96871,1.18,0
20,27.94871,0.9799995,0
21,28.78871,0.8400002,0
22,30.88871,2.100002,0
23,31.90871,1.02,0
24,32.68871,0.7799988,0
25,33.46871,0.7799988,0
26,35.14871,1.68,0
27,36.10871,0.9599991,0
28,38.66871,2.560001,0
29,40.84871,2.18,0
30,42.12871,1.279999,0
31,44.00871,1.880001,0
32,45.38871,1.380001,0
33,46.52871,1.139999,0
34,48.12871,1.599998,0
35,49.38871,1.260002,0
36,50.3287,0.9399948,0
37,52.00871,1.68,0
38,52.60871,0.6000061,0
39,54.04871,1.439995,0
40,56.00871,1.959999,0
41,56.94871,0.9400024,0
42,57.42871,0.4800034,0
43,58.86871,1.439995,0
44,58.90871,0.04000092,0
45,59.30871,0.4000015,0
46,60.80871,1.5,0
47,61.72871,0.9199982,0
48,62.36871,0.6399994,0
49,64.90871,2.540001,0
50,66.34871,1.440002,0
51,67.26871,0.9199982,0
52,68.72871,1.459999,0
53,70.00871,1.279999,0
54,71.10871,1.100006,0
55,71.88871,0.7799988,0
56,73.08871,1.199997,0
57,74.44871,1.360001,0
58,77.22871,2.779999,0
59,78.42871,1.200005,0
60,79.50871,1.079994,0
61,81.44871,1.940002,0
62,82.4687,1.019997,0
63,83.56871,1.100006,0
64,84.22871,0.659996,0
65,85.54871,1.32,0
66,86.38871,0.840004,0
67,87.2887,0.8999939,0
68,87.84871,0.5600052,0
69,88.7887,0.9399948,0
70,89.8287,1.040001,0
71,90.80871,0.9800034,0
72,91.58871,0.7799988,0
73,92.74871,1.160004,0
74,93.7887,1.039993,0
75,96.54871,2.760002,0
76,97.84871,1.300003,0
77,98.92871,1.080002,0
78,100.0087,1.079994,0
79,101.6687,1.660004,0
80,102.3687,0.6999969,0
81,104.3287,1.959999,0
82,105.1287,0.8000031,0
83,107.0087,1.879997,0
84,108.0487,1.040001,0
85,109.6487,1.599998,0
86,110.7687,1.120003,0
87,111.6687,0.9000015,0
88,113.0687,1.399994,0
89,114.2487,1.180008,0
90,115.2287,0.9799957,0
91,116.5487,1.320007,0
92,117.3087,0.7599945,0
93,118.1487,0.8399963,0
94,120.3087,2.160004,0
95,121.3087,1,0
96,122.2287,0.9199982,0
97,123.2887,1.059998,0
98,124.1487,0.8600006,0
99,125.2687,1.119995,0
100,126.0287,0.7600098,0

time,posX,posY,posZ,rotX,rotY,rotZ
0.1037292,-0.01433867,0.0002045543,-0.07426736,359.4405,0.5710278,359.9776
