InteractionNumber,ElapsedTime,SplitTime,missCount,,,,,,,
0,1.180042, ,0,,,,,,,
1,11.80004,10.62,0,,,,,,,
2,13.44004,1.639999,0,,,,,,,
3,20.94004,7.499999,0,,,,,,,
4,31.68004,10.74,0,,,,,,,
5,52.16004,20.48,0,,,,,,,
6,64.52003,12.35999,0,,,,,,,
7,67.98003,3.459999,0,,,,,,,
8,77.74004,9.760002,0,,,,,,,
9,90.18004,12.44,0,,,,,,,
10,108.48,18.3,0,,,,,,,
11,109.32,0.840004,0,,,,,,,
12,115.38,6.059998,0,,,,,,,
13,115.46,0.08000183,0,,,,,,,
14,119.96,4.499992,0,,,,,,,
15,130.5201,10.56002,0,,,,,,,
16,136.28,5.759995,0,,,,,,,
17,141.32,5.039993,0,,,,,,,
18,143.54,2.220001,0,,,,,,,
19,152.42,8.880005,0,,,,,,,
20,159.82,7.399994,0,,,,,,,
21,168.68,8.860001,0,,,,,,,
22,176.16,7.480011,0,,,,,,,
23,190.92,14.75999,0,,,,,,,
24,192.42,1.5,0,,,,,,,
25,204.52,12.09999,0,,,,,,,
26,211.34,6.820007,0,,,,,,,
27,217.24,5.899994,0,,,,,,,
28,223.88,6.639999,0,,,,,,,
29,232.92,9.040009,0,,,,,,,
30,239.58,6.660004,0,,,,,,,
31,254.8801,15.3,0,,,,,,,
32,262.2,7.319962,0,,,,,,,
33,268.16,5.960022,0,,,,,,,
34,278.32,10.16,0,,,,,,,
35,279.28,0.9599915,0,,,,,,,
36,291.46,12.17999,0,,,,,,,
37,298.26,6.799988,0,,,,,,,
38,304.96,6.700012,0,,,,,,,
39,308.48,3.519989,0,,,,,,,
40,316.02,7.540009,0,,,,,,,
41,321.98,5.959991,0,,,,,,,
42,327.72,5.740021,0,,,,,,,
43,337.52,9.799988,0,,,,,,,
44,345.56,8.040009,0,,,,,,,
45,349.54,3.97998,0,,,,,,,
46,355.14,5.600006,0,,,,,,,
47,364.12,8.980011,0,,,,,,,
48,371.26,7.139984,0,,,,,,,
49,376.7,5.440002,0,,,,,,,
50,386.34,9.640015,0,,,,,,,
51,390.94,4.600006,0,,,,,,,
52,398.26,7.319977,0,,,,,,,
53,407.32,9.059998,0,,,,,,,
54,414.72,7.400024,0,,,,,,,
55,428.24,13.51999,0,,,,,,,
56,433.74,5.5,0,,,,,,,
57,441.12,7.380005,0,,,,,,,
58,445.62,4.5,0,,,,,,,
59,452.94,7.320007,0,,,,,,,
60,453.7,0.7599792,0,,,,,,,
61,455.28,1.580017,0,,,,,,,
62,460.82,5.539978,0,,,,,,,
63,469.44,8.620026,0,,,,,,,
64,474.72,5.279999,0,,,,,,,
65,478.98,4.259979,0,,,,,,,
66,491.72,12.74002,0,,,,,,,
67,499.84,8.119995,0,,,,,,,
68,511.46,11.62,0,,,,,,,
69,512.16,0.7000122,0,,,,,,,
70,517.82,5.659973,0,,,,,,,
71,531,13.17999,0,,,,,,,
72,539.42,8.420044,0,,,,,,,
73,543.54,4.119995,0,,,,,,,
74,554.12,10.57996,0,,,,,,,
75,558.44,4.320007,0,,,,,,,
76,562.48,4.040039,0,,,,,,,
77,568.6,6.119995,0,,,,,,,
78,572.8,4.200012,0,,,,,,,
79,577.78,4.97998,0,,,,,,,
80,581.88,4.099976,0,,,,,,,
81,586.5,4.619995,0,,,,,,,
82,589.86,3.360046,0,,,,,,,
83,596.8,6.939941,0,,,,,,,
84,605.3,8.5,0,,,,,,,
85,608.58,3.280029,0,,,,,,,
86,615.06,6.47998,0,,,,,,,
87,619.3,4.23999,0,,,,,,,
88,623.1,3.800049,0,,,,,,,
89,628.68,5.579956,0,,,,,,,
90,633.92,5.240051,0,,,,,,,
91,637.9,3.97998,0,,,,,,,
92,642.7,4.799988,0,,,,,,,
93,649.02,6.320007,0,,,,,,,
94,657.66,8.640015,0,,,,,,,
95,662.34,4.679993,0,,,,,,,
96,666.7,4.359985,0,,,,,,,
97,680.44,13.73999,0,,,,,,,
98,684.24,3.799988,0,,,,,,,
99,685.9,1.660034,0,,,,,,,
100,691.56,5.659973,0,,,,,,,
,,,,,,,,,,
time,posX,posY,posZ,rotX,rotY,rotZ,,,,
0.1183434,0.03827596,0.001861845,-0.04294915,355.9277,178.5151,2.008205,,-4.0723,178.5151,2.008205
0.2185011,0.03863643,0.001323932,-0.04363954,356.2803,178.4121,2.076375,,-3.7197,178.4121,2.076375
0.3261995,0.03970104,0.001071145,-0.04447213,356.4261,177.9772,1.9927,,-3.5739,177.9772,1.9927
0.4369965,0.04122867,0.00352593,-0.04354944,354.8762,177.1569,1.94544,,-5.1238,177.1569,1.94544
0.5602427,0.04070591,0.007418962,-0.04127174,352.6849,176.7469,2.474865,,-7.3151,176.7469,2.474865
0.6623249,0.04128203,0.009398066,-0.03973456,352.0612,175.7957,2.919255,,-7.9388,175.7957,2.919255
0.794981,0.04560585,0.009752881,-0.03994498,352.2443,177.3996,1.477829,,-7.7557,177.3996,1.477829
0.9002228,0.05020191,0.009256249,-0.04156923,352.5853,177.4763,1.938715,,-7.4147,177.4763,1.938715
1.001233,0.05493971,0.008334492,-0.03613227,352.9711,178.3361,1.391075,,-7.0289,178.3361,1.391075
1.101825,0.05894414,0.004602697,-0.02294028,351.6855,179.7515,1.334549,,-8.3145,179.7515,1.334549
1.229863,0.05819114,-0.008078637,0.002122371,351.088,180.7172,359.847,,-8.912,-179.2828,-0.153
1.32987,0.04833277,-0.01967283,0.03103954,350.0612,179.725,359.8431,,-9.9388,179.725,-0.1569
1.461079,0.03073593,-0.03809957,0.0765179,351.67,178.446,359.8539,,-8.33,178.446,-0.1461
1.579751,0.02728439,-0.04857872,0.1172137,355.5698,177.5903,0.9763286,,-4.4302,177.5903,0.9763286
1.680232,0.02811421,-0.04307789,0.1525261,359.1648,181.467,0.03124849,,-0.8352,-178.533,0.03124849
1.791142,0.01025529,-0.03653464,0.189416,6.234843,199.9164,2.89596,,6.234843,-160.0836,2.89596
1.900885,-0.01026437,-0.02485325,0.2197816,4.678173,220.3667,3.257298,,4.678173,-139.6333,3.257298
2.001902,-0.0260905,-0.01968667,0.2375084,1.868535,235.5723,3.840075,,1.868535,-124.4277,3.840075
2.118212,-0.04366974,-0.01506362,0.2626969,1.062388,256.7244,1.806186,,1.062388,-103.2756,1.806186
2.240567,-0.05045408,-0.008495513,0.2959383,356.9796,283.7869,0.3702377,,-3.0204,-76.2131,0.3702377
2.342892,-0.04320064,-0.003000576,0.3118089,353.1269,299.6335,0.5445891,,-6.8731,-60.3665,0.5445891
2.476085,-0.02639346,-0.01380818,0.3315349,359.0839,316.8736,2.745834,,-0.9161,-43.1264,2.745834
2.609671,0.00928217,-0.01984775,0.3609911,0.7614565,338.4201,3.22524,,0.7614565,-21.5799,3.22524
2.718914,0.04582195,-0.006351381,0.3823978,354.0847,355.614,0.5186459,,-5.9153,-4.386,0.5186459
2.842865,0.07261952,0.01787172,0.3881202,341.4942,4.432592,356.691,,-18.5058,4.432592,-3.309
2.966018,0.08319416,0.02692111,0.3934852,333.8006,5.004524,353.5801,,-26.1994,5.004524,-6.4199
3.069197,0.07602483,0.02655882,0.3974457,333.8889,357.443,354.5844,,-26.1111,-2.557,-5.4156
3.169741,0.05256703,0.02602962,0.3944711,334.7805,339.399,356.8533,,-25.2195,-20.601,-3.1467
3.272565,0.02281237,0.02677374,0.3730065,336.0065,311.7786,359.1898,,-23.9935,-48.2214,-0.8102
3.396765,0.00512232,0.02665704,0.3209375,337.2228,270.644,1.608719,,-22.7772,-89.356,1.608719
3.518267,0.02838412,0.02496906,0.2679164,339.6263,228.7891,3.746124,,-20.3737,-131.2109,3.746124
3.619787,0.0607461,0.01879375,0.2460402,343.8214,202.705,3.362638,,-16.1786,-157.295,3.362638
3.731962,0.09622455,0.004523808,0.2376231,351.2182,178.497,2.145289,,-8.7818,178.497,2.145289
3.834417,0.1222937,0.008633434,0.2349081,348.9347,158.2983,359.8311,,-11.0653,158.2983,-0.1689
3.935285,0.1396143,0.01993229,0.2415905,340.5804,141.5184,357.6225,,-19.4196,141.5184,-2.3775
4.04387,0.15159,0.02076218,0.252488,337.326,125.5617,358.5764,,-22.674,125.5617,-1.4236
4.146508,0.1636773,0.01318831,0.2634813,340.8704,110.4479,0.962791,,-19.1296,110.4479,0.962791
4.247986,0.1712738,0.006272866,0.2735503,345.5833,98.26283,1.326352,,-14.4167,98.26283,1.326352
4.370702,0.1744159,-0.0143751,0.2845659,355.984,86.04316,359.6564,,-4.016,86.04316,-0.3436
4.47328,0.1673903,-0.02252441,0.2865389,0.4321902,82.14761,357.5407,,0.4321902,82.14761,-2.4593
4.573626,0.1479285,-0.01989506,0.2882941,355.4128,78.39553,358.0974,,-4.5872,78.39553,-1.9026
4.700217,0.1078658,-0.02359277,0.2885879,353.6246,78.98778,357.1618,,-6.3754,78.98778,-2.8382
4.812742,0.05959816,-0.03140672,0.2921916,352.8771,82.32874,357.0298,,-7.1229,82.32874,-2.9702
4.934411,0.005168506,-0.01980501,0.3055179,351.495,85.87452,358.0748,,-8.505,85.87452,-1.9252
5.034795,-0.03536684,-0.01705477,0.3253235,351.4211,88.67,358.0248,,-8.5789,88.67,-1.9752
5.135658,-0.07554342,-0.02557278,0.3546416,352.151,89.35226,357.7254,,-7.849,89.35226,-2.2746
5.239414,-0.1190389,-0.04040935,0.3995538,353.7307,88.71104,355.8834,,-6.2693,88.71104,-4.1166
5.373812,-0.1865158,-0.05472254,0.4989646,353.2879,83.20616,353.2695,,-6.7121,83.20616,-6.7305
5.488976,-0.2490476,-0.04767676,0.5852221,354.5599,71.98878,352.8765,,-5.4401,71.98878,-7.1235
5.612485,-0.3168347,-0.04080867,0.660361,351.8781,62.78039,354.2882,,-8.1219,62.78039,-5.7118
5.737732,-0.3666218,-0.03759997,0.7108629,352.7901,54.82293,355.8549,,-7.2099,54.82293,-4.1451
5.840419,-0.4165005,-0.03585001,0.7490888,353.8021,44.65157,356.1601,,-6.1979,44.65157,-3.8399
5.950287,-0.463257,-0.03542685,0.7685041,354.9169,36.38606,356.5915,,-5.0831,36.38606,-3.4085
6.051617,-0.494249,-0.03282503,0.7774857,356.1346,36.33181,355.0902,,-3.8654,36.33181,-4.9098
6.178044,-0.5195024,-0.03217368,0.7918103,356.3343,39.541,356.7205,,-3.6657,39.541,-3.2795
6.301353,-0.5313404,-0.02912822,0.8093883,0.3675455,45.88992,352.8423,,0.3675455,45.88992,-7.1577
6.401401,-0.542616,-0.03249644,0.8242452,2.232436,49.18021,351.2776,,2.232436,49.18021,-8.7224
6.517026,-0.5578723,-0.02978651,0.8398296,4.540743,48.44123,352.5418,,4.540743,48.44123,-7.4582
6.640447,-0.5707421,-0.02244329,0.8562713,2.240941,47.28556,355.5956,,2.240941,47.28556,-4.4044
6.742579,-0.5876396,-0.01537609,0.8707789,0.6354609,45.2744,356.335,,0.6354609,45.2744,-3.665
6.86378,-0.6213256,-0.01553345,0.8804491,0.9868211,39.17067,357.1635,,0.9868211,39.17067,-2.8365
6.978684,-0.64964,-0.01001865,0.880147,0.6275502,37.39627,358.5241,,0.6275502,37.39627,-1.4759
7.090562,-0.6825211,-0.01298704,0.879132,2.659188,39.57711,357.4266,,2.659188,39.57711,-2.5734
7.217931,-0.7214903,-0.01662357,0.8781732,4.120073,46.67456,355.1789,,4.120073,46.67456,-4.8211
7.318582,-0.7598098,-0.02656217,0.8706561,1.535828,61.00859,354.4966,,1.535828,61.00859,-5.5034
7.430432,-0.7989575,-0.03094709,0.8671147,1.862958,74.43539,353.0623,,1.862958,74.43539,-6.9377
7.543475,-0.8285824,-0.0290367,0.8714323,1.710908,80.44818,351.1108,,1.710908,80.44818,-8.8892
