InteractionNumber,ElapsedTime,SplitTime,missCount,,,,,,,
0,2.944556, ,0,,,,,,,
1,4.404556,1.46,0,,,,,,,
2,6.584557,2.18,0,,,,,,,
3,9.444557,2.860001,0,,,,,,,
4,11.18456,1.74,0,,,,,,,
5,13.92456,2.74,0,,,,,,,
6,16.46456,2.539999,0,,,,,,,
7,17.86456,1.4,0,,,,,,,
8,18.50456,0.6400013,0,,,,,,,
9,23.18456,4.679998,0,,,,,,,
10,27.42456,4.240002,0,,,,,,,
11,31.64455,4.219997,0,,,,,,,
12,34.48455,2.84,0,,,,,,,
13,37.10456,2.620003,0,,,,,,,
14,39.54456,2.439999,0,,,,,,,
15,42.42456,2.880001,0,,,,,,,
16,52.62455,10.2,0,,,,,,,
17,54.00456,1.380005,0,,,,,,,
18,56.08455,2.079994,0,,,,,,,
19,58.66455,2.580002,0,,,,,,,
20,61.02456,2.360001,0,,,,,,,
21,63.18455,2.159996,0,,,,,,,
22,66.70456,3.520008,0,,,,,,,
23,67.96455,1.259995,0,,,,,,,
24,70.46455,2.5,0,,,,,,,
25,72.52455,2.059998,0,,,,,,,
26,74.28456,1.76001,0,,,,,,,
27,76.94455,2.659988,0,,,,,,,
28,78.58455,1.639999,0,,,,,,,
29,80.18456,1.600006,0,,,,,,,
30,82.04456,1.860001,0,,,,,,,
31,85.56456,3.520004,0,,,,,,,
32,88.20456,2.639999,0,,,,,,,
33,93.96455,5.759995,0,,,,,,,
34,95.28456,1.320007,0,,,,,,,
35,97.52455,2.23999,0,,,,,,,
36,98.66455,1.139999,0,,,,,,,
37,100.8046,2.139999,0,,,,,,,
38,105.7646,4.960007,0,,,,,,,
39,107.7446,1.979996,0,,,,,,,
40,109.6046,1.860001,0,,,,,,,
41,111.3645,1.759995,0,,,,,,,
42,116.7646,5.400009,0,,,,,,,
43,119.1246,2.360001,0,,,,,,,
44,121.2646,2.139999,0,,,,,,,
45,123.0446,1.779999,0,,,,,,,
46,123.9646,0.9199982,0,,,,,,,
47,125.0846,1.12001,0,,,,,,,
48,126.5046,1.419998,0,,,,,,,
49,128.0846,1.580002,0,,,,,,,
50,130.5646,2.479996,0,,,,,,,
51,131.9046,1.339996,0,,,,,,,
52,133.6446,1.740005,0,,,,,,,
53,137.6846,4.039993,0,,,,,,,
54,141.0646,3.380005,0,,,,,,,
55,143.8646,2.800003,0,,,,,,,
56,147.5046,3.639999,0,,,,,,,
57,150.0646,2.559998,0,,,,,,,
58,151.2246,1.160004,0,,,,,,,
59,153.7046,2.479996,0,,,,,,,
60,155.8846,2.179993,0,,,,,,,
61,159.1446,3.26001,0,,,,,,,
62,162.6046,3.459991,0,,,,,,,
63,164.5446,1.940002,0,,,,,,,
64,167.2846,2.740005,0,,,,,,,
65,170.0646,2.779999,0,,,,,,,
66,172.6446,2.580002,0,,,,,,,
67,175.2646,2.619995,0,,,,,,,
68,179.5046,4.240005,0,,,,,,,
69,183.0446,3.539993,0,,,,,,,
70,185.5046,2.460007,0,,,,,,,
71,187.8846,2.37999,0,,,,,,,
72,190.1246,2.240005,0,,,,,,,
73,193.2646,3.139999,0,,,,,,,
74,196.8646,3.600006,0,,,,,,,
75,199.4846,2.619995,0,,,,,,,
76,201.6246,2.139999,0,,,,,,,
77,203.8246,2.199997,0,,,,,,,
78,206.3246,2.5,0,,,,,,,
79,208.2245,1.899994,0,,,,,,,
80,210.2846,2.060013,0,,,,,,,
81,212.2245,1.939987,0,,,,,,,
82,216.0446,3.820007,0,,,,,,,
83,219.4445,3.399994,0,,,,,,,
84,220.8446,1.400009,0,,,,,,,
85,224.4046,3.559998,0,,,,,,,
86,226.6246,2.220001,0,,,,,,,
87,228.5246,1.899994,0,,,,,,,
88,231.8645,3.339996,0,,,,,,,
89,232.1846,0.3200073,0,,,,,,,
90,234.2646,2.080002,0,,,,,,,
91,235.8645,1.599991,0,,,,,,,
92,244.6245,8.759995,0,,,,,,,
93,247.5446,2.920013,0,,,,,,,
94,249.5645,2.019989,0,,,,,,,
95,250.5045,0.9400024,0,,,,,,,
96,253.2245,2.720001,0,,,,,,,
97,255.1446,1.920013,0,,,,,,,
98,257.3046,2.160004,0,,,,,,,
99,258.9045,1.599976,0,,,,,,,
100,260.7046,1.800018,0,,,,,,,
101,263.4246,2.720001,0,,,,,,,
102,265.8046,2.380005,0,,,,,,,
103,267.3846,1.579987,0,,,,,,,
104,270.2845,2.899994,0,,,,,,,
105,272.0045,1.720001,0,,,,,,,
106,273.4646,1.460022,0,,,,,,,
107,274.7046,1.23999,0,,,,,,,
108,276.5045,1.799988,0,,,,,,,
109,277.4846,0.980011,0,,,,,,,
110,280.0846,2.600006,0,,,,,,,
111,282.9045,2.819977,0,,,,,,,
112,285.9445,3.040009,0,,,,,,,
113,287.9445,2,0,,,,,,,
114,289.6046,1.660004,0,,,,,,,
115,291.6046,2,0,,,,,,,
116,293.5846,1.980011,0,,,,,,,
117,294.8846,1.299988,0,,,,,,,
118,297.1845,2.299988,0,,,,,,,
119,298.7646,1.580017,0,,,,,,,
120,301.1245,2.359985,0,,,,,,,
121,302.8246,1.700012,0,,,,,,,
122,307.7046,4.880005,0,,,,,,,
123,310.0645,2.359985,0,,,,,,,
124,313.1446,3.080017,0,,,,,,,
125,314.8646,1.720001,0,,,,,,,
126,317.7245,2.859985,0,,,,,,,
127,318.7046,0.980011,0,,,,,,,
128,320.8246,2.119995,0,,,,,,,
129,322.8046,1.980011,0,,,,,,,
130,325.2446,2.440002,0,,,,,,,
131,326.6845,1.439972,0,,,,,,,
132,328.5045,1.820007,0,,,,,,,
133,330.7845,2.279999,0,,,,,,,
134,331.7446,0.960022,0,,,,,,,
135,333.9645,2.219971,0,,,,,,,
136,342.3246,8.360016,0,,,,,,,
137,345.0846,2.76001,0,,,,,,,
138,348.2046,3.119995,0,,,,,,,
139,349.4846,1.279999,0,,,,,,,
140,351.4645,1.97998,0,,,,,,,
141,352.6245,1.160004,0,,,,,,,
142,352.9645,0.3399963,0,,,,,,,
143,356.2245,3.26001,0,,,,,,,
144,359.8246,3.600006,0,,,,,,,
145,361.6446,1.820007,0,,,,,,,
146,362.6446,1,0,,,,,,,
147,365.5846,2.940002,0,,,,,,,
148,366.3246,0.7399902,0,,,,,,,
149,367.8246,1.5,0,,,,,,,
150,370.5446,2.720001,0,,,,,,,
151,373.1845,2.639984,0,,,,,,,
152,376.0846,2.900024,0,,,,,,,
,,,,,,,,,,
time,posX,posY,posZ,rotX,rotY,rotZ,,,,
0.1160173,-0.01880963,-0.002595547,0.005195093,359.4626,2.138208,0.9661137,,-0.5374,2.138208,0.9661137
0.2423029,-0.0191379,-0.002855899,0.007935477,359.6036,1.860524,0.8300033,,-0.3964,1.860524,0.8300033
0.356369,-0.02209713,-0.003110343,0.01093668,359.8208,0.7364931,0.6019314,,-0.1792,0.7364931,0.6019314
0.4570608,-0.03876523,-0.003987426,0.01140746,0.6609613,351.4921,0.3237211,,0.6609613,-8.5079,0.3237211
0.5761824,-0.07079757,-0.005312005,0.002199576,1.504051,330.6779,0.6220278,,1.504051,-29.3221,0.6220278
0.7115088,-0.1019203,-0.008501735,-0.02372887,2.731875,303.795,1.832068,,2.731875,-56.205,1.832068
0.8214436,-0.1132856,-0.01391783,-0.04408932,5.12169,288.2469,2.425911,,5.12169,-71.7531,2.425911
0.9414349,-0.1178565,-0.02088603,-0.06343451,8.212996,274.4768,1.553115,,8.212996,-85.5232,1.553115
1.152206,-0.1183444,-0.02604252,-0.06288195,10.90156,273.5094,359.6827,,10.90156,-86.4906,-0.3173
1.278711,-0.09779389,-0.03357697,-0.00972862,14.70569,305.165,359.9193,,14.70569,-54.835,-0.0807
1.391423,-0.06269814,-0.03732826,0.02172583,15.99223,331.9659,1.534999,,15.99223,-28.0341,1.534999
1.507589,-0.01824946,-0.04017115,0.03613359,17.09381,358.6329,3.199869,,17.09381,-1.3671,3.199869
1.631578,0.02491748,-0.04219021,0.03322602,17.8069,24.65052,5.206102,,17.8069,24.65052,5.206102
1.745458,0.0545922,-0.04201706,0.01974025,16.55586,45.90862,6.233525,,16.55586,45.90862,6.233525
1.870073,0.07545774,-0.03945914,-0.002915459,14.4914,67.60332,7.487942,,14.4914,67.60332,7.487942
1.97759,0.0833854,-0.03927886,-0.02724028,13.5815,84.29189,6.700039,,13.5815,84.29189,6.700039
2.083142,0.08625267,-0.04065598,-0.04458673,13.49914,95.12167,7.46951,,13.49914,95.12167,7.46951
2.183677,0.08823595,-0.04458472,-0.05235794,14.52934,99.93489,8.120293,,14.52934,99.93489,8.120293
2.301683,0.09283683,-0.0461125,-0.05105872,14.96577,98.71401,7.507037,,14.96577,98.71401,7.507037
2.405272,0.09847528,-0.04687709,-0.04828066,15.0974,95.37119,6.395883,,15.0974,95.37119,6.395883
2.530849,0.1122692,-0.0470571,-0.0497994,15.86912,93.07804,6.97918,,15.86912,93.07804,6.97918
2.633415,0.1281867,-0.04654082,-0.05037489,16.06186,90.88374,7.219478,,16.06186,90.88374,7.219478
2.734959,0.1463151,-0.04675343,-0.05061238,15.98242,89.17601,6.981641,,15.98242,89.17601,6.981641
2.857308,0.1951519,-0.05094846,-0.04612624,15.45366,88.18788,6.294778,,15.45366,88.18788,6.294778
2.972343,0.2597401,-0.06216593,-0.03743666,14.19534,86.2766,6.002342,,14.19534,86.2766,6.002342
3.084544,0.3478073,-0.06677546,-0.02013278,13.31544,83.50362,3.298589,,13.31544,83.50362,3.298589
3.18465,0.4026926,-0.06313458,-0.005939815,14.4212,83.90073,3.222726,,14.4212,83.90073,3.222726
3.286169,0.4284935,-0.06715778,0.01188599,18.4547,80.47324,6.341917,,18.4547,80.47324,6.341917
3.399802,0.4069482,-0.05833638,0.04191659,19.7883,60.74889,1.413414,,19.7883,60.74889,1.413414
3.501081,0.3307975,-0.03924284,0.06864805,14.19474,29.30305,355.8962,,14.19474,29.30305,-4.1038
3.608776,0.2171927,-0.02953763,0.06738814,10.37496,352.9451,356.6959,,10.37496,-7.0549,-3.3041
3.726885,0.1227998,-0.02573326,0.03848368,8.162169,325.0304,0.1029487,,8.162169,-34.9696,0.1029487
3.833918,0.05916759,-0.03386242,0.009673294,10.2151,308.5941,0.7908139,,10.2151,-51.4059,0.7908139
3.934231,0.02380185,-0.0346995,-0.003801795,10.80165,301.9897,359.7834,,10.80165,-58.0103,-0.2166
4.036236,-0.000712007,-0.03636273,-0.008603163,12.33515,298.5961,359.7603,,12.33515,-61.4039,-0.2397
4.136799,-0.02392599,-0.03888292,-0.004016718,12.80765,296.7281,0.7203854,,12.80765,-63.2719,0.7203854
4.264683,-0.0790717,-0.05328002,0.01617859,13.81455,296.7252,0.4785806,,13.81455,-63.2748,0.4785806
4.38657,-0.1867001,-0.08120753,0.06390017,14.86142,300.2882,0.831715,,14.86142,-59.7118,0.831715
4.499804,-0.3185918,-0.1424991,0.1292026,14.2906,305.0863,0.672258,,14.2906,-54.9137,0.672258
4.614298,-0.4232379,-0.2007785,0.1950454,12.88252,309.8667,2.132207,,12.88252,-50.1333,2.132207
4.715401,-0.4693485,-0.2300922,0.2313746,20.9802,312.1895,0.4610653,,20.9802,-47.8105,0.4610653
4.832214,-0.4523546,-0.194212,0.2451643,24.02013,323.1072,1.365416,,24.02013,-36.8928,1.365416
4.951202,-0.3557387,-0.1177962,0.2313125,17.69177,351.5359,10.31786,,17.69177,-8.4641,10.31786
5.051268,-0.2479808,-0.06735512,0.1824509,8.91285,10.98357,10.54877,,8.91285,10.98357,10.54877
5.152748,-0.1435176,-0.04800306,0.1212833,6.504583,22.68693,8.627358,,6.504583,22.68693,8.627358
5.280502,-0.03237226,-0.03267159,0.05865419,6.030149,29.95696,6.492842,,6.030149,29.95696,6.492842
5.401585,0.03961124,-0.01399039,0.01829887,5.749838,37.3381,3.945,,5.749838,37.3381,3.945
5.504436,0.07511177,-0.009821882,-0.004098656,5.701961,43.74014,1.397033,,5.701961,43.74014,1.397033
5.627104,0.1105353,-0.01171547,-0.03945768,5.766528,64.5193,358.1006,,5.766528,64.5193,-1.8994
5.742231,0.1248423,-0.01600626,-0.07850286,5.728763,92.43567,359.0836,,5.728763,92.43567,-0.9164
5.843727,0.1187632,-0.02461449,-0.1026266,8.710586,110.0692,1.102901,,8.710586,110.0692,1.102901
5.955772,0.1094992,-0.02873699,-0.1097482,9.836391,117.7453,2.688566,,9.836391,117.7453,2.688566
6.077541,0.1027902,-0.0502357,-0.0968767,18.66438,110.8506,6.229971,,18.66438,110.8506,6.229971
6.182322,0.0971183,-0.08550791,-0.08206962,33.4306,101.4072,8.701478,,33.4306,101.4072,8.701478
6.304056,0.09276208,-0.1067504,-0.06428541,42.02927,94.31464,11.03025,,42.02927,94.31464,11.03025
6.408991,0.1005878,-0.09564643,-0.05212213,36.43401,91.70436,10.01201,,36.43401,91.70436,10.01201
6.531567,0.1336432,-0.08892954,-0.04165105,30.34421,90.87335,9.094346,,30.34421,90.87335,9.094346
6.639132,0.1991525,-0.09951007,-0.02972212,28.42229,90.5202,10.38242,,28.42229,90.5202,10.38242
6.744152,0.3183602,-0.1519101,0.003248593,28.31126,86.06429,9.730371,,28.31126,86.06429,9.730371
6.863188,0.4027929,-0.1989906,0.03052361,29.66193,85.88805,7.278253,,29.66193,85.88805,7.278253
6.969477,0.4105886,-0.1934449,0.04991297,34.69406,87.0773,10.57683,,34.69406,87.0773,10.57683
7.07123,0.3552929,-0.1401984,0.07079252,28.58415,71.35644,6.347764,,28.58415,71.35644,6.347764
