InteractionNumber,ElapsedTime,SplitTime
1,2.68644
2,6.966438,4.279999
3,9.966438,3
4,11.92644,1.959999
5,14.06644,2.140003
6,19.32644,5.259995
7,20.34644,1.020004
8,22.90644,2.559998
9,27.08644,4.18
10,30.54644,3.459999
11,33.28643,2.739998
12,36.44644,3.160004
13,40.24644,3.800003
14,43.54644,3.299995
15,49.20644,5.660004
16,49.84644,0.6399994
17,52.48644,2.639999
18,57.24643,4.759995
19,58.46643,1.220001
20,61.12644,2.660004
21,65.22644,4.100002
22,67.86644,2.639999
23,72.38644,4.520004
24,73.94644,1.559998
25,77.04643,3.099991
26,79.44643,2.399994
27,82.96643,3.520004
28,87.26643,4.300003
29,90.64644,3.380005
30,92.52643,1.87999
31,96.52643,4
32,100.9264,4.400009
33,105.1664,4.23999
34,105.2464,0.08000183
35,107.8064,2.559998
36,111.2264,3.419998
37,114.7064,3.480011
38,118.3264,3.619995
39,122.4464,4.119995
40,124.9064,2.460007
41,132.0464,7.139999
42,132.0664,0.02000427
43,135.4064,3.339996
44,136.8064,1.399994
45,138.1864,1.380005
46,140.2664,2.080002
47,143.1464,2.880005
48,147.6064,4.459991
49,150.6264,3.020004
50,152.6864,2.059998
51,154.7264,2.039993
52,157.7264,3
53,161.7064,3.980011
54,163.9864,2.279999
55,168.6464,4.659988
56,173.3064,4.660004
57,178.8664,5.559998
58,181.5664,2.700012
59,183.9864,2.419998
60,186.4064,2.419998
61,186.4264,0.02000427
62,189.2864,2.859985
63,193.2864,4
64,198.6664,5.380005
65,200.9864,2.320007
66,204.8464,3.860001
67,208.8464,4
68,211.7064,2.859985
69,217.6064,5.899994
70,218.0064,0.4000244

posX,posY,posZ,rotX,rotY,rotZ
