InteractionNumber,ElapsedTime,SplitTime,missCount
0,2.775833, ,0
1,4.475838,1.700005,0
2,7.055832,2.579994,0
3,9.775833,2.720001,0
4,11.65584,1.880005,0
5,17.21584,5.559998,0
6,19.57584,2.360001,0
7,21.69583,2.119995,0
8,25.17583,3.480003,0
9,26.73583,1.559998,0
10,28.41583,1.68,0
11,31.35583,2.940002,0
12,33.13583,1.779999,0
13,40.59583,7.459999,0
14,42.51583,1.919998,0
15,43.55583,1.040001,0
16,45.35583,1.799995,0
17,50.03584,4.680008,0
18,52.21583,2.179993,0
19,54.73583,2.520004,0
20,56.83584,2.100006,0
21,58.43583,1.599991,0
22,59.57583,1.139999,0
23,60.99583,1.419998,0
24,62.65583,1.660004,0
25,71.27584,8.62001,0
26,74.23583,2.959991,0
27,77.99583,3.759995,0
28,79.87583,1.880005,0
29,81.75584,1.880005,0
30,83.11584,1.360001,0
31,85.33584,2.220001,0
32,88.43583,3.099991,0
33,90.47584,2.040009,0
34,91.95583,1.479996,0
35,93.85583,1.899994,0
36,96.59583,2.740005,0
37,97.41584,0.8200073,0
38,99.89584,2.479996,0
39,103.2558,3.360001,0
40,105.3958,2.139999,0
41,107.4358,2.039993,0
42,109.0558,1.62001,0
43,109.9958,0.9399872,0
44,112.6758,2.680008,0
45,114.4358,1.759995,0
46,116.4358,2,0
47,118.9958,2.559998,0
48,124.2758,5.279999,0
49,127.8758,3.600006,0
50,130.2358,2.360008,0
51,131.5358,1.299988,0
52,138.5558,7.02002,0
53,140.6358,2.079987,0
54,142.0758,1.440002,0
55,145.5158,3.440002,0
56,147.7158,2.199982,0
57,149.4358,1.720001,0
58,151.2158,1.779999,0
59,153.1558,1.940002,0
60,159.0158,5.860016,0
61,161.4758,2.459991,0
62,163.0358,1.559998,0
63,167.2958,4.26001,0
64,170.4358,3.139984,0
65,173.3958,2.960022,0
66,174.6358,1.23999,0
67,176.9758,2.339996,0
68,180.9958,4.02002,0
69,184.6358,3.639984,0
70,186.6158,1.980011,0
71,188.1758,1.559998,0
72,189.8358,1.660004,0
73,191.2958,1.459991,0
74,192.4958,1.200012,0
75,195.4758,2.97998,0
76,197.2558,1.779999,0
77,200.6158,3.360016,0
78,202.2758,1.660004,0
79,204.3158,2.039978,0
80,205.8358,1.52002,0
81,207.8158,1.97998,0
82,209.3758,1.559998,0
83,212.9958,3.620026,0
84,214.7558,1.759979,0
85,216.0958,1.339996,0
86,219.1958,3.100006,0
87,220.5758,1.380005,0
88,221.9758,1.399994,0
89,224.0158,2.040009,0
90,226.1358,2.119995,0
91,227.8558,1.720001,0
92,229.4958,1.640015,0
93,232.5358,3.039978,0
94,233.1758,0.6400146,0
95,237.4158,4.23999,0
96,239.9158,2.5,0
97,241.4558,1.540009,0
98,242.6358,1.179993,0
99,245.4158,2.779999,0
100,248.7758,3.360016,0
101,250.4558,1.679993,0
102,252.5358,2.079987,0
103,254.0958,1.559998,0
104,255.3558,1.26001,0
105,256.1358,0.7799988,0
106,257.5558,1.420013,0
107,259.5558,2,0
108,261.4158,1.859985,0
109,263.6958,2.279999,0
110,264.2958,0.6000061,0
111,267.5358,3.23999,0
112,269.1558,1.619995,0
