InteractionNumber,ElapsedTime,SplitTime
1,3.42503
2,8.865032,5.440002
3,11.02503,2.16
4,11.22503,0.1999969
5,13.10503,1.880001
6,15.84503,2.740002
7,18.22503,2.379997
8,20.98503,2.760002
9,23.94503,2.959995
10,25.96503,2.020004
11,27.58503,1.620003
12,31.52503,3.939995
13,33.20503,1.68
14,35.36503,2.160004
15,37.16503,1.799995
16,38.64503,1.480003
17,40.90503,2.260002
18,43.64503,2.739998
19,44.66503,1.019997
20,46.92503,2.260002
21,49.14503,2.220001
22,50.46503,1.32
23,50.48503,0.01999664
24,52.40503,1.920006
25,53.62503,1.219994
26,54.90503,1.280006
27,56.90503,2
28,60.44503,3.539993
29,62.42503,1.980003
30,64.90503,2.48
31,68.52502,3.619995
32,72.28503,3.76001
33,74.12503,1.839996
34,75.38503,1.259995
35,76.60503,1.220001
36,76.74503,0.1399994
37,78.94502,2.199997
38,81.00504,2.060013
39,83.32503,2.319992
40,85.00504,1.680008
41,86.64503,1.639999
42,88.42503,1.779999
43,90.32503,1.899994
44,92.60503,2.279999
45,94.54503,1.940002
46,96.32503,1.779999
47,96.34503,0.02000427
48,98.76503,2.419998
49,100.145,1.380005
50,100.885,0.7399902
51,102.185,1.300003
52,103.625,1.440002
53,105.665,2.040009
54,107.325,1.659988
55,108.925,1.600006
56,109.365,0.4400024
57,110.865,1.5
58,112.665,1.800003
59,114.565,1.899994
60,115.825,1.259995
61,117.585,1.76001

posX,posY,posZ,rotX,rotY,rotZ
