InteractionNumber,ElapsedTime,SplitTime,missCount
0,2.826314, ,0
1,7.626313,4.799999,0
2,11.48631,3.860001,0
3,17.40631,5.920001,0
4,19.70631,2.299999,0
5,22.50631,2.799999,0
6,27.00631,4.5,0
7,29.88631,2.879997,0
8,32.90631,3.02,0
9,37.56631,4.66,0
10,40.84631,3.280003,0
11,43.60631,2.759998,0
12,46.70631,3.099998,0
13,49.96631,3.260002,0
14,54.26631,4.299995,0
15,56.52631,2.260002,0
16,59.12631,2.599998,0
17,61.12631,2,0
18,65.84631,4.720005,0
19,67.54632,1.700005,0
20,70.72632,3.18,0
21,77.04632,6.32,0

time,posX,posY,posZ,rotX,rotY,rotZ
0.1121445,-0.04106786,0.0005780711,0.09923889,353.3106,358.0511,1.95812
0.2248993,-0.04285651,0.0008259867,0.0997673,353.2654,357.556,2.107937
0.325386,-0.04580539,0.0001208824,0.100524,353.6008,356.2854,2.050491
0.437108,-0.05098515,-0.001488038,0.1013972,354.4426,353.7296,2.171353
0.5375223,-0.05618487,-0.002907224,0.1023424,355.1674,351.3647,2.684608
0.6493483,-0.06357833,-0.004402194,0.1047172,356.0234,349.0125,3.228988
0.7498331,-0.07356492,-0.007038675,0.1079147,357.6454,347.1643,3.551966
0.8499365,-0.08717562,-0.01311343,0.1128261,0.4204023,345.5415,4.322312
0.9502516,-0.1030158,-0.0222463,0.1200719,3.900199,344.7871,4.542594
1.062401,-0.1226637,-0.03303418,0.1347452,6.927309,345.5209,4.264979
1.162459,-0.1420831,-0.04369086,0.1557247,8.193484,347.1241,3.745377
1.274262,-0.1653626,-0.06087667,0.1927116,7.742077,349.6383,2.915296
1.374527,-0.1813056,-0.08648249,0.2363938,6.895875,351.6422,3.74098
1.474615,-0.191488,-0.111613,0.2853357,7.737708,351.8543,4.086659
1.582493,-0.1971444,-0.1376532,0.3526843,7.409411,350.8914,3.817082
1.687757,-0.1967062,-0.1752204,0.4254874,6.705793,348.8347,3.693853
1.799608,-0.1931952,-0.2210389,0.5075777,8.372862,346.7168,3.092296
1.900057,-0.1931731,-0.2528385,0.569813,8.15352,345.3476,3.086533
2.011834,-0.1940997,-0.2825091,0.6208191,8.891154,344.4551,3.810916
2.124572,-0.1994657,-0.2897427,0.6499471,9.580067,343.8317,2.87968
2.224597,-0.2064512,-0.2804313,0.6558994,10.06481,343.3245,2.97832
2.324945,-0.2113257,-0.2606046,0.6458442,8.574983,343.2452,2.76936
2.436578,-0.2145416,-0.2327097,0.616062,6.592691,343.4428,2.315458
2.549075,-0.2162804,-0.2022247,0.5722317,4.899229,344.0111,2.533906
2.661484,-0.2170525,-0.1761946,0.5259197,3.27834,344.8543,2.428529
2.762012,-0.2182039,-0.1629797,0.4906085,2.436491,345.5598,2.562028
2.873904,-0.2194126,-0.1596529,0.4680303,2.542881,346.7634,2.808489
2.986555,-0.2201577,-0.1592033,0.4711954,2.401723,347.457,3.480917
3.087084,-0.2224969,-0.1601397,0.4929078,3.175518,347.6531,3.948356
3.199177,-0.2243843,-0.1569371,0.5262805,4.053993,346.4194,5.166473
3.311605,-0.2217021,-0.1381643,0.5487059,4.234544,345.6188,3.743929
3.412251,-0.2163645,-0.1155847,0.5434839,3.079265,347.533,2.435882
3.523846,-0.2106825,-0.1012898,0.5053113,2.476606,354.8448,1.980603
3.636111,-0.2024324,-0.1021732,0.4415092,3.154391,6.633449,2.634208
3.73646,-0.1976945,-0.09857763,0.3808924,4.993791,16.99574,3.320404
3.848566,-0.1885096,-0.09387329,0.3189805,6.36446,27.21925,4.509811
3.948685,-0.1723538,-0.08665872,0.2718686,7.016697,36.41077,5.014566
4.048927,-0.1494918,-0.07841765,0.230206,7.250204,47.21761,5.163683
4.149031,-0.1245851,-0.0736542,0.1943936,8.044307,56.59165,5.847508
4.250229,-0.09650706,-0.06712063,0.1622847,7.246839,65.8498,6.399777
4.361523,-0.07055918,-0.05458352,0.1362451,4.096388,71.56699,5.992724
4.473493,-0.05085399,-0.04274907,0.1197931,1.635803,74.46519,5.351638
4.573736,-0.03741137,-0.04453133,0.1124234,3.505688,75.89854,5.316886
4.68624,-0.03013227,-0.05429595,0.1109897,8.125709,76.41691,5.949288
4.798344,-0.01767153,-0.06205701,0.1149119,10.50485,75.91693,6.296419
4.899129,0.00526467,-0.07368069,0.115168,13.92148,73.90646,7.098792
5.011257,0.04584114,-0.07832755,0.1104751,16.18466,70.7905,5.198433
5.1306,0.09690409,-0.07201473,0.1040426,15.05541,67.43739,3.885906
5.236159,0.1462167,-0.06334572,0.1046556,13.13668,66.28018,2.235751
5.336448,0.1871672,-0.0582621,0.1155685,12.71759,66.30469,2.151443
5.448512,0.2332664,-0.06443176,0.1404941,14.32419,66.70043,2.387908
5.549141,0.2741722,-0.07469408,0.1721817,16.90255,66.82607,3.444522
5.66219,0.324718,-0.092644,0.2139979,21.13509,66.64223,4.590794
5.773215,0.385503,-0.1188583,0.2528417,24.69014,65.41082,4.517553
5.873719,0.4558515,-0.1413783,0.2836363,25.95277,64.11045,3.316705
5.984466,0.5444496,-0.1700694,0.3094982,29.34918,63.34766,3.59735
6.085801,0.6284694,-0.2059982,0.3263212,30.17285,63.12028,4.414795
6.197062,0.7089876,-0.2539839,0.3403796,31.26814,61.69171,6.22664
6.29769,0.7598434,-0.293178,0.3536738,29.93395,60.62182,5.922674
6.410474,0.7866015,-0.3491418,0.3647085,34.10553,60.54484,6.524267
6.510482,0.7951944,-0.3994282,0.3782144,34.84265,59.99327,7.267076
6.62284,0.796208,-0.4707638,0.3925548,38.40122,59.58367,8.638743
6.723849,0.8019953,-0.5388924,0.4061485,36.8658,60.00594,9.074181
6.835368,0.8150356,-0.6057035,0.411976,31.08176,61.46332,11.04655
6.936597,0.8304182,-0.6519178,0.4004074,26.92212,69.14898,13.19987
7.047503,0.8353184,-0.6826395,0.3848886,25.78748,76.83467,13.54109
7.147735,0.8307927,-0.6825436,0.3776591,24.84031,78.4465,12.90151
7.247977,0.8264328,-0.6612554,0.3716287,22.7308,79.40438,12.06862
7.360509,0.8191204,-0.6229497,0.3659281,22.64487,79.26341,11.90669
7.461558,0.8151429,-0.5839534,0.364623,20.92207,78.67097,9.596325
7.572034,0.8093027,-0.5456598,0.3614617,21.2908,77.83092,9.537111
7.672496,0.800926,-0.5222026,0.3567739,22.69064,77.28105,9.208492
7.785331,0.7918878,-0.5216511,0.3521199,30.97106,75.27539,9.907928
7.886304,0.7928215,-0.52337,0.3575965,36.61872,69.26726,8.467196
7.997523,0.797554,-0.4973824,0.3695917,37.78228,62.21961,4.725254
8.097775,0.7962474,-0.450827,0.3807626,37.52497,56.57107,3.757635
8.210155,0.7814671,-0.3780465,0.3963925,36.69363,45.84829,1.680934
8.322837,0.745764,-0.2955394,0.4086729,31.89578,29.39934,357.1944
8.435115,0.6913151,-0.2212545,0.4127071,27.00413,13.91175,353.3784
8.547671,0.6123695,-0.1688133,0.3999545,21.8409,359.2375,351.5236
8.648122,0.5305121,-0.1387261,0.3794208,17.57309,347.4852,351.0563
8.75036,0.4502138,-0.1130885,0.3576628,15.00611,338.508,351.9501
8.861165,0.3674428,-0.08588214,0.3357689,12.2752,328.7796,353.0339
8.971839,0.2975728,-0.06579159,0.3111231,9.947078,315.6611,355.0738
9.072143,0.2531899,-0.04938064,0.288319,7.326588,303.9541,356.4077
9.17246,0.2244782,-0.04294002,0.264221,6.116357,291.1901,357.4298
9.284945,0.2088775,-0.04007347,0.244686,6.617688,278.9767,358.6799
9.384982,0.1955636,-0.04167948,0.2381045,6.740911,276.903,357.6036
9.485602,0.1763427,-0.04413906,0.2295906,9.527925,278.6304,357.5897
9.597541,0.1464246,-0.03151399,0.2113569,5.102596,279.6248,0.3068816
9.709931,0.1076728,-0.02617504,0.1902853,3.447192,281.9059,0.5908672
9.809974,0.06485192,-0.01965097,0.1712218,359.7393,284.5167,0.9813444
9.910342,0.02593781,-0.01471583,0.1550809,356.601,286.6675,1.861395
10.02253,-0.01019428,-0.01034761,0.1502939,354.9798,291.3599,1.300485
10.12267,-0.03538633,-0.008665877,0.1586816,354.3588,298.3888,359.891
10.23481,-0.06284341,-0.01816703,0.1804584,355.9963,305.1868,359.9678
10.34762,-0.09360451,-0.02523155,0.2096277,353.06,307.3522,0.3835966
10.4478,-0.12248,-0.03381578,0.2380604,352.2579,305.8295,1.529191
10.56045,-0.1513298,-0.04457822,0.2660692,357.0008,301.127,1.738778
10.67253,-0.1755335,-0.05227343,0.2810807,5.940445,296.553,1.659305
10.77482,-0.197277,-0.06635946,0.287205,15.03189,293.3083,2.581628
10.88043,-0.2061984,-0.07299895,0.2824467,18.69027,291.2853,3.083847
10.98227,-0.2106742,-0.05234261,0.2675262,8.873001,289.6531,2.137851
11.08291,-0.2066631,-0.02784744,0.2460241,357.0099,287.4651,2.529436
11.18383,-0.1967136,-0.008602476,0.2236728,345.7788,285.6278,2.460514
11.29537,-0.1856547,0.005332499,0.2044369,337.9304,285.6885,3.374504
11.40817,-0.1794451,0.0127158,0.1930695,333.706,286.9402,3.90491
11.51189,-0.1742126,0.0182415,0.1886184,331.3651,288.73,3.723551
11.62138,-0.1655849,0.0237492,0.183393,328.1396,289.2761,5.00811
11.73384,-0.1580615,0.02601342,0.1834923,327.5833,289.9224,5.702477
11.84643,-0.151591,0.02739882,0.1830644,328.0801,291.5016,5.24586
11.95815,-0.1455841,0.02395068,0.1973854,331.6167,300.8733,2.854335
12.0583,-0.1365057,0.01272917,0.226446,337.4243,315.5041,0.3098119
12.1583,-0.1197822,0.003416965,0.2631666,343.1646,331.6499,358.6567
12.25831,-0.1003288,-0.001322203,0.2926648,347.8052,349.095,355.983
12.35923,-0.0862392,-0.005165247,0.3085882,349.4706,4.240168,354.8761
12.4652,-0.08055279,-0.005780621,0.3116462,351.6635,16.09795,355.7254
12.57106,-0.07555777,-0.005732726,0.2978408,352.315,29.48795,357.4263
12.68343,-0.07595483,-0.01127229,0.2677685,351.5727,41.56871,357.4862
12.78364,-0.07782202,-0.01642474,0.2364091,352.163,51.80524,359.373
12.88483,-0.07538728,-0.02192209,0.2004153,353.815,60.76624,1.495305
12.99573,-0.06190027,-0.02176585,0.1525697,355.6445,70.13011,1.767964
13.10844,-0.04114382,-0.01909042,0.09608436,356.1224,83.71883,359.2401
13.20852,-0.02308146,-0.02087264,0.05757561,355.7256,91.60481,359.0374
13.30859,-0.006479033,-0.01703379,0.046647,355.0863,87.05896,0.5741696
13.41018,-0.006212648,-0.01211649,0.07763241,353.9131,57.92586,1.922351
13.52157,-0.04301152,-0.01323427,0.1111197,353.6156,15.52705,3.052113
13.63321,-0.07795118,-0.01499696,0.1153218,352.9296,346.5132,2.538443
13.73323,-0.09598332,-0.01630304,0.1104272,352.7362,331.0688,3.23713
13.8333,-0.1130572,-0.02003623,0.1030019,352.7797,317.0941,4.230703
13.94596,-0.1352407,-0.02214643,0.08670904,352.2927,299.2367,4.420152
