InteractionNumber,ElapsedTime,SplitTime,missCount
0,1.030045, ,0
1,3.970032,2.939987,0
2,6.110031,2.139999,0
3,7.850037,1.740005,0
4,10.91003,3.059998,0
5,12.01004,1.100006,0
6,13.11003,1.099991,0
7,13.85004,0.7400055,0
8,15.41003,1.559998,0
9,17.95004,2.540009,0
10,22.45004,4.5,0
11,23.81004,1.360001,0
12,26.11003,2.299988,0
13,28.69003,2.580002,0
14,30.57004,1.880005,0
15,32.21004,1.639999,0
16,33.95004,1.740005,0
17,35.71004,1.759995,0
18,37.41003,1.699997,0
19,39.21004,1.800003,0
20,41.03003,1.819992,0
21,42.73004,1.700012,0
22,44.27003,1.539993,0
23,46.31004,2.040009,0
24,47.89003,1.579987,0
25,49.19003,1.300003,0
26,50.29004,1.100006,0
27,52.19003,1.899994,0
28,53.53003,1.339996,0
29,56.35004,2.820007,0
30,57.87004,1.520004,0
31,58.95004,1.080002,0
32,59.99004,1.039993,0
33,61.55003,1.559998,0
34,62.73004,1.180008,0
35,64.99002,2.259979,0
36,66.35004,1.360016,0
37,67.43002,1.079987,0
38,68.03003,0.6000061,0
39,69.73004,1.700012,0
40,71.37003,1.639984,0
41,72.45004,1.080017,0
42,73.53003,1.079987,0
43,74.17004,0.6400146,0
44,75.45004,1.279999,0
45,81.21002,5.759979,0
46,82.95004,1.740021,0
47,83.69003,0.7399902,0
48,84.33005,0.6400146,0
49,85.57004,1.23999,0
50,86.23004,0.6600037,0
51,87.69003,1.459991,0
52,88.27005,0.5800171,0
53,89.49002,1.219971,0
54,90.27005,0.7800293,0
55,91.73004,1.459991,0
56,93.35004,1.619995,0
57,95.85004,2.5,0
58,97.63004,1.779999,0
59,98.71002,1.079987,0
60,99.83005,1.120026,0
61,102.59,2.759979,0

posX,posY,posZ,rotX,rotY,rotZ
-0.01486765,-0.02025422,-0.03316811,8.404013,344.9047,2.584034
-0.01570628,-0.01327897,-0.03680343,4.050927,344.3082,2.827871
-0.01635005,-0.01391331,-0.03578838,4.915587,344.5023,3.03717
-0.01335272,-0.01379243,-0.03181459,5.259887,347.0287,2.70294
-0.005249765,-0.005480978,-0.02650371,1.153557,352.838,1.834535
0.004347779,0.005065384,-0.02251017,355.2273,1.058188,1.482999
0.008619718,0.01360083,-0.01804006,350.3629,5.873687,0.4051961
0.01276561,0.02360778,-0.007062532,346.6094,9.247739,359.4014
0.01571296,0.02882511,0.002444946,344.0457,10.21871,358.88
0.02372348,0.03860022,0.02195945,339.4409,9.594373,358.3747
0.03401358,0.04560141,0.04445244,336.2201,8.039044,358.9621
0.04022318,0.04382558,0.07076583,335.1689,4.034007,0.5607077
0.04742198,0.04065073,0.09471563,335.3485,1.558499,1.354288
0.05842377,0.03133153,0.1182437,339.1967,359.5434,359.3067
0.06567901,0.02318528,0.1241663,346.0204,358.9078,0.8395429
0.06264021,0.01493951,0.1197361,354.9053,353.8192,2.623468
0.04879314,0.006605624,0.1008844,2.891789,341.6871,3.723118
0.03073795,-0.004759444,0.07027848,8.988397,323.9265,3.646533
0.01310033,-0.01355805,0.03341448,10.5523,304.6927,2.800797
0.002666467,-0.02221976,0.008630324,13.38537,293.2838,1.945738
-0.008247196,-0.04627065,-0.008337036,23.11201,286.8048,358.6408
-0.02315719,-0.06514502,-0.01398591,31.11302,286.3045,357.5569
-0.04383902,-0.04326241,-0.02122208,20.03863,284.9647,356.5497
-0.05056834,-0.007279796,-0.02469813,3.543969,287.4249,357.2509
-0.03542303,0.03917987,-0.02472424,334.3629,296.4624,357.7357
-0.01299834,0.0509106,-0.02852047,321.4913,306.3517,354.6982
0.003009953,0.05241538,-0.021061,318.7132,321.8523,350.5312
0.01625076,0.04291329,0.00249844,327.39,340.4595,347.878
0.04063804,0.01842399,0.02520863,344.2156,1.872593,346.147
0.06751573,-0.0085706,0.03259085,0.9302549,20.30774,346.3048
0.09353169,-0.04113693,0.02858158,18.26493,40.38065,351.5284
0.1083422,-0.06573062,0.02043651,30.0337,56.06626,357.5772
0.120279,-0.08046864,0.01866667,33.39661,62.71299,0.6053845
0.1451899,-0.08901638,0.02945247,34.0767,63.51303,0.7161906
0.1844898,-0.09731733,0.05544451,34.39373,60.41673,1.583217
0.2440256,-0.1131185,0.09723943,33.49919,55.6759,1.638881
0.2986321,-0.1300796,0.1409628,32.31939,51.19169,1.421862
0.3809728,-0.1747513,0.2178628,30.2527,43.60102,358.992
0.4236592,-0.2166452,0.2728297,28.7952,41.39027,356.6313
0.4490817,-0.2639857,0.3212203,26.65803,38.18238,357.621
0.4643581,-0.3107386,0.3597442,24.96599,33.81144,355.7634
0.4717849,-0.3488851,0.3953541,23.45808,30.73086,355.8665
0.4635368,-0.3688951,0.4219746,33.33979,24.96018,356.0057
0.431776,-0.335061,0.4346557,31.49757,17.07382,354.2809
0.3650593,-0.2607103,0.4246294,24.62502,2.998392,352.8775
0.2942998,-0.1938346,0.3921907,21.02753,350.0736,353.4835
0.203251,-0.1198507,0.3280515,13.54499,335.9194,354.6019
0.130706,-0.06626657,0.2590132,6.009597,326.7112,356.4266
0.06117854,-0.01219975,0.1733879,352.8825,320.6441,0.9910457
