InteractionNumber,ElapsedTime,SplitTime
1,1.312832
2,2.972832,1.66
3,3.472832,0.5
4,5.672832,2.200001
5,6.732832,1.059999
6,7.712831,0.9799995
7,10.09283,2.380001
8,10.95283,0.8599987
9,11.51283,0.5600014
10,13.07283,1.559999
11,14.29283,1.219999
12,15.33283,1.040001
13,16.29283,0.9599991
14,17.85283,1.560001
15,18.75283,0.8999977
16,19.83283,1.080002
17,20.97283,1.139999
18,22.79283,1.82
19,24.09283,1.299999
20,26.07283,1.98
21,26.63283,0.5600014
22,28.77283,2.139999
23,29.99283,1.220001
24,31.17283,1.18
25,31.27283,0.09999847
26,32.91283,1.639999
27,32.93283,0.02000046
28,33.55283,0.6199989
29,34.53283,0.9800034
30,36.29283,1.759998
31,37.67283,1.380001
32,38.65283,0.9799995
33,39.41283,0.7599983
34,40.29283,0.8800011
35,41.07283,0.7799988
36,43.43283,2.360001
37,44.55283,1.119999
38,45.47283,0.920002
39,46.29283,0.8199997
40,46.95283,0.6599998
41,48.51283,1.559998
42,49.05283,0.5400009
43,50.27283,1.220001
44,51.83283,1.559998
45,55.19283,3.360001
46,56.43283,1.240005
47,57.89283,1.459999
48,60.09283,2.199997
49,60.97283,0.8799973
50,62.03283,1.060005
51,62.75283,0.7200012
52,64.43283,1.679996
53,66.23283,1.800003
54,66.57283,0.3399963
55,67.55283,0.9799957
56,68.59283,1.040009
57,70.39284,1.800003
58,71.69283,1.299988
59,72.67284,0.980011
60,74.41283,1.73999
61,75.63283,1.220001
