,time,posX,posY,posZ,gazeX,gazeY,gazeZ
0,0.01445007,0.00120023,1.5,1.5,-0.02226518,1.451139,1.5
1,0.03445435,0.00248709,1.5,1.5,-0.02237428,1.451221,1.5
2,0.05445099,0.0050355,1.5,1.5,-0.02218327,1.451998,1.5
3,0.07445526,0.0062615,1.5,1.5,-0.02199646,1.452313,1.5
4,0.0944519,0.00872825,1.5,1.5,-0.02142413,1.453893,1.5
5,0.1144562,0.01123407,1.5,1.5,-0.02122664,1.45625,1.5
6,0.1344528,0.01248685,1.5,1.5,-0.02119183,1.457216,1.5
7,0.1544495,0.01379829,1.5,1.5,-0.02092807,1.458436,1.5
8,0.1744537,0.01646722,1.5,1.5,-0.0201324,1.461371,1.5
9,0.1944504,0.01886237,1.5,1.5,-0.01995759,1.461537,1.5
10,0.2144547,0.02133414,1.5,1.5,-0.01942424,1.46294,1.5
11,0.2344513,0.02259748,1.5,1.5,-0.01932616,1.463743,1.5
12,0.2544556,0.02510631,1.5,1.5,-0.0194084,1.46512,1.5
13,0.2744522,0.0263234,1.5,1.5,-0.01916391,1.465703,1.5
14,0.2944565,0.02877104,1.5,1.5,-0.01971765,1.466681,1.5
15,0.3144531,0.03128363,1.5,1.5,-0.02059008,1.467328,1.5
16,0.3344498,0.03253096,1.5,1.5,-0.02122482,1.467621,1.5
17,0.354454,0.03502931,1.5,1.5,-0.02213966,1.469024,1.5
18,0.3744507,0.03626463,1.5,1.5,-0.02234128,1.468978,1.5
19,0.394455,0.03876576,1.5,1.5,-0.0234938,1.468318,1.5
20,0.4144516,0.0412812,1.5,1.5,-0.02409209,1.467305,1.5
21,0.4344559,0.04257093,1.5,1.5,-0.02428973,1.467201,1.5
22,0.4544525,0.04511817,1.5,1.5,-0.02475596,1.467938,1.5
23,0.4744568,0.04629077,1.5,1.5,-0.02513525,1.467909,1.5
24,0.4944534,0.04880495,1.5,1.5,-0.02563319,1.466908,1.5
25,0.5144501,0.05133207,1.5,1.5,-0.02549015,1.46604,1.5
26,0.5344543,0.05257988,1.5,1.5,-0.02542942,1.465958,1.5
27,0.554451,0.05515224,1.5,1.5,-0.02457473,1.465675,1.5
28,0.5744553,0.05639811,1.5,1.5,-0.02378032,1.465927,1.5
29,0.5944519,0.05882083,1.5,1.5,-0.02201333,1.466266,1.5
30,0.6144562,0.06131435,1.5,1.5,-0.01996815,1.466962,1.5
31,0.6344528,0.06260256,1.5,1.5,-0.01862611,1.466905,1.5
32,0.6544495,0.06509974,1.5,1.5,-0.01563263,1.466899,1.5
33,0.6744537,0.06636693,1.5,1.5,-0.01477421,1.467284,1.5
34,0.6944504,0.06891283,1.5,1.5,-0.01207534,1.467249,1.5
35,0.7144547,0.07135133,1.5,1.5,-0.01023271,1.466585,1.5
36,0.7344513,0.07259963,1.5,1.5,-0.009344546,1.466121,1.5
37,0.7544556,0.07510255,1.5,1.5,-0.007651274,1.465863,1.5
38,0.7744522,0.07635219,1.5,1.5,-0.007042631,1.465688,1.5
39,0.7944565,0.07891902,1.5,1.5,-0.006303926,1.464769,1.5
40,0.8144531,0.08139897,1.5,1.5,-0.00643114,1.463781,1.5
41,0.8344498,0.08267957,1.5,1.5,-0.007309038,1.463493,1.5
42,0.854454,0.08517598,1.5,1.5,-0.01014861,1.463408,1.5
43,0.8744507,0.08640619,1.5,1.5,-0.01162851,1.463302,1.5
44,0.894455,0.08891931,1.5,1.5,-0.01635063,1.463697,1.5
45,0.9144516,0.09140699,1.5,1.5,-0.02362987,1.4644,1.5
46,0.9344559,0.09267654,1.5,1.5,-0.02702525,1.464417,1.5
47,0.9544525,0.09523514,1.5,1.5,-0.03485766,1.464749,1.5
48,0.9744568,0.09645333,1.5,1.5,-0.03936905,1.465444,1.5
49,0.9944534,0.09902054,1.5,1.5,-0.04778489,1.466226,1.5
50,1.01445,0.1014376,1.5,1.5,-0.05529423,1.466766,1.5
51,1.034454,0.1026781,1.5,1.5,-0.05865595,1.466806,1.5
52,1.054451,0.1052422,1.5,1.5,-0.06530475,1.466802,1.5
53,1.074455,0.1064523,1.5,1.5,-0.06840025,1.466412,1.5
54,1.094452,0.108977,1.5,1.5,-0.07344769,1.465296,1.5
55,1.114456,0.110213,1.5,1.5,-0.07527232,1.464436,1.5
56,1.134453,0.1127376,1.5,1.5,-0.07832478,1.463231,1.5
57,1.154449,0.1152529,1.5,1.5,-0.07970916,1.461588,1.5
58,1.174454,0.1164541,1.5,1.5,-0.0794291,1.460771,1.5
59,1.19445,0.1190138,1.5,1.5,-0.07789299,1.459424,1.5
60,1.214455,0.1202803,1.5,1.5,-0.07648258,1.458515,1.5
61,1.234451,0.1227565,1.5,1.5,-0.07295771,1.457522,1.5
62,1.254456,0.1252529,1.5,1.5,-0.06637049,1.456853,1.5
63,1.274452,0.1264786,1.5,1.5,-0.06141243,1.45649,1.5
64,1.294456,0.1291343,1.5,1.5,-0.05126744,1.455244,1.5
65,1.314453,0.1302864,1.5,1.5,-0.04602555,1.455055,1.5
66,1.33445,0.1327692,1.5,1.5,-0.03189125,1.454597,1.5
67,1.354454,0.1353173,1.5,1.5,-0.01689943,1.453926,1.5
68,1.374451,0.1365176,1.5,1.5,-0.008012152,1.453038,1.5
69,1.394455,0.1390489,1.5,1.5,0.01098232,1.450705,1.5
70,1.414452,0.1403129,1.5,1.5,0.02077937,1.449637,1.5
71,1.434456,0.1428369,1.5,1.5,0.04010913,1.447675,1.5
72,1.454453,0.1453261,1.5,1.5,0.05906513,1.444686,1.5
73,1.474457,0.1465744,1.5,1.5,0.06789253,1.443436,1.5
74,1.494453,0.1490772,1.5,1.5,0.08361205,1.441526,1.5
75,1.51445,0.1502856,1.5,1.5,0.09040049,1.440867,1.5
76,1.534454,0.1528618,1.5,1.5,0.1029793,1.43913,1.5
77,1.554451,0.1553847,1.5,1.5,0.1135724,1.437084,1.5
78,1.574455,0.1565999,1.5,1.5,0.1174816,1.43594,1.5
79,1.594452,0.1591352,1.5,1.5,0.1254411,1.433567,1.5
80,1.614456,0.1591352,1.50123,1.5,0.1294675,1.432278,1.5
81,1.634453,0.1591352,1.503732,1.5,0.1369866,1.429762,1.5
82,1.654449,0.1591352,1.506235,1.5,0.1438047,1.427416,1.5
83,1.674454,0.1591352,1.507456,1.5,0.1468974,1.425854,1.5
84,1.69445,0.1591352,1.510042,1.5,0.1544366,1.424689,1.5
85,1.714455,0.1591352,1.511238,1.5,0.1586146,1.424388,1.5
86,1.734451,0.1591352,1.513782,1.5,0.1668725,1.423743,1.5
87,1.754456,0.1591352,1.516272,1.5,0.1740471,1.423005,1.5
88,1.774452,0.1591352,1.517485,1.5,0.1779314,1.422665,1.5
89,1.794456,0.1591352,1.520024,1.5,0.1862147,1.422701,1.5
90,1.814453,0.1591352,1.521338,1.5,0.189822,1.422812,1.5
91,1.83445,0.1591352,1.523794,1.5,0.1964491,1.422128,1.5
92,1.854454,0.1591352,1.526284,1.5,0.2017247,1.419937,1.5
93,1.874451,0.1591352,1.527528,1.5,0.2034225,1.418561,1.5
94,1.894455,0.1591352,1.530111,1.5,0.2059043,1.414853,1.5
95,1.914452,0.1591352,1.531317,1.5,0.2062484,1.412986,1.5
96,1.934456,0.1591352,1.533836,1.5,0.2056687,1.40739,1.5
97,1.954453,0.1591352,1.535072,1.5,0.2049926,1.404305,1.5
98,1.974457,0.1591352,1.537588,1.5,0.2026951,1.398542,1.5
99,1.994453,0.1591352,1.540151,1.5,0.1991181,1.392472,1.5
100,2.01445,0.1591352,1.541346,1.5,0.1974767,1.389054,1.5
101,2.034454,0.1591352,1.543874,1.5,0.1949639,1.382525,1.5
102,2.054451,0.1591352,1.5451,1.5,0.1937094,1.379347,1.5
103,2.074455,0.1591352,1.547637,1.5,0.191189,1.374034,1.5
104,2.094452,0.1591352,1.550183,1.5,0.1887787,1.368319,1.5
105,2.114456,0.1591352,1.551347,1.5,0.1873931,1.365374,1.5
106,2.134453,0.1591352,1.552619,1.5,0.1862788,1.361894,1.5
107,2.154449,0.1591352,1.555304,1.5,0.1842522,1.356243,1.5
108,2.174454,0.1591352,1.557629,1.5,0.1826303,1.354119,1.5
109,2.19445,0.1591352,1.560146,1.5,0.1810662,1.357196,1.5
110,2.214455,0.1591352,1.561361,1.5,0.1805211,1.359949,1.5
111,2.234451,0.1591352,1.563893,1.5,0.1798577,1.365619,1.5
112,2.254456,0.1591352,1.56516,1.5,0.1794415,1.368381,1.5
113,2.274452,0.1591352,1.567677,1.5,0.1786053,1.374284,1.5
114,2.294456,0.1591352,1.57021,1.5,0.1773244,1.381019,1.5
115,2.314453,0.1591352,1.57149,1.5,0.1764152,1.384217,1.5
116,2.33445,0.1591352,1.57397,1.5,0.1747359,1.391529,1.5
117,2.354454,0.1591352,1.575189,1.5,0.1734077,1.396257,1.5
118,2.374451,0.1591352,1.577716,1.5,0.1704755,1.407528,1.5
119,2.394455,0.1591352,1.580215,1.5,0.1672416,1.418774,1.5
120,2.414452,0.1591352,1.581475,1.5,0.1654552,1.424922,1.5
121,2.434456,0.1591352,1.583966,1.5,0.1620482,1.435638,1.5
122,2.454453,0.1591352,1.585258,1.5,0.1602828,1.440536,1.5
123,2.474457,0.1591352,1.587741,1.5,0.1572813,1.451727,1.5
124,2.494453,0.1591352,1.59025,1.5,0.154864,1.462331,1.5
125,2.51445,0.1591352,1.591482,1.5,0.1537334,1.466091,1.5
126,2.534454,0.1591352,1.594028,1.5,0.152008,1.474044,1.5
127,2.554451,0.1591352,1.595216,1.5,0.1515323,1.478677,1.5
128,2.574455,0.1591352,1.597793,1.5,0.1497733,1.487761,1.5
129,2.594452,0.1591352,1.600299,1.5,0.1492346,1.495695,1.5
130,2.614456,0.1591352,1.601492,1.5,0.1493195,1.499866,1.5
131,2.634453,0.1591352,1.60409,1.5,0.1499296,1.507622,1.5
132,2.654449,0.1591352,1.605281,1.5,0.1501544,1.510952,1.5
133,2.674454,0.1591352,1.60779,1.5,0.1510484,1.517926,1.5
134,2.69445,0.1591352,1.609012,1.5,0.1517259,1.52198,1.5
135,2.714455,0.1591352,1.611601,1.5,0.1529519,1.529477,1.5
