time,posX,posY,posZ,gazeX,gazeY,gazeZ
0,0,1.5,1.5,0,1.5,1.5
0.02,0,1.5,1.5,0,1.5,1.5
0.04,0,1.5,1.5,-0.4240569,-0.1820527,1.5
0.06,0,1.5,1.5,-0.4240569,-0.1820527,1.5
0.08,0,1.5,1.5,-0.4240569,-0.1820527,1.5
0.09999999,0,1.5,1.5,-0.4240569,-0.1820527,1.5
0.12,0,1.5,1.5,-0.4240569,-0.1820527,1.5
0.14,0,1.5,1.5,-0.4240569,-0.1820527,1.5
0.16,0,1.5,1.5,-0.4240569,-0.1820527,1.5
0.18,0,1.5,1.5,-0.4240569,-0.1820527,1.5
0.2,0,1.5,1.5,-0.4240569,-0.1820527,1.5
0.22,0,1.5,1.5,-0.4240569,-0.1820527,1.5
0.24,0,1.5,1.5,-0.4240569,-0.1820527,1.5
0.26,0,1.5,1.5,-0.4240569,-0.1820527,1.5
0.28,0,1.5,1.5,-0.4240569,-0.1820527,1.5
0.3,0,1.5,1.5,-0.4240569,-0.1820527,1.5
0.32,0,1.5,1.5,-0.4240569,-0.1820527,1.5
0.34,0,1.5,1.5,-0.4240569,-0.1820527,1.5
0.36,0,1.5,1.5,-0.4598476,2.182663,1.5
0.38,0,1.5,1.5,-0.4598476,2.182663,1.5
0.4,0,1.5,1.5,-0.4598476,2.182663,1.5
0.42,0,1.5,1.5,-0.4598476,2.182663,1.5
0.44,0,1.5,1.5,-0.4598476,2.182663,1.5
0.46,0,1.5,1.5,-0.4598476,2.182663,1.5
0.48,0,1.5,1.5,-0.4598476,2.182663,1.5
0.5,0,1.5,1.5,-0.4598476,2.182663,1.5
0.52,0,1.5,1.5,-0.5384822,2.327556,1.5
0.54,0,1.5,1.5,-0.5384822,2.327556,1.5
0.56,0,1.5,1.5,-0.5506319,2.431676,1.5
0.58,0,1.5,1.5,-0.5499373,2.505741,1.5
0.6,0,1.5,1.5,-0.5439945,2.526097,1.5
0.62,0,1.5,1.5,-0.5439945,2.526097,1.5
0.64,0,1.5,1.5,-0.508237,2.536259,1.5
0.66,0,1.5,1.5,-0.5055768,2.56928,1.5
0.68,0,1.5,1.5,-0.4962184,2.598931,1.5
0.7,0,1.5,1.5,-0.4845803,2.612047,1.5
0.72,0,1.5,1.5,-0.4845803,2.612047,1.5
0.74,0,1.5,1.5,-0.4801926,2.617051,1.5
0.76,0,1.5,1.5,-0.471804,2.619683,1.5
0.78,0,1.5,1.5,-0.4695443,2.616667,1.5
0.8,0,1.5,1.5,-0.4691251,2.608162,1.5
0.82,0,1.5,1.5,-0.4691251,2.608162,1.5
0.84,0,1.5,1.5,-0.4773239,2.599735,1.5
0.86,0,1.5,1.5,-0.4834614,2.589381,1.5
0.88,0,1.5,1.5,-0.4922105,2.573617,1.5
0.9,0,1.5,1.5,-0.4922105,2.573617,1.5
0.92,0,1.5,1.5,-0.4988687,2.545601,1.5
0.94,0,1.5,1.5,-0.4991317,2.529469,1.5
0.96,0,1.5,1.5,-0.4945057,2.486477,1.5
0.98,0,1.5,1.5,-0.4847957,2.47253,1.5
1,0,1.5,1.5,-0.4658468,2.440686,1.5
1.02,0,1.5,1.5,-0.463831,2.429084,1.5
1.04,0,1.5,1.5,-0.4572384,2.408842,1.5
1.06,0,1.5,1.5,-0.4536555,2.394197,1.5
1.08,0,1.5,1.5,-0.4553016,2.386773,1.5
1.1,0,1.5,1.5,-0.4641012,2.371037,1.5
1.12,0,1.5,1.5,-0.4626946,2.370082,1.5
1.14,0,1.5,1.5,-0.4605493,2.359785,1.5
1.16,0,1.5,1.5,-0.4646223,2.349487,1.5
1.18,0,1.5,1.5,-0.4545442,2.334047,1.5
1.2,0,1.5,1.5,-0.4463282,2.309785,1.5
1.22,0,1.5,1.5,-0.4465504,2.299007,1.5
1.24,0,1.5,1.5,-0.4394345,2.286143,1.5
1.26,0,1.5,1.5,-0.4388794,2.271456,1.5
1.28,0,1.5,1.5,-0.436119,2.261906,1.5
1.3,0,1.5,1.5,-0.4307632,2.248682,1.5
1.32,0,1.5,1.5,-0.4307632,2.248682,1.5
1.34,0,1.5,1.5,-0.41386,2.223086,1.5
1.36,0,1.5,1.5,-0.4098042,2.201431,1.5
1.38,0,1.5,1.5,-0.4010794,2.186515,1.5
1.4,0,1.5,1.5,-0.394356,2.153442,1.5
1.42,0,1.5,1.5,-0.3937398,2.1383,1.5
1.44,0,1.5,1.5,-0.3944151,2.109178,1.5
1.46,0,1.5,1.5,-0.3958738,2.089719,1.5
1.48,0,1.5,1.5,-0.3945712,2.067186,1.5
1.5,0,1.5,1.5,-0.3877003,2.013015,1.5
1.52,0,1.5,1.5,-0.3893467,1.995813,1.5
1.54,0,1.5,1.5,-0.3825275,1.959876,1.5
1.56,0,1.5,1.5,-0.3775216,1.94013,1.5
1.58,0,1.5,1.5,-0.3741251,1.900602,1.5
1.6,0,1.5,1.5,-0.3750138,1.861606,1.5
1.62,0,1.5,1.5,-0.3750138,1.861606,1.5
1.64,0,1.5,1.5,-0.3524329,1.811405,1.5
1.66,0,1.5,1.5,-0.3408411,1.793661,1.5
1.68,0,1.5,1.5,-0.3305502,1.763041,1.5
1.7,0,1.5,1.5,-0.3246237,1.738567,1.5
1.72,0,1.5,1.5,-0.32329,1.726005,1.5
1.74,0,1.5,1.5,-0.3144033,1.705871,1.5
1.76,0,1.5,1.5,-0.3096604,1.701703,1.5
1.78,0,1.5,1.5,-0.3078688,1.694987,1.5
1.8,0,1.5,1.5,-0.2973824,1.670587,1.5
1.82,0,1.5,1.5,-0.294516,1.666529,1.5
1.84,0,1.5,1.5,-0.2855416,1.662108,1.5
1.86,0,1.5,1.5,-0.2829885,1.661139,1.5
1.88,0,1.5,1.5,-0.2788666,1.659871,1.5
1.9,0,1.5,1.5,-0.2740502,1.657366,1.5
1.92,0,1.5,1.5,-0.2717457,1.656337,1.5
1.94,0,1.5,1.5,-0.2689053,1.656107,1.5
1.96,0,1.5,1.5,-0.269125,1.657677,1.5
1.98,0,1.5,1.5,-0.2646754,1.660175,1.5
2,0,1.5,1.5,-0.2656646,1.652667,1.5
2.02,0.0013858,1.5,1.5,-0.2674526,1.647754,1.5
2.04,0.00374255,1.5,1.5,-0.2700168,1.643247,1.5
2.06,0.00492947,1.5,1.5,-0.2686864,1.640338,1.5
2.08,0.00762583,1.5,1.5,-0.2649377,1.626581,1.5
2.1,0.009932141,1.5,1.5,-0.2659307,1.621909,1.5
2.12,0.0113456,1.5,1.5,-0.2656619,1.613847,1.5
2.14,0.01373011,1.5,1.5,-0.2668913,1.611402,1.5
2.16,0.01499688,1.5,1.5,-0.2707899,1.613535,1.5
2.18,0.01741951,1.5,1.5,-0.2805785,1.614085,1.5
2.2,0.01872359,1.5,1.5,-0.2729002,1.612618,1.5
2.22,0.02012529,1.5,1.5,-0.2615438,1.608602,1.5
2.24,0.02264487,1.5,1.5,-0.2534807,1.60668,1.5
2.26,0.02415585,1.5,1.5,-0.242191,1.60236,1.5
2.28,0.02774309,1.5,1.5,-0.2260822,1.606455,1.5
2.3,0.02897402,1.5,1.5,-0.220486,1.612714,1.5
2.32,0.03152054,1.5,1.5,-0.2115825,1.627268,1.5
2.34,0.03379324,1.5,1.5,-0.2100467,1.643785,1.5
