InteractionNumber,ElapsedTime,SplitTime
0,1.766667,1.766667
1,3.633333,1.866667
2,5.866668,2.233334
3,7.333334,1.466666
4,8.833334,1.5
5,8.866668,0.03333378
6,10.26667,1.4
7,11.5,1.233334
8,13.26667,1.766667
9,15.23333,1.966665
10,16.73333,1.5
11,18.1,1.366667
12,19.63334,1.533335
13,20.86667,1.233334
14,22.26667,1.4
15,23.53333,1.266666
16,25,1.466667
17,26.06667,1.066666
18,28.06667,2
19,29.46667,1.400002
20,30.66667,1.200001
21,31.9,1.233334
22,32.83333,0.9333286
23,32.86666,0.03333282
24,33.96667,1.100002
25,35.03333,1.066666
26,36.33333,1.299999
27,37.23333,0.9000015
28,38.53333,1.299999
29,39.66667,1.133335
30,40.83333,1.166664
31,40.86667,0.03333664
32,42.13334,1.266666
33,43.83334,1.700001
34,45.3,1.466663
35,46.56667,1.266666
36,47.8,1.233334
37,49.93333,2.133335
38,51.06667,1.133335
39,52.16667,1.099998
40,53.63334,1.466667
41,54.7,1.066666
42,56.06667,1.366669
43,57.7,1.633331
44,58.73333,1.033333
45,60.13334,1.400002
46,61.76667,1.633331
47,64.26667,2.500004
48,65.66667,1.400002

time,posX,posY,posZ,rotX,rotY,rotZ
0.006666422,0.1085704,-0.09111534,-0.2993105,-0.3779602,-0.9193726,-0.5077515
0.0266664,0.1085704,-0.09111534,-0.2993105,-0.3779602,-0.9193726,-0.5077515
0.04666638,0.1084157,-0.09114222,-0.2992533,-0.381012,-0.9511108,-0.4970093
0.06666636,0.1084157,-0.09114222,-0.2992533,-0.381012,-0.9511108,-0.4970093
0.08666658,0.1083068,-0.09118836,-0.2991386,-0.3685913,-0.9558105,-0.5076599
0.1066666,0.1082934,-0.09125183,-0.2991183,-0.3468628,-0.9569092,-0.4898682
0.1266665,0.1082934,-0.09125183,-0.2991183,-0.3468628,-0.9569092,-0.4898682
0.1466665,0.108361,-0.09137542,-0.2992211,-0.277832,-0.9445496,-0.4863586
0.1666665,0.108361,-0.09137542,-0.2992211,-0.277832,-0.9445496,-0.4863586
0.1866665,0.1083887,-0.09137543,-0.2992817,-0.2963867,-0.9681091,-0.5193176
0.2066665,0.1084359,-0.09124174,-0.2992297,-0.3580322,-0.9784851,-0.5436401
0.2266665,0.1084359,-0.09124174,-0.2992297,-0.3580322,-0.9784851,-0.5436401
0.2466664,0.1085022,-0.09120139,-0.299242,-0.3827209,-0.9716492,-0.5402527
0.2666664,0.1085022,-0.09120139,-0.299242,-0.3827209,-0.9716492,-0.5402527
0.2866664,0.1085835,-0.09118459,-0.2992722,-0.3855896,-0.9376831,-0.5509338
0.3066664,0.1087124,-0.0911781,-0.2993543,-0.3777771,-0.9107056,-0.5615845
0.3266664,0.1087124,-0.0911781,-0.2993543,-0.3777771,-0.9107056,-0.5615845
0.3466666,0.1088704,-0.09121127,-0.2993973,-0.3895874,-0.8825684,-0.5553894
0.3666666,0.1088704,-0.09121127,-0.2993973,-0.3895874,-0.8825684,-0.5553894
0.3866665,0.1090133,-0.09127016,-0.2994767,-0.3831787,-0.8671875,-0.5803528
0.4066665,0.109133,-0.09125567,-0.2995805,-0.3847961,-0.8522644,-0.6092224
0.4266665,0.109133,-0.09125567,-0.2995805,-0.3847961,-0.8522644,-0.6092224
0.4466665,0.1092036,-0.09118672,-0.2996192,-0.4221802,-0.8242188,-0.6313477
0.4666665,0.1092036,-0.09118672,-0.2996192,-0.4221802,-0.8242188,-0.6313477
