InteractionNumber,ElapsedTime,SplitTime
0,1.737051,1.737051
1,4.098431,2.36138
2,5.735836,1.637405
3,7.484617,1.748781
4,9.666899,2.182281
5,9.677929,0.0110302
6,11.28211,1.604179
7,12.39571,1.113598
8,14.43814,2.042437
9,16.03742,1.599277
10,18.20903,2.171608
11,20.4478,2.23877
12,22.45269,2.004894
13,23.68833,1.235638
14,25.7261,2.037769
15,27.26478,1.538677
16,29.0561,1.791328
17,30.38128,1.32518
18,32.64247,2.261187
19,34.49168,1.849205
20,36.55933,2.067657
21,38.95778,2.398445
22,39.92672,0.9689407
23,39.93761,0.01089478
24,41.37487,1.437256
25,43.49009,2.115219
26,45.49387,2.003777
27,46.5414,1.047539
28,48.26729,1.725883
29,49.75939,1.492104
30,51.66434,1.904953
31,51.67546,0.01111603
32,53.46873,1.793266
33,56.61975,3.151024
34,58.99244,2.372688
35,60.55135,1.558907
36,62.6902,2.138855
37,64.44978,1.759583
38,65.68587,1.236092
39,67.1227,1.436829
40,69.46063,2.337929
41,71.94481,2.484177
42,73.61554,1.670731
43,75.26286,1.647324
44,76.74431,1.481445
45,80.26416,3.519852
46,81.35558,1.091415
47,85.76561,4.410034
48,87.45835,1.692741

time,posX,posY,posZ,rotX,rotY,rotZ
0.01180649,0.1766098,0.05147142,-0.04460376,-0.04550171,-0.008331299,1.685022
0.03180695,0.1766225,0.05149565,-0.04463889,-0.06784058,0.0136645,1.685104
0.0518055,0.1766268,0.05152084,-0.04468105,-0.07614136,0.02906113,1.682598
0.07180595,0.1766469,0.05155795,-0.04470076,-0.09963989,0.04308411,1.677097
0.09180641,0.1767042,0.0515672,-0.04473224,-0.100647,0.04942948,1.668218
0.1118069,0.1767452,0.05156236,-0.04475851,-0.1058655,0.04563226,1.652288
0.1318054,0.176742,0.05156758,-0.04477488,-0.1108398,0.03709512,1.650492
0.1518059,0.1766997,0.05157557,-0.04478603,-0.12854,0.02997841,1.648186
0.1718063,0.1766228,0.05158071,-0.04481649,-0.1311951,0.01628511,1.654462
0.1918068,0.1766096,0.05159036,-0.04483368,-0.1311646,0.009792292,1.656838
0.2118053,0.1766349,0.05157482,-0.04485364,-0.1263733,0.01894265,1.653598
0.2318058,0.1766743,0.05155998,-0.04486378,-0.1235657,0.02217039,1.65253
0.2518063,0.1767365,0.05154384,-0.04487517,-0.1223145,0.04119765,1.641657
0.2718067,0.1767806,0.05155336,-0.04488658,-0.1252747,0.05318261,1.63994
0.2918053,0.1767689,0.0515649,-0.04490735,-0.1279907,0.0732022,1.627139
0.3118057,0.1767472,0.05156886,-0.04491681,-0.134613,0.08031262,1.629152
0.3318062,0.176787,0.05154478,-0.04491748,-0.1410828,0.096276,1.643089
0.3518066,0.1768425,0.05151017,-0.04490995,-0.1238098,0.08363316,1.642332
0.3718052,0.176881,0.05150315,-0.04485958,-0.1341248,0.08371161,1.61006
0.3918056,0.1768928,0.05152334,-0.04480287,-0.1433105,0.07885195,1.574072
0.4118061,0.1768966,0.05152861,-0.04476912,-0.1409302,0.0888994,1.582242
0.4318066,0.1768968,0.05152212,-0.0447374,-0.1081543,0.09587497,1.625187
0.4518051,0.1768579,0.0514995,-0.04470675,-0.07232666,0.1141348,1.669549
0.4718056,0.1768099,0.05146671,-0.04468545,-0.07989502,0.1200306,1.709189
0.491806,0.1767505,0.05141892,-0.04465016,-0.08959961,0.1026165,1.764813
0.5118065,0.1766984,0.05138561,-0.04463174,-0.09735107,0.08689555,1.797958
0.5318069,0.1765288,0.05136191,-0.04461475,-0.09985352,0.02674707,1.856954
0.5518055,0.1763077,0.05136288,-0.04461214,-0.1045227,-0.04147339,1.914164
0.571806,0.1760211,0.05140518,-0.04461873,-0.1126404,-0.1015625,2.002162
0.5918064,0.1757249,0.05148087,-0.0446364,-0.1506348,-0.2064514,2.154299
0.6118069,0.1755594,0.05151752,-0.04465115,-0.1717834,-0.2902527,2.233744
0.6318054,0.1752216,0.05157543,-0.04470568,-0.2079163,-0.4658203,2.349484
0.6518059,0.1748814,0.05163254,-0.04476536,-0.2672119,-0.5845337,2.409729
0.6718063,0.1745536,0.05171262,-0.04483249,-0.325592,-0.6844788,2.419014
0.6918068,0.1742552,0.05180993,-0.04492565,-0.3529358,-0.747467,2.410183
0.7118053,0.1741486,0.05184998,-0.04498357,-0.3629456,-0.7520752,2.406571
0.7318058,0.1741166,0.05192133,-0.04513225,-0.3826904,-0.6708069,2.357458
0.7518063,0.1742749,0.05198245,-0.04528594,-0.4286194,-0.4764099,2.252997
0.7718067,0.1746931,0.05208918,-0.04545146,-0.5073242,-0.1132202,2.05131
0.7918053,0.1753816,0.05229492,-0.04563909,-0.6103821,0.4293447,1.922383
0.8118057,0.1761842,0.05241132,-0.04574344,-0.6679688,0.7577953,1.884981
0.8318062,0.1771826,0.05256509,-0.04599076,-0.7583618,1.490847,1.793933
0.8518066,0.1784542,0.05278757,-0.04622209,-0.8493042,2.401196,1.747862
