time,posX,posY,posZ,rotX,rotY,rotZ
0.009729385,-0.00253413,-0.002455148,-0.0008622649,0.04236074,-0.08917236,0.8040747
0.02972794,-0.002470699,-0.002468622,-0.0007816546,0.05305482,-0.04385376,0.7778692
0.04972839,-0.00236417,-0.002507076,-0.0007117059,0.08566037,0.0009300605,0.777042
0.06972885,-0.002260543,-0.002577158,-0.0006105301,0.1159707,0.04052273,0.7794685
0.08972931,-0.002167709,-0.002654462,-0.0004822374,0.1443366,0.0749599,0.7784928
0.1097298,-0.002156951,-0.002675579,-0.0004122563,0.1652444,0.09814355,0.7788935
0.1297283,-0.002137762,-0.002726627,-0.0003029433,0.1961625,0.1108329,0.779795
0.1497288,-0.002088439,-0.002780082,-0.0002055051,0.2113756,0.1157665,0.7776185
0.1697292,-0.002080237,-0.002819928,-0.0001035016,0.2252023,0.1209196,0.7763641
0.1897297,-0.002071301,-0.002873292,-1.756922E-05,0.2462605,0.09092357,0.7827198
0.2097282,-0.002089478,-0.002907659,1.667854E-05,0.2726988,0.06502472,0.784618
0.2297287,-0.002207507,-0.003066632,9.25059E-05,0.3538505,-0.007232666,0.796989
0.2497292,-0.002441782,-0.0033811,0.0002428833,0.464762,-0.118988,0.8532022
0.2697296,-0.002707757,-0.003775226,0.0004496707,0.656138,-0.2770386,0.8840402
0.2897282,-0.003039108,-0.004283237,0.0006780695,0.8428569,-0.3909302,0.8879498
0.3097286,-0.003586251,-0.005066198,0.0009860529,1.205585,-0.634552,0.8940092
0.3297291,-0.004351574,-0.006211434,0.001399959,1.816994,-1.026337,0.9019241
0.3497295,-0.005330302,-0.007621818,0.00197654,2.571373,-1.546814,0.894183
0.3697281,-0.006628056,-0.009370209,0.002718063,3.462979,-2.14209,0.8841277
0.3897285,-0.008333296,-0.01155778,0.003492444,4.547059,-2.854889,0.911758
0.409729,-0.009407572,-0.01283217,0.00392274,5.24919,-3.308807,0.9444929
0.4297295,-0.01164679,-0.01552374,0.004987629,6.609255,-4.218292,1.042568
0.449728,-0.01292027,-0.01680154,0.005745005,7.385134,-4.772583,1.190892
0.4697285,-0.01707836,-0.02130586,0.007986163,9.484009,-6.427673,1.536474
0.4897289,-0.02040277,-0.02479797,0.009625931,11.08621,-7.77182,1.724593
0.5097294,-0.02211557,-0.02652959,0.01053054,11.90556,-8.472015,1.759449
0.5297279,-0.02571039,-0.02998278,0.01268081,13.54867,-9.811707,1.838791
0.5497284,-0.02938855,-0.03380871,0.01488618,15.24117,-11.14679,1.844844
0.5697289,-0.03309038,-0.0380339,0.0170792,17.06092,-12.51575,1.743567
0.5897293,-0.03504022,-0.04021841,0.01819467,18.03893,-13.19019,1.582887
0.6097298,-0.03689027,-0.04242422,0.0192297,19.11284,-13.89941,1.301573
0.6297283,-0.04232746,-0.04901417,0.0222679,22.11441,-16.0379,0.4986122
0.6497288,-0.04563703,-0.05298066,0.02448324,24.00121,-17.19693,-0.1451416
0.6697292,-0.04886914,-0.05678895,0.0269159,25.64976,-18.17728,-0.6960144
0.6897297,-0.05032001,-0.05870547,0.028133,26.35427,-18.63879,-0.9716797
0.7097282,-0.05311585,-0.0623452,0.03066889,27.69945,-19.36478,-1.423431
0.7297287,-0.05553485,-0.06577523,0.03301698,29.01724,-19.87567,-1.860565
0.7497292,-0.05657265,-0.06741816,0.03412756,29.66535,-20.04813,-2.031952
0.7697296,-0.05932973,-0.07142657,0.0373598,31.42066,-20.25656,-2.410248
0.7897282,-0.06005386,-0.07241496,0.03844509,31.84393,-20.2764,-2.573334
0.8097286,-0.06129469,-0.07389372,0.0407026,32.39395,-20.13666,-2.71756
0.8297291,-0.06230028,-0.07460365,0.04289753,32.56241,-19.78741,-2.56189
0.8497295,-0.06324466,-0.07494798,0.04461105,32.48848,-19.42181,-2.331665
0.8697281,-0.06418749,-0.07444325,0.04612948,32.18494,-19.03754,-2.062012
0.8897285,-0.06450817,-0.07400838,0.04690999,31.9354,-18.80978,-1.8508
0.909729,-0.06530879,-0.07232875,0.04834526,30.8097,-18.27029,-1.189087
0.9297295,-0.06612554,-0.07030511,0.04957895,29.83397,-17.87613,-0.6268311
0.949728,-0.06695613,-0.06832697,0.04995074,28.6397,-17.58145,0.06745112
0.9697285,-0.0677161,-0.06669058,0.04987814,27.68162,-17.30643,0.7741723
0.9897289,-0.06819564,-0.0657533,0.04981013,27.24018,-17.15057,1.141252
1.009729,-0.06892694,-0.06422578,0.04933972,26.41897,-16.90939,1.785897
1.029728,-0.06942955,-0.06324497,0.04844316,25.93783,-16.68362,2.378996
1.049728,-0.06965999,-0.06284838,0.04795933,25.72132,-16.55191,2.668442
1.069729,-0.06965999,-0.06284838,0.04795933,25.72132,-16.55191,2.668442
1.089729,-0.06977042,-0.06280208,0.04753012,25.9378,-16.38058,2.885783
1.10973,-0.07030015,-0.06265358,0.04432274,25.94299,-15.59308,4.178761
1.129728,-0.07024614,-0.06295877,0.04356741,26.19087,-15.28378,4.398299
1.149729,-0.07023726,-0.0629919,0.0432996,26.27897,-15.10791,4.489445
1.169729,-0.07018182,-0.06282318,0.04307765,26.28326,-14.75284,4.679336
