date,time,posX,posY,posZ,rotX,rotY,rotZ
2024/07/09_12:48:37,0.01070786,0.003637164,0.003382977,-0.007176264,0.01256805,-0.3894348,0.1877928
2024/07/09_12:48:37,0.03070831,0.003637164,0.003382977,-0.007176264,0.01256805,-0.3894348,0.1877928
2024/07/09_12:48:41,0.05070877,0.003858622,0.003381679,-0.007001338,-0.006195068,-0.3978882,0.174876
2024/07/09_12:48:41,0.07070732,0.004089612,0.003349272,-0.006862601,0.01135996,-0.4711914,0.133269
2024/07/09_12:48:41,0.09070778,0.004089612,0.003349272,-0.006862601,0.01135996,-0.4711914,0.133269
2024/07/09_12:48:41,0.1107082,0.004089612,0.003349272,-0.006862601,0.01135996,-0.4711914,0.133269
2024/07/09_12:48:41,0.1307087,0.004089612,0.003349272,-0.006862601,0.01135996,-0.4711914,0.133269
2024/07/09_12:48:41,0.1507092,0.004124857,0.003340313,-0.006795276,0.008286217,-0.6220398,0.03912039
2024/07/09_12:48:41,0.1707077,0.004124857,0.003340313,-0.006795276,0.008286217,-0.6220398,0.03912039
2024/07/09_12:48:41,0.1907082,0.004272453,0.003267351,-0.006916118,0.0654354,-0.6638489,-0.02053833
2024/07/09_12:48:41,0.2107086,0.004309867,0.003310142,-0.007059383,0.0229017,-0.6641541,0.01695145
2024/07/09_12:48:41,0.2307091,0.004309867,0.003310142,-0.007059383,0.0229017,-0.6641541,0.01695145
2024/07/09_12:48:41,0.2507076,0.004179791,0.003338699,-0.007157702,0.03027624,-0.7024231,0.06908295
2024/07/09_12:48:41,0.2707081,0.004179791,0.003338699,-0.007157702,0.03027624,-0.7024231,0.06908295
2024/07/09_12:48:41,0.2907085,0.004179791,0.003338699,-0.007157702,0.03027624,-0.7024231,0.06908295
2024/07/09_12:48:41,0.310709,0.003990505,0.003170083,-0.007186033,0.1353851,-0.8243408,0.1291027
2024/07/09_12:48:41,0.3307076,0.003990505,0.003170083,-0.007186033,0.1353851,-0.8243408,0.1291027
2024/07/09_12:48:41,0.350708,0.003479965,0.002685309,-0.007211831,0.4786535,-1.113922,0.2545058
2024/07/09_12:48:41,0.3707085,0.003122601,0.002402034,-0.007141489,0.688947,-1.319,0.3040648
2024/07/09_12:48:41,0.3907089,0.002625085,0.001934934,-0.006991879,0.9936378,-1.566193,0.3486923
2024/07/09_12:48:41,0.4107075,0.002625085,0.001934934,-0.006991879,0.9936378,-1.566193,0.3486923
2024/07/09_12:48:41,0.4307079,0.001736708,0.001210589,-0.006694837,1.471755,-2.043732,0.3505184
2024/07/09_12:48:41,0.4507084,0.001736708,0.001210589,-0.006694837,1.471755,-2.043732,0.3505184
2024/07/09_12:48:41,0.4707088,0.001736708,0.001210589,-0.006694837,1.471755,-2.043732,0.3505184
2024/07/09_12:48:41,0.4907074,5.656853E-05,-2.159712E-05,-0.005941125,2.292347,-2.925964,0.3743732
2024/07/09_12:48:41,0.5107079,5.656853E-05,-2.159712E-05,-0.005941125,2.292347,-2.925964,0.3743732
2024/07/09_12:48:41,0.5307083,-0.003465872,-0.002596478,-0.004423935,3.804827,-4.657593,0.5741855
