InteractionNumber,ElapsedTime,SplitTime
0,4.877378,4.877378
1,11.24945,6.372074
2,16.92726,5.677807
3,23.64331,6.716053
4,26.33831,2.695
5,26.35071,0.01239395
6,38.42277,12.07206
7,40.25957,1.836807
8,42.0752,1.815628
9,49.50567,7.430466
10,53.55763,4.051964
11,60.18433,6.626701
12,66.89846,6.714127
13,69.83957,2.941109
14,73.38098,3.541412
15,76.11002,2.729042
16,78.32473,2.214706
17,81.0215,2.69677
18,88.81696,7.795456
19,92.14881,3.331856
20,94.99695,2.848137
21,99.14095,4.144005
22,100.466,1.325027
23,101.446,0.9800568
24,105.0096,3.56353
25,106.9254,1.915878
26,110.5783,3.652863
27,110.5906,0.01229858
28,114.1205,3.529938
29,116.6479,2.52739
30,118.9196,2.271652
31,121.5713,2.651733
32,124.6674,3.09613
33,129.4897,4.82222
34,135.2021,5.712387
35,137.7752,2.573151
36,139.545,1.76976
37,141.9403,2.395355
38,143.677,1.73671
39,145.1692,1.492203
40,147.9431,2.773911
41,151.6847,3.741592
42,155.995,4.310287
43,157.955,1.959946
44,161.3179,3.362885
45,164.6167,3.298889
46,166.2742,1.657455
47,175.6176,9.343384
48,178.2017,2.584106

time,posX,posY,posZ,rotX,rotY,rotZ
0.01478386,0.1695526,0.06549244,0.06162472,-0.703064,-0.4689941,1.112515
0.03478432,0.1695865,0.06548076,0.06164958,-0.6949768,-0.4560242,1.122576
0.05478477,0.1695868,0.0654707,0.06165477,-0.6889954,-0.4481812,1.127417
0.07478523,0.1695655,0.06545813,0.06166155,-0.6708679,-0.4365845,1.145711
0.09478378,0.1695067,0.06545961,0.06165531,-0.6650391,-0.444458,1.157062
0.1147842,0.1694792,0.06546725,0.06167271,-0.6635742,-0.460968,1.15709
0.1347847,0.1694564,0.06547173,0.06169988,-0.6672974,-0.486084,1.146863
0.1547852,0.1694416,0.06547631,0.06171185,-0.6668396,-0.4900208,1.143714
0.1747837,0.169428,0.06548046,0.06174122,-0.6788635,-0.5005493,1.150384
0.1947842,0.1694368,0.06551412,0.06175911,-0.6835632,-0.5014954,1.156438
0.2147846,0.1694472,0.06554937,0.06174798,-0.6957703,-0.48703,1.160164
0.2347851,0.1694707,0.0655738,0.06174158,-0.7070618,-0.4702759,1.157591
0.2547855,0.1694855,0.06556942,0.06175627,-0.711853,-0.4551697,1.161164
0.2747841,0.1695474,0.06555606,0.06176536,-0.7076111,-0.4360352,1.157238
0.2947845,0.1696334,0.0655284,0.06177814,-0.6938171,-0.4026794,1.120885
0.314785,0.1697015,0.06550884,0.06179706,-0.6952515,-0.3836365,1.137713
0.3347855,0.1697489,0.06545899,0.0618169,-0.6829529,-0.3796997,1.145142
0.354784,0.1697494,0.06546111,0.06183085,-0.6824036,-0.3786316,1.139477
0.3747845,0.1697762,0.06548107,0.0618807,-0.7027588,-0.3909607,1.111331
0.3947849,0.1697935,0.06549131,0.0619461,-0.6992493,-0.4104309,1.06014
0.4147854,0.1698171,0.065472,0.06197891,-0.6629639,-0.4257813,1.058359
0.4347839,0.1698393,0.06543086,0.06199875,-0.6190186,-0.4511719,1.080928
0.4547844,0.1698357,0.06540821,0.06201906,-0.6187439,-0.4521484,1.084979
0.4747849,0.1698024,0.0653758,0.06206463,-0.6235962,-0.4615784,1.088189
0.4947853,0.1697248,0.0653554,0.06208726,-0.6150513,-0.4802856,1.110132
0.5147839,0.1696719,0.06531622,0.06211817,-0.6075745,-0.5004883,1.128213
0.5347843,0.1696136,0.06529538,0.06215914,-0.5994568,-0.5114746,1.138563
0.5547848,0.1695884,0.06528246,0.06217779,-0.6034851,-0.5224304,1.144708
0.5747852,0.1695281,0.06528231,0.0622054,-0.5988159,-0.5497742,1.170353
0.5947838,0.1694574,0.06530667,0.06223181,-0.5890198,-0.5751038,1.17401
0.6147842,0.1693673,0.06528954,0.06223271,-0.5831604,-0.5927734,1.185695
0.6347847,0.169334,0.06528923,0.06222076,-0.5706177,-0.6119385,1.203753
