InteractionNumber,ElapsedTime,SplitTime
0,4.34363,4.34363
1,9.519648,5.176018
2,12.35119,2.831539
3,19.90138,7.550196
4,24.03371,4.132332
5,24.04575,0.01203918
6,29.37966,5.333908
7,32.04096,2.661297
8,35.8175,3.776539
9,44.54793,8.730434
10,49.2808,4.732864
11,52.47773,3.196938
12,55.67373,3.195999
13,59.31491,3.641182
14,62.61195,3.297035
15,64.29414,1.682194
16,67.43466,3.140518
17,70.3636,2.92894
18,74.98463,4.621033
19,78.11496,3.130325
20,82.3243,4.209335
21,85.35255,3.028259
22,89.07307,3.72052
23,89.08594,0.01286316
24,91.3452,2.259262
25,93.10518,1.759979
26,96.66852,3.563339
27,98.83049,2.161972
28,101.0676,2.237122
29,104.1641,3.096527
30,106.1128,1.9487
31,107.4273,1.314438
32,111.3249,3.897598
33,115.3233,3.998459
34,118.9987,3.675385
35,120.8023,1.803543
36,123.2523,2.449997
37,127.3618,4.109543
38,128.5877,1.225906
39,131.2711,2.683441
40,134.7128,3.441696
41,137.1619,2.449051
42,139.2359,2.07402
43,141.0835,1.84758
44,146.5974,5.513885
45,149.6248,3.027405
46,150.7719,1.147156
47,154.5251,3.753113
48,156.7639,2.238846

time,posX,posY,posZ,rotX,rotY,rotZ
0.01112938,0.1535321,0.04486802,-0.06873512,-0.7798462,0.2697635,1.968503
0.03112984,0.1535629,0.04489585,-0.06873424,-0.7975769,0.3008866,1.959959
0.05113029,0.1536538,0.04488825,-0.06875068,-0.8112488,0.3320131,1.94612
0.07112885,0.1537406,0.04484697,-0.06876621,-0.8070068,0.3755809,1.933153
0.0911293,0.1537987,0.0448178,-0.06877144,-0.7957153,0.4129958,1.921028
0.1111298,0.1538317,0.04482297,-0.06879309,-0.7868347,0.4253926,1.91486
0.1311302,0.1538682,0.04482004,-0.06882409,-0.7975159,0.4511815,1.891155
0.1511288,0.1538792,0.04482323,-0.06878664,-0.8066406,0.4613473,1.919255
0.1711292,0.1538835,0.04478856,-0.06875727,-0.7984924,0.4453304,1.921668
0.1911297,0.1539108,0.04478932,-0.06869491,-0.807312,0.4167047,1.9095
0.2111301,0.1538997,0.04478552,-0.06865811,-0.8138733,0.4062501,1.892005
0.2311287,0.1538633,0.0447947,-0.0685845,-0.7977905,0.3675551,1.857054
0.2511292,0.1538318,0.04475192,-0.06856332,-0.7500305,0.3519806,1.876444
0.2711296,0.1538338,0.04469186,-0.06853077,-0.717865,0.3625064,1.891138
