InteractionNumber,ElapsedTime,SplitTime
0,0.9691467,0.9691467
1,2.182474,1.213327
2,3.163302,0.9808283
3,4.331656,1.168354
4,5.324637,0.992981
5,5.334226,0.009588242
6,6.322551,0.9883251
7,7.204879,0.882328
8,8.11832,0.9134407
9,9.143369,1.025049
10,10.26767,1.124302
11,11.27061,1.002943
12,12.37301,1.102398
13,13.46458,1.09157
14,14.51148,1.046898
15,15.84802,1.336536
16,16.79557,0.9475508
17,17.71819,0.9226227
18,18.76523,1.047043
19,19.83492,1.069687
20,21.05937,1.224453
21,22.09575,1.036381
22,23.09871,1.002956
23,23.11238,0.01366806
24,24.05343,0.9410553
25,25.44637,1.392941
26,27.9309,2.484528
27,29.35782,1.426918
28,30.45909,1.101269
29,32.05203,1.592945
30,33.09877,1.046738
31,33.11081,0.01203918
32,34.23419,1.123383
33,35.78294,1.548748
34,37.06292,1.27998
35,38.11033,1.047409
36,38.99067,0.8803444
37,40.22704,1.23637
38,41.27333,1.046291
39,42.23965,0.96632
40,43.86826,1.628605
41,44.87101,1.002747
42,46.29328,1.422276
43,47.3856,1.092319
44,48.57945,1.193848
45,49.96004,1.380592
46,49.97277,0.01272583
47,51.06261,1.08984
48,52.27671,1.214104

time,posX,posY,posZ,rotX,rotY,rotZ
0.009037018,0.2005964,0.07318061,0.1557228,-0.05474854,0.04563677,-0.4857178
0.02903652,0.2006133,0.07318037,0.1556933,-0.05050659,0.06294969,-0.4931641
0.04903698,0.2006415,0.07314248,0.1556674,-0.04678345,0.07586037,-0.48703
0.06903648,0.2006968,0.07307439,0.1556405,-0.02954102,0.09729333,-0.4900208
0.08903694,0.2007731,0.07303943,0.1556439,-0.02035522,0.1064202,-0.4978943
0.1090364,0.2008271,0.07300313,0.1556408,-0.003237667,0.1123741,-0.5095825
0.1290369,0.2008684,0.07296321,0.1556528,0.04241847,0.1134144,-0.5407104
0.1490374,0.2009151,0.07284954,0.1556633,0.09533234,0.124484,-0.5417175
0.1690369,0.2009878,0.07275487,0.1556633,0.1328038,0.1107163,-0.5308838
0.1890373,0.2010106,0.07273978,0.1556733,0.1320027,0.09631514,-0.5773926
0.2090368,0.2010441,0.07273214,0.155718,0.1213611,0.02981944,-0.645752
0.2290373,0.200901,0.07288552,0.1557995,0.02299963,-0.2404175,-0.8779297
0.2490368,0.2005382,0.07301886,0.1558262,-0.04125977,-0.5914917,-1.097473
0.2690372,0.1992161,0.07329366,0.1558747,-0.1875,-1.494751,-1.650055
0.2890368,0.1986062,0.07343902,0.1558778,-0.2459717,-1.970886,-1.939728
0.3090372,0.1971867,0.07361382,0.1558095,-0.3787842,-3.059967,-2.531464
0.3290367,0.1954552,0.07364716,0.1556643,-0.4959412,-4.526245,-3.29303
0.3490372,0.1936055,0.07362052,0.1554511,-0.5578308,-6.14035,-4.07962
0.3690367,0.1916248,0.07347799,0.1552814,-0.6412048,-7.885254,-4.91922
0.3890371,0.1906172,0.07332733,0.1551279,-0.6291199,-8.782837,-5.378296
0.4090366,0.1896633,0.07308651,0.1550337,-0.5717773,-9.670959,-5.852661
0.4290371,0.1870462,0.07230783,0.1545614,-0.4212646,-12.24478,-7.183228
0.4490366,0.1856141,0.07168376,0.1542127,-0.2049255,-13.81619,-8.186157
0.4690371,0.1843685,0.07091212,0.153967,0.02449978,-15.22177,-9.285706
0.4890366,0.1839752,0.07060179,0.1538504,0.157975,-15.88556,-9.853394
0.509037,0.1832553,0.06985965,0.1535794,0.4193751,-17.09412,-11.01837
0.5290365,0.1825573,0.06915048,0.153291,0.6948432,-18.15598,-12.17072
0.549037,0.1821028,0.06901946,0.1531506,0.733298,-18.64749,-12.69626
0.5690365,0.1817025,0.06909536,0.1530151,0.5864323,-19.07764,-13.09937
0.5890369,0.1808861,0.06906093,0.1527755,0.2693113,-20.42563,-14.28427
0.6090364,0.1802905,0.06935313,0.1525356,-0.1499329,-21.07236,-14.57541
0.6290369,0.1799861,0.06995725,0.1523418,-0.6915894,-21.66318,-14.68439
0.6490374,0.1799348,0.07046047,0.1521621,-1.185333,-21.98199,-14.77017
0.6690369,0.1800503,0.07074407,0.1520242,-1.382294,-22.06061,-14.80783
0.6890373,0.180273,0.07115239,0.1519043,-1.696503,-22.03278,-14.79321
0.7090368,0.1804663,0.07134999,0.1518912,-1.801697,-21.90143,-14.74857
0.7290373,0.1814711,0.07168558,0.1519465,-1.97702,-21.36484,-14.61264
0.7490368,0.1819415,0.07169957,0.1519969,-1.960785,-21.11752,-14.57742
0.7690372,0.1835955,0.07147173,0.152304,-1.711212,-20.121,-14.4552
0.7890368,0.1841817,0.07127994,0.1524352,-1.61441,-19.75946,-14.38956
0.8090372,0.1855033,0.07083658,0.1526344,-1.322662,-18.99738,-14.23831
0.8290367,0.1867948,0.07037541,0.1529119,-0.9747009,-18.16528,-14.07114
0.8490372,0.188089,0.06994421,0.1531734,-0.6580505,-17.40204,-13.91339
0.8690367,0.1886875,0.06980476,0.1532804,-0.4895325,-17.10074,-13.85876
0.8890371,0.1899416,0.0694497,0.1535245,-0.1717529,-16.46051,-13.74374
0.9090366,0.1909521,0.06907243,0.1536554,0.06850617,-15.98087,-13.61957
0.9290371,0.1916098,0.06887753,0.1537206,0.2265234,-15.74271,-13.50937
0.9490366,0.1921085,0.06877566,0.1537287,0.2836803,-15.68015,-13.51215
0.9690371,0.1923217,0.06877173,0.1537069,0.3097649,-15.67957,-13.51837
0.9890366,0.1926969,0.06880277,0.1536799,0.30409,-15.70691,-13.5083
1.009037,0.1931313,0.06880111,0.1537025,0.2207693,-15.77362,-13.5639
1.029037,0.1932301,0.06894302,0.1536845,0.08322012,-15.9006,-13.67728
1.049037,0.1936049,0.06914844,0.1536592,-0.07366943,-16.01981,-13.84573
1.069036,0.19386,0.06929139,0.1536368,-0.1692505,-16.04837,-13.95251
1.089037,0.1940053,0.06931618,0.1536207,-0.2055054,-16.03964,-13.98697
1.109036,0.1943689,0.0693077,0.1535835,-0.2366028,-15.99771,-14.07346
1.129037,0.1947751,0.06918385,0.153569,-0.2270203,-15.86295,-14.14893
1.149036,0.1952556,0.06908872,0.1536032,-0.2050476,-15.68365,-14.20621
1.169037,0.1954767,0.06905861,0.1536217,-0.2033386,-15.60532,-14.23227
1.189037,0.1956927,0.06900933,0.1536251,-0.1648254,-15.51703,-14.22791
1.209037,0.1962567,0.06889803,0.1536042,-0.11203,-15.28586,-14.21191
1.229037,0.1965463,0.06886712,0.1535802,-0.09838867,-15.15073,-14.18164
1.249037,0.1967693,0.06885228,0.1535378,-0.06967163,-15.03992,-14.16852
1.269037,0.1968594,0.06882757,0.1535209,-0.06265259,-14.98471,-14.14734
1.289037,0.1970471,0.06881348,0.1534964,-0.05395508,-14.9025,-14.08368
1.309037,0.1971157,0.06886256,0.1534782,-0.06939697,-14.84735,-14.03674
1.329037,0.1971439,0.06888236,0.153475,-0.06817627,-14.81641,-14.0108
1.349037,0.1971683,0.06890359,0.1534739,-0.05197144,-14.76239,-13.92554
1.369037,0.1972926,0.06899038,0.1535174,-0.03912354,-14.57397,-13.56598
1.389037,0.1973188,0.06899707,0.1535565,-0.02810669,-14.50482,-13.46616
1.409037,0.197449,0.06898379,0.1536499,0.05797775,-14.31262,-13.26004
1.429037,0.1978764,0.0689237,0.1538559,0.1987089,-13.89124,-12.89624
1.449037,0.1985651,0.06878636,0.1541241,0.4155124,-13.21188,-12.33539
1.469037,0.1993567,0.06874263,0.1543705,0.5140774,-12.79797,-11.96497
1.489037,0.1996082,0.06878325,0.1544677,0.5865458,-12.43845,-11.64478
1.509037,0.199999,0.06918039,0.1545389,0.6149427,-11.76563,-10.74307
1.529037,0.2002554,0.06931617,0.15466,0.5183161,-11.66226,-10.24243
1.549037,0.199722,0.06977106,0.1544441,0.3219224,-11.99606,-9.812805
1.569036,0.199352,0.07000849,0.1543338,0.212017,-12.229,-9.582764
1.589037,0.1966996,0.07074825,0.1537047,-0.08474731,-13.2659,-9.089355
1.609036,0.1943502,0.07114235,0.1530488,-0.3288574,-14.63617,-8.374908
1.629037,0.1913056,0.07167368,0.1521819,-0.5462952,-16.47375,-7.689697
1.649036,0.1896353,0.07178032,0.1515954,-0.6389771,-17.63736,-7.297852
1.669037,0.1860996,0.07205091,0.1503682,-0.7828674,-19.58926,-6.483826
1.689037,0.1821578,0.07243837,0.1489902,-0.8511963,-21.89804,-5.661804
1.709037,0.1784117,0.0725409,0.1476278,-0.8503418,-24.16232,-4.978577
1.729037,0.174725,0.07242992,0.1461164,-0.7280273,-26.14413,-4.109375
1.749037,0.1709137,0.07237543,0.1445421,-0.5539856,-28.0253,-3.214752
1.769037,0.1690941,0.07224945,0.1438092,-0.4304504,-28.91089,-2.802765
1.789037,0.1658044,0.07170654,0.1423834,-0.1036682,-30.55472,-1.928101
1.809037,0.1643911,0.07139558,0.1417122,0.1777698,-31.07037,-1.539276
1.829037,0.1601779,0.07062375,0.1398124,0.8045277,-32.80988,-0.3701477
1.849037,0.1576796,0.07028966,0.1387788,1.155822,-33.65186,0.4121762
1.869037,0.1566485,0.07012284,0.138276,1.300293,-34.0177,0.8071304
1.889037,0.1547671,0.0697655,0.1373212,1.500145,-34.58386,1.656639
1.909037,0.153017,0.07000192,0.136409,1.463336,-34.95108,2.532432
1.929037,0.1513969,0.07036275,0.1354599,1.283842,-35.2803,3.355796
1.949037,0.1506849,0.07042947,0.1349164,1.187187,-35.422,3.773855
1.969037,0.1499611,0.07047186,0.1343135,1.021979,-35.52985,4.334244
1.989037,0.1476719,0.07113436,0.1326701,0.6537637,-36.07162,5.781705
2.009037,0.147036,0.07125973,0.1322404,0.4701874,-36.23093,6.176828
2.029037,0.1457238,0.07161385,0.1312788,0.2396394,-36.49258,6.984346
2.049037,0.144024,0.07182778,0.1298976,0.07747337,-36.74185,7.989811
2.069036,0.1435655,0.07184117,0.1294081,0.09550701,-36.84586,8.211458
2.089037,0.1426708,0.07180855,0.1286439,0.09968475,-37.00275,8.584236
2.109036,0.1423158,0.07180209,0.1283126,0.1308247,-37.03922,8.676557
2.129037,0.1412797,0.07162292,0.127451,0.2953884,-37.04068,8.902575
2.149036,0.1409944,0.07153959,0.1272018,0.3710637,-37.01276,8.940083
2.169037,0.1405017,0.0714002,0.1268279,0.4953223,-36.97891,8.98755
2.189037,0.1401939,0.07122546,0.1265638,0.6385309,-36.86475,8.974629
2.209037,0.139951,0.07107408,0.1263336,0.7697375,-36.71695,8.961432
2.229037,0.1396651,0.07095247,0.1260906,0.8657565,-36.54395,8.932659
2.249037,0.1396449,0.07093654,0.1260593,0.9044093,-36.44016,8.895608
2.269037,0.1396889,0.0709407,0.1260807,0.9444405,-36.31137,8.86235
2.289037,0.1399607,0.0710288,0.1262699,1.029092,-35.87939,8.776546
2.309037,0.140308,0.07110316,0.1265265,1.038592,-35.5314,8.67739
2.329038,0.1407229,0.07121303,0.1268933,0.9914373,-35.12592,8.588082
2.349036,0.141175,0.0713463,0.1273361,0.918,-34.79745,8.549412
2.369037,0.141348,0.07141366,0.1275342,0.8878118,-34.6391,8.514323
2.389037,0.1417629,0.07156999,0.1279564,0.8152388,-34.29745,8.401004
2.409038,0.1422036,0.07169276,0.128391,0.7534812,-33.93976,8.303753
2.429036,0.142422,0.07178681,0.1286249,0.7387863,-33.80664,8.281694
2.449037,0.1428403,0.07188173,0.1290933,0.6789562,-33.51294,8.189185
2.469037,0.1432499,0.07178599,0.1295276,0.6334367,-33.25449,8.091916
2.489038,0.1435329,0.07165375,0.1298339,0.6483353,-33.0596,8.066097
2.509036,0.1438189,0.07167267,0.1302086,0.6590219,-32.96286,8.029723
2.529037,0.1440721,0.07171691,0.1306008,0.6646005,-32.89966,7.914304
2.549037,0.1441922,0.07169762,0.1307852,0.6760967,-32.86111,7.876305
