InteractionNumber,ElapsedTime,SplitTime
0,1.058782
1,3.15288,2.094099
2,4.333143,1.180263
3,5.502366,1.169223
4,6.537212,1.034846
5,7.374092,0.8368797
6,8.464838,1.090746
7,9.310863,0.8460255
8,10.53668,1.225819
9,11.38328,0.8466015
10,12.55255,1.169266
11,13.64366,1.091114
12,14.71344,1.069778
13,15.79416,1.080723
14,16.8409,1.046732
15,17.83124,0.9903393
16,18.99036,1.159126
17,20.68344,1.693081
18,21.77499,1.091545
19,22.75383,0.9788456
20,23.71309,0.9592533
21,24.79542,1.082333
22,26.56441,1.768986
23,27.81112,1.246714
24,28.76909,0.9579735
25,29.82695,1.057861
26,30.8746,1.047642
27,31.87126,0.9966621
28,33.14586,1.274605
29,34.38192,1.236061
30,35.61871,1.236782
31,36.62222,1.003517
32,52.80648,16.18425
33,53.80735,1.00087
34,54.93209,1.124744
35,55.96807,1.035976
36,56.91435,0.9462852
37,58.45409,1.539734
38,59.46572,1.011635
39,60.54535,1.079628
