InteractionNumber,ElapsedTime,SplitTime
0,1.320204
1,3.450056,2.129852
2,4.74884,1.298784
3,6.517275,1.768435
4,8.315233,1.797958
5,9.622147,1.306913
6,10.97055,1.348408
7,12.14915,1.178595
8,13.36208,1.212931
9,14.68252,1.320442
10,43.75675,29.07423
11,49.18526,5.428516
12,52.78528,3.600014
13,55.39867,2.613396
14,59.07385,3.675179
15,61.39228,2.318428
16,66.46098,5.068695
17,69.8899,3.428925
18,72.38384,2.493942
19,75.11703,2.733192
20,77.21956,2.102524
21,80.11339,2.893829
22,84.66692,4.553528
23,87.87478,3.207863
24,90.38438,2.509598
25,96.01668,5.632301
26,99.09096,3.07428
27,103.3883,4.297348
28,106.3453,2.956963
29,122.1607,15.81542
30,126.5511,4.390381
31,129.5525,3.001465
32,135.583,6.030441
33,142.9841,7.401108
34,144.5808,1.596725
35,148.7014,4.120636
36,151.3428,2.641388
37,154.916,3.573212
38,158.4932,3.577179
39,160.7548,2.261536
