InteractionNumber,ElapsedTime,SplitTime
0,2.357264,2.357264
1,7.871639,5.514376
2,9.764797,1.893158
3,12.7831,3.018301
4,15.53454,2.751446
5,15.54562,0.01107788
6,17.52782,1.982199
7,19.22073,1.692909
8,20.54565,1.324924
9,23.97632,3.430664
10,26.5384,2.56208
11,28.39263,1.854233
12,32.41874,4.026104
13,35.42547,3.006737
14,38.77922,3.353752
15,43.87981,5.100586
16,46.15158,2.27177
17,47.74321,1.591625
18,51.03042,3.287216
19,53.99282,2.962395
20,56.89972,2.906898
21,58.94964,2.049927
22,60.17418,1.224541
23,60.18538,0.01119995
24,62.33516,2.14978
25,65.27524,2.940075
26,67.53549,2.260254
27,68.47232,0.9368286
28,72.54716,4.074844
29,74.07393,1.526764
30,76.70267,2.628738
31,78.58537,1.882706
32,82.67302,4.087646
33,85.24568,2.572662
34,88.07462,2.828934
35,89.4664,1.391785
36,91.08156,1.615158
37,94.6792,3.597641
38,95.9269,1.247696
39,97.56415,1.637253
40,99.72296,2.158813
41,102.1928,2.469833
42,103.5893,1.3965
43,105.4498,1.860489
44,106.9417,1.491867
45,109.7158,2.774109
46,110.2276,0.5118561
47,113.157,2.929382
48,115.5744,2.41745

time,posX,posY,posZ,rotX,rotY,rotZ
0.01653767,0.07457159,-0.09790181,-0.2961951,-0.2878113,-0.1117554,2.223143
0.03653717,0.07457627,-0.0979342,-0.2961876,-0.2880859,-0.0897522,2.22875
0.05653763,0.07456485,-0.097959,-0.2961686,-0.2822571,-0.05435181,2.224359
0.07653713,0.07456485,-0.097959,-0.2961686,-0.2822571,-0.05435181,2.224359
0.09653759,0.07461573,-0.097913,-0.2961502,-0.2767944,-0.03338623,2.22045
0.1165371,0.07464829,-0.097837,-0.2960725,-0.2810364,0.03028705,2.214932
0.1365376,0.07463849,-0.09781991,-0.2960406,-0.2980347,0.02910289,2.193546
0.1565371,0.07464167,-0.09780244,-0.2960575,-0.2945557,0.03054919,2.188927
0.1765375,0.07465915,-0.0977924,-0.2960977,-0.2876587,0.02627625,2.163989
0.196537,0.0746611,-0.09783303,-0.2960819,-0.2802734,0.02377567,2.119584
0.2165375,0.07467837,-0.09787867,-0.2960758,-0.2824402,0.03168049,2.064552
0.236537,0.07468251,-0.09789179,-0.2960849,-0.2744141,0.03440261,2.041771
0.2565374,0.07469045,-0.09792563,-0.2960977,-0.2525024,0.01242028,1.985242
0.2765369,0.07469349,-0.09797814,-0.2961066,-0.241333,-0.01361084,1.94991
0.2965374,0.07470696,-0.09798518,-0.2961372,-0.2446289,-0.04196167,1.917091
0.3165369,0.07470959,-0.09798732,-0.2961521,-0.2535706,-0.06164551,1.907656
0.3365374,0.07464593,-0.097985,-0.2961586,-0.2542114,-0.1277161,1.836412
0.3565369,0.07448343,-0.09796721,-0.2961641,-0.2861328,-0.2554626,1.768825
0.3765373,0.07429752,-0.09796591,-0.2961796,-0.3021851,-0.3858337,1.73496
0.3965368,0.07405709,-0.09794955,-0.2961966,-0.3158875,-0.5464478,1.718666
0.4165373,0.07389913,-0.09793641,-0.2962064,-0.3207703,-0.647644,1.698984
0.4365377,0.07357693,-0.09788848,-0.2962645,-0.3430176,-0.8798218,1.680198
0.4565372,0.07317708,-0.09784868,-0.2963196,-0.3675232,-1.131561,1.681558
0.4765377,0.07273079,-0.09783419,-0.2963763,-0.3868408,-1.410248,1.685889
0.4965372,0.0721983,-0.09779868,-0.2964333,-0.4203186,-1.731934,1.728623
0.5165377,0.07180697,-0.09777029,-0.2965115,-0.4322815,-1.924255,1.769444
0.5365372,0.07111171,-0.09769031,-0.2966375,-0.4651489,-2.334595,1.908446
0.5565376,0.07021672,-0.0975633,-0.2968057,-0.5151062,-2.852386,2.107384
0.5765371,0.06921354,-0.09742557,-0.2970205,-0.5840759,-3.474182,2.243986
0.5965376,0.06808102,-0.09732103,-0.2972,-0.6684875,-4.072449,2.404048
0.6165371,0.06750507,-0.09723127,-0.2973383,-0.7094727,-4.400726,2.4957
0.6365376,0.06611723,-0.09709431,-0.297633,-0.8007507,-5.08844,2.817533
0.6565371,0.06466851,-0.09696484,-0.2979985,-0.8575745,-5.848846,3.16518
0.6765375,0.06311436,-0.09693015,-0.2983392,-0.9227295,-6.567749,3.554709
0.696537,0.06149509,-0.09693989,-0.2987053,-0.9447327,-7.254425,4.008576
0.7165375,0.06066057,-0.09696582,-0.2989223,-0.9395752,-7.605865,4.312343
0.736537,0.05888899,-0.09697714,-0.2992757,-0.9151611,-8.329407,5.045015
0.7565374,0.05695888,-0.09692167,-0.2996882,-0.9089966,-9.04303,5.808877
0.7765369,0.05513974,-0.09695714,-0.3000968,-0.9299316,-9.731781,6.519592
0.7965374,0.05321211,-0.0969462,-0.3003809,-0.9403992,-10.29947,7.116398
0.8165369,0.05230029,-0.09697553,-0.3005256,-0.9573059,-10.56531,7.375233
0.8365374,0.05060977,-0.09714083,-0.3009409,-0.929718,-11.05603,7.899426
0.8565369,0.04882385,-0.09719633,-0.3012397,-0.8656006,-11.49759,8.345196
0.8765373,0.04710072,-0.09740248,-0.3014283,-0.7985535,-11.86783,8.756966
0.8965368,0.04627813,-0.09745877,-0.3015194,-0.7511902,-12.03418,8.964611
0.9165373,0.04482333,-0.09762595,-0.301739,-0.6624756,-12.35114,9.325022
0.9365377,0.04349454,-0.09783936,-0.3018147,-0.5764771,-12.52951,9.588535
0.9565372,0.04235334,-0.09808433,-0.301814,-0.5017395,-12.64307,9.754042
0.9765377,0.04139214,-0.0982507,-0.3017746,-0.4021606,-12.67706,9.806854
0.9965372,0.04099001,-0.09834949,-0.3017343,-0.3616028,-12.66125,9.777478
1.016538,0.04029983,-0.09847276,-0.3015645,-0.2797241,-12.59891,9.651663
1.036537,0.03974884,-0.09851357,-0.3013482,-0.2110901,-12.55054,9.309654
1.056538,0.03934651,-0.09863054,-0.3010671,-0.1394653,-12.47165,8.683982
1.076538,0.0392493,-0.09864648,-0.3008458,-0.02099609,-12.39194,7.917508
1.096537,0.03896005,-0.09870344,-0.3007517,0.03324552,-12.35675,7.463002
1.116537,0.03904435,-0.09873994,-0.3005012,0.1295204,-12.35422,6.475654
1.136538,0.0391238,-0.09879982,-0.3002889,0.2073887,-12.44437,5.404879
1.156538,0.03918746,-0.09881977,-0.3002022,0.2468528,-12.694,4.206108
1.176537,0.03924153,-0.09874259,-0.3001617,0.2127145,-12.92987,2.921041
1.196537,0.0392621,-0.09869264,-0.3001117,0.1787938,-13.07431,2.31022
1.216537,0.0393073,-0.09858517,-0.3000691,0.1251483,-13.3718,1.101922
1.236538,0.03947167,-0.09851959,-0.3001767,0.08171459,-13.69159,-0.01837158
1.256536,0.03959868,-0.0984673,-0.300246,-0.01022339,-14.04172,-0.9586182
1.276537,0.03970402,-0.09836468,-0.3002537,-0.1046448,-14.34033,-1.727936
1.296537,0.03979703,-0.09827694,-0.3003348,-0.1801147,-14.47147,-2.03302
1.316538,0.03997125,-0.09808356,-0.3004561,-0.2850952,-14.74118,-2.560364
1.336536,0.03993654,-0.09787461,-0.3005055,-0.3937073,-15.00031,-3.018555
1.356537,0.03984991,-0.09769534,-0.3006739,-0.4502563,-15.2789,-3.308929
1.376537,0.03972806,-0.09756521,-0.300868,-0.5052185,-15.56085,-3.571899
1.396538,0.0395835,-0.09749001,-0.3009831,-0.5622253,-15.74603,-3.718597
1.416536,0.0391549,-0.09730603,-0.3012596,-0.7026367,-16.1879,-4.100281
1.436537,0.03847858,-0.09712818,-0.3017768,-0.8103333,-16.71735,-4.528198
1.456537,0.03791819,-0.09704074,-0.3021777,-0.9025879,-17.29459,-4.900818
1.476538,0.03762777,-0.09695229,-0.3024027,-0.93927,-17.60342,-5.081299
1.496538,0.03705478,-0.09682416,-0.3029147,-1.00473,-18.18198,-5.46109
1.516537,0.0366465,-0.09665654,-0.3033577,-1.079651,-18.68207,-5.809723
1.536537,0.03618182,-0.09639183,-0.3037852,-1.197113,-19.129,-6.152008
1.556538,0.03577596,-0.09611173,-0.3042353,-1.35202,-19.50668,-6.437164
1.576538,0.03567522,-0.096053,-0.3044466,-1.422668,-19.67377,-6.570892
1.596537,0.03557435,-0.0958804,-0.3048141,-1.520569,-19.85129,-6.811035
1.616537,0.03554221,-0.09571056,-0.3051057,-1.620026,-19.92624,-7.009094
1.636538,0.03552716,-0.09555282,-0.305429,-1.732544,-19.93747,-7.14624
1.656538,0.03577999,-0.09548356,-0.3055991,-1.794586,-19.81778,-7.292725
1.676537,0.03597483,-0.09544376,-0.3056343,-1.819275,-19.70181,-7.368988
1.696537,0.0364088,-0.09539786,-0.305679,-1.849762,-19.43015,-7.490326
1.716537,0.03701463,-0.0955154,-0.3056545,-1.805664,-19.08524,-7.485382
1.736538,0.03780201,-0.0956438,-0.3054493,-1.74231,-18.70679,-7.428375
1.756536,0.03847109,-0.09560096,-0.3052367,-1.740631,-18.26483,-7.387573
1.776537,0.03882223,-0.09564173,-0.3051215,-1.733307,-18.03128,-7.370667
1.796537,0.03958723,-0.09561849,-0.304876,-1.699982,-17.54059,-7.285309
1.816538,0.04022038,-0.09551176,-0.3046378,-1.697174,-17.07028,-7.177765
1.836536,0.04077325,-0.09543365,-0.304505,-1.762756,-16.71185,-7.078339
1.856537,0.04130354,-0.09541516,-0.30429,-1.81778,-16.38455,-6.989227
1.876537,0.04150671,-0.09536926,-0.3041598,-1.839203,-16.25421,-6.956116
1.896538,0.04177885,-0.09526115,-0.3039747,-1.9133,-16.04684,-6.966675
1.916536,0.04217158,-0.09513936,-0.3037854,-1.989105,-16.01108,-7.031586
1.936537,0.04217608,-0.09501262,-0.3036922,-2.054932,-16.06586,-7.127716
1.956537,0.04205054,-0.0948817,-0.3036725,-2.105713,-16.23846,-7.266266
1.976538,0.04191086,-0.09480822,-0.3037112,-2.125702,-16.37259,-7.365784
1.996538,0.04159441,-0.09472466,-0.3037729,-2.174896,-16.68442,-7.612213
2.016537,0.04119331,-0.09469774,-0.3038628,-2.218353,-17.09085,-7.880768
2.036537,0.04069382,-0.09472743,-0.3039169,-2.288239,-17.57065,-8.205139
2.056538,0.04020045,-0.09475909,-0.3040169,-2.337372,-18.05887,-8.52359
2.076538,0.03997939,-0.09478657,-0.304065,-2.351898,-18.29926,-8.674042
2.096537,0.03955584,-0.094843,-0.3042141,-2.355469,-18.76144,-8.960541
2.116537,0.0392287,-0.09493487,-0.3043162,-2.321777,-19.21063,-9.243744
2.136538,0.03905268,-0.09512016,-0.3043154,-2.230011,-19.56058,-9.533752
2.156538,0.0390757,-0.09525898,-0.3042945,-2.178986,-19.71066,-9.664734
2.176537,0.03915427,-0.09553163,-0.3042183,-2.067444,-19.93768,-9.969055
2.196537,0.03923308,-0.09565555,-0.3041207,-2.010681,-20.02417,-10.09131
2.216537,0.0394859,-0.09609398,-0.3038074,-1.75827,-20.24539,-10.43484
2.236538,0.03976991,-0.09650856,-0.3036047,-1.540039,-20.30853,-10.61957
2.256536,0.04006247,-0.09676173,-0.3033419,-1.434418,-20.33282,-10.70895
