InteractionNumber,ElapsedTime,SplitTime
0,3.184954,3.184954
1,5.256727,2.071774
2,6.93891,1.682182
3,8.977921,2.039011
4,11.51696,2.539043
5,11.52822,0.01125717
6,13.95684,2.428619
7,15.15855,1.201706
8,16.83021,1.671661
9,18.76814,1.937927
10,21.20686,2.438721
11,24.54861,3.341755
12,29.76088,5.212265
13,31.15322,1.392349
14,33.72646,2.573231
15,35.37466,1.648209
16,37.08911,1.714443
17,39.73112,2.642014
18,43.72827,3.99715
19,46.27811,2.549843
20,48.08321,1.805099
21,50.66599,2.582771
22,51.80204,1.136055
23,51.81357,0.01152802
24,53.35065,1.537086
25,54.83236,1.481705
26,58.44874,3.616379
27,59.2513,0.8025589
28,61.70287,2.451569
29,64.93369,3.230827
30,67.13983,2.206139
31,68.242,1.102165
32,70.29087,2.048874
33,74.76986,4.478989
34,79.69185,4.921989
35,81.54185,1.850006
36,84.04812,2.506264
37,85.50661,1.458496
38,87.07625,1.569633
39,88.98105,1.9048
40,92.15511,3.174065
41,94.64974,2.494629
42,96.61067,1.96093
43,100.3078,3.697166
44,102.3903,2.082466
45,104.4736,2.08326
46,104.7962,0.3226166
47,107.7258,2.929611
48,110.0757,2.349915

time,posX,posY,posZ,rotX,rotY,rotZ
0.008499146,0.1070062,-0.07484421,-0.2698056,-0.3648987,-0.0586853,1.155506
0.0284977,0.1070591,-0.07479835,-0.2697717,-0.3932495,-0.04452515,1.147048
0.04849815,0.1070667,-0.07477456,-0.2697588,-0.4071655,-0.02185059,1.139804
0.06849861,0.1070485,-0.07476767,-0.2697493,-0.4013977,-0.0005458841,1.140126
0.08849907,0.1070385,-0.07477166,-0.2697478,-0.3936768,0.002848193,1.144004
0.1084976,0.1070168,-0.07478699,-0.2697376,-0.3787842,0.005947787,1.153026
0.1284981,0.1069884,-0.07478827,-0.2697056,-0.3675537,0.005659274,1.162404
0.1484985,0.1069419,-0.0747968,-0.2696663,-0.3519287,-0.001329458,1.18095
0.168499,0.1068845,-0.07484412,-0.269651,-0.3417969,-0.01873779,1.179435
0.1884975,0.1068641,-0.07488057,-0.2696388,-0.343811,-0.01953125,1.179805
0.208498,0.1068154,-0.07489156,-0.2696196,-0.3297119,-0.01507568,1.175428
0.2284985,0.1067972,-0.07489082,-0.2695888,-0.3373413,-0.001686787,1.16537
0.2484989,0.1068052,-0.07488329,-0.2695561,-0.343811,0.02093672,1.179846
0.2684975,0.1068399,-0.07491367,-0.2695383,-0.3414001,0.04984319,1.184754
0.2884979,0.1068555,-0.07490456,-0.2695145,-0.3378906,0.0647105,1.178025
0.3084984,0.1069016,-0.07489743,-0.269448,-0.3346863,0.100966,1.125436
0.3284988,0.1069272,-0.07490842,-0.2694044,-0.3062134,0.1153795,1.09099
0.3484993,0.1069374,-0.07494532,-0.2693784,-0.2565308,0.1499931,1.091699
0.3684978,0.1069536,-0.07501701,-0.2693551,-0.227478,0.1672458,1.108365
0.3884983,0.1069532,-0.0750502,-0.2693388,-0.213623,0.1785195,1.109719
0.4084988,0.106912,-0.07511991,-0.2692864,-0.1875,0.1786362,1.108656
0.4284992,0.1068232,-0.07520496,-0.2692465,-0.155304,0.1573604,1.107714
0.4484978,0.106713,-0.07527661,-0.2692051,-0.1527405,0.09976919,1.11775
0.4684982,0.1066005,-0.0753395,-0.269146,-0.1500244,0.04927904,1.131025
0.4884987,0.1065482,-0.07534466,-0.2691211,-0.1420593,0.002402323,1.132272
0.5084991,0.1064127,-0.07534809,-0.2690669,-0.1373901,-0.08731079,1.095905
0.5284977,0.1062746,-0.07533915,-0.2689967,-0.1338196,-0.1958008,1.023409
0.5484982,0.1061855,-0.0753427,-0.2689212,-0.1283875,-0.3167419,0.8434179
0.5684986,0.1061558,-0.07534591,-0.2689047,-0.1283569,-0.4248962,0.591897
0.5884991,0.1061732,-0.07535497,-0.2688959,-0.1401978,-0.4659729,0.4454835
0.6084976,0.1062973,-0.07536621,-0.2688754,-0.1784668,-0.5302124,0.0839194
0.6284981,0.1064567,-0.07535267,-0.2689011,-0.1890869,-0.5449524,-0.2037659
0.6484985,0.1071305,-0.07534406,-0.2690099,-0.2235413,-0.447052,-1.078125
0.668499,0.1076623,-0.07538518,-0.269113,-0.2340698,-0.3413086,-1.677521
0.6884975,0.1082485,-0.07543305,-0.269304,-0.2262878,-0.2562866,-2.01535
