InteractionNumber,ElapsedTime,SplitTime
0,1.391994,1.391994
1,3.35264,1.960646
2,4.867821,1.515181
3,6.52668,1.658859
4,8.063723,1.537043
5,8.075548,0.01182556
6,10.43464,2.359093
7,11.85021,1.415573
8,13.29799,1.447777
9,15.46997,2.171982
10,18.0106,2.540623
11,20.11485,2.104259
12,22.18653,2.071671
13,23.9569,1.770374
14,25.70577,1.748875
15,27.69834,1.992569
16,31.21962,3.521275
17,32.60037,1.380754
18,34.47141,1.871033
19,36.96693,2.495522
20,39.16052,2.193596
21,41.12117,1.960648
22,42.23412,1.112946
23,42.24563,0.01151276
24,44.96377,2.71814
25,46.48948,1.525711
26,48.22606,1.73658
27,49.09575,0.8696899
28,50.75491,1.659164
29,52.48113,1.726219
30,54.2969,1.815765
31,54.30805,0.01115417
32,56.63526,2.327209
33,58.98453,2.349266
34,63.06157,4.077042
35,65.62259,2.56102
36,67.26023,1.637642
37,68.89809,1.637863
38,70.23463,1.336533
39,71.70522,1.470596
40,73.66536,1.960136
41,76.96231,3.296951
42,79.99144,3.029129
43,81.94099,1.949554
44,83.51138,1.570381
45,86.10612,2.594742
46,86.11803,0.01190948
47,88.11113,1.993103
48,90.22725,2.116119

time,posX,posY,posZ,rotX,rotY,rotZ
0.01343918,-0.01824023,-0.004997958,-0.01017426,-0.6841736,0.765842,1.670358
0.03343773,-0.01821889,-0.005022918,-0.01015769,-0.6921387,0.7820404,1.685404
0.05343819,-0.01822456,-0.005050959,-0.01011171,-0.7007141,0.790519,1.685555
0.07343864,-0.01822639,-0.005107613,-0.01006732,-0.7033386,0.7962212,1.688945
0.0934391,-0.01821881,-0.005123863,-0.01007219,-0.708313,0.8039488,1.678861
0.1134377,-0.01820355,-0.005087052,-0.01011827,-0.7097168,0.8119959,1.667289
0.1334381,-0.01819453,-0.005044035,-0.01014531,-0.7200317,0.8215525,1.661151
0.1534386,-0.01816626,-0.004953558,-0.01016886,-0.738739,0.8320162,1.665394
0.173439,-0.01814343,-0.00486186,-0.01018323,-0.7705383,0.84604,1.665066
0.1934376,-0.01813982,-0.004850651,-0.01015634,-0.7939758,0.8530283,1.661677
0.213438,-0.01806088,-0.004765168,-0.01013575,-0.850769,0.8925679,1.633841
0.2334385,-0.01799448,-0.004719193,-0.01015807,-0.8830566,0.9263352,1.594605
0.2534389,-0.01794242,-0.004712597,-0.01023101,-0.8799438,0.9435903,1.577244
0.2734375,-0.01784023,-0.004694621,-0.01031926,-0.8813782,0.9833741,1.573477
0.293438,-0.01771044,-0.004716779,-0.01038746,-0.8706055,1.014411,1.57716
0.3134384,-0.01759733,-0.004793531,-0.01043532,-0.8500061,1.052055,1.549808
0.3334389,-0.01754127,-0.004848741,-0.01044871,-0.8464355,1.05955,1.538761
0.3534374,-0.01744685,-0.004875268,-0.01049459,-0.8620605,1.078122,1.515422
0.3734379,-0.01737361,-0.004839426,-0.01053849,-0.8878174,1.071863,1.490246
0.3934383,-0.01733847,-0.004757791,-0.01059302,-0.9074707,1.066731,1.457476
0.4134388,-0.01727363,-0.004733788,-0.01060165,-0.9262695,1.076605,1.44226
0.4334373,-0.01724952,-0.004720415,-0.01059774,-0.9066772,1.089184,1.429083
0.4534378,-0.01718481,-0.004760078,-0.01057803,-0.9038696,1.088304,1.418899
0.4734383,-0.01713308,-0.004820262,-0.01054007,-0.8833618,1.09625,1.411762
0.4934387,-0.01708354,-0.004850953,-0.01049979,-0.8717651,1.10462,1.402564
0.5134392,-0.01707325,-0.004856223,-0.01047327,-0.8587036,1.109146,1.388364
0.5334377,-0.01706854,-0.004872663,-0.01047021,-0.8475952,1.106239,1.382819
0.5534382,-0.01703715,-0.004901774,-0.01041356,-0.8272705,1.106164,1.323332
0.5734386,-0.01696884,-0.004948732,-0.01035328,-0.8165283,1.1162,1.276585
0.5934391,-0.01686591,-0.005012389,-0.01029409,-0.7961121,1.150703,1.154848
0.6134377,-0.01670367,-0.005024442,-0.01026526,-0.7981873,1.23465,1.013478
0.6334381,-0.01656719,-0.005000864,-0.01027117,-0.8081665,1.309144,0.9132606
0.6534386,-0.01618333,-0.004911959,-0.01033434,-0.8483887,1.519404,0.6763793
0.673439,-0.0156454,-0.004793277,-0.01042226,-0.8911743,1.810164,0.4305201
0.6934376,-0.01470959,-0.004703123,-0.01060003,-0.9373474,2.206273,0.1970357
0.713438,-0.01399988,-0.004659606,-0.01074888,-0.9688416,2.645725,-0.004244007
0.7334385,-0.01363883,-0.00468039,-0.01082935,-0.9849854,2.863941,-0.08493042
0.7534389,-0.01283771,-0.004677957,-0.01105508,-0.999115,3.275299,-0.2355957
0.7734375,-0.01206718,-0.004598729,-0.01130848,-1.010925,3.676869,-0.4235229
0.793438,-0.01131742,-0.00453283,-0.01152315,-1.048859,4.061412,-0.581665
0.8134384,-0.01056959,-0.004491031,-0.01174182,-1.093903,4.384571,-0.7467957
0.8334389,-0.01017883,-0.004432057,-0.01184808,-1.119843,4.544655,-0.8528442
0.8534374,-0.009375487,-0.004390988,-0.01203914,-1.185913,4.935117,-1.149841
0.8734379,-0.008471552,-0.004328047,-0.01225433,-1.251343,5.413119,-1.541748
0.8934383,-0.007405899,-0.004150975,-0.01255692,-1.302612,5.96848,-1.990356
0.9134388,-0.006311286,-0.004041857,-0.01295563,-1.370026,6.560465,-2.491547
0.9334373,-0.005672951,-0.004009017,-0.01318929,-1.404541,6.876298,-2.775055
0.9534378,-0.004269421,-0.004010368,-0.0136603,-1.48938,7.605154,-3.515167
