InteractionNumber,ElapsedTime,SplitTime,tposX,tposY,tposZ,trotX,trotY,trotZ,tangX,tangY,tangZ
0,1.28064,1.28064,-4.371139E-08,1.5,-0.85,0,2.504478E-06,0,1.570796,-1.570796,0
1,2.74939,1.46875,0.2409017,1.922353,-0.7238333,24.98322,-15.41266,-9.029816,1.134757,-1.301795,-9.029807
2,4.006714,1.257324,-0.1511665,1.567419,-0.8362066,3.865766,8.714516,20.30885,1.503326,-1.722893,20.30885
3,5.233154,1.22644,-0.3682121,1.7975,-0.7308596,17.30749,22.68563,2.345085,1.268724,-1.966735,2.345085
4,6.822876,1.589722,-0.6228422,1.955658,-0.4859583,27.10731,44.40302,3.511163,1.097685,-2.345775,3.511164
5,7.917969,1.095093,-0.6174027,1.703739,-0.6098052,11.75572,39.09663,-16.20093,1.36562,-2.253161,-16.20091
6,9.0448,1.126831,-0.3120602,1.743885,-0.7682258,14.11595,18.77039,-0.1046448,1.324427,-1.898401,-0.1046448
7,10.4447,1.399902,-0.04120557,1.614322,-0.8425888,6.564517,2.377168,-20.90356,1.456224,-1.612286,-20.90355
8,11.52612,1.081421,0.1328793,1.370496,-0.8326352,-7.440918,-7.701233,-5.789215,1.700665,-1.436384,-5.789219
9,12.41541,0.8892822,0.03569899,1.101623,-0.7665268,-23.47675,-2.23056,13.80421,1.980543,-1.531866,13.80421
10,13.55322,1.137817,0.01005246,1.216274,-0.8088529,-16.48267,-0.600647,3.454815,1.858473,-1.560313,3.454815
11,14.76819,1.214966,-0.03577673,1.23441,-0.8134221,-15.40201,2.126705,24.77569,1.839612,-1.607914,24.77569
12,16.12524,1.357056,-0.3888496,1.6816,-0.753226,10.46298,23.29246,12.50981,1.388183,-1.977326,12.50981
13,17.31799,1.192749,-0.7308517,1.497576,-0.532532,-0.138855,46.95802,-3.708954,1.57322,-2.390368,-3.708966
14,18.71179,1.393799,-0.5686629,1.116434,-0.5776672,-22.55475,38.00719,-6.749725,1.964451,-2.234147,-6.749737
15,19.93579,1.223999,-0.1422592,0.9696759,-0.6857743,-32.02737,9.659877,-9.658295,2.129779,-1.739393,-9.658298
16,21.16211,1.226318,-0.07673328,1.259587,-0.8176329,-13.91095,4.534065,-7.118805,1.813588,-1.649931,-7.118801
17,22.45337,1.29126,0.2946762,1.527945,-0.8051884,1.601315,-17.14502,-17.46991,1.542848,-1.271559,-17.46991
18,23.89978,1.446411,-0.1561475,1.095981,-0.7513251,-23.82965,9.828493,10.04256,1.986702,-1.742336,10.04256
19,24.82312,0.9233398,-0.08893876,0.8986525,-0.6440221,-36.96649,6.391085,24.56585,2.215983,-1.682342,24.56585
20,26.41016,1.587036,-0.2400245,1.126226,-0.7459246,-21.94858,14.99775,16.72151,1.953871,-1.832556,16.72151
21,27.61597,1.205811,-0.2751725,1.063554,-0.7066182,-25.87738,17.80864,-2.015594,2.022441,-1.881616,-2.015606
22,28.9563,1.340332,-0.165372,1.086363,-0.7452971,-24.43353,10.46526,22.6,1.997241,-1.753449,22.6
23,30.36035,1.404053,-0.6184049,1.224427,-0.5859582,-15.99619,40.03939,-4.564026,1.849983,-2.269615,-4.564034
24,31.52881,1.168457,-0.3209983,1.073397,-0.6955591,-25.25214,20.78819,21.96739,2.011529,-1.933619,21.96739
25,32.67615,1.147339,-0.5012914,1.325655,-0.6975321,-10.04059,30.60313,6.091793,1.746037,-2.104922,6.091793
26,33.80066,1.124512,-0.6981264,1.102497,-0.4454919,-23.42218,49.53629,5.015316,1.979591,-2.435368,5.015316
27,35.22546,1.424805,-0.3585996,0.9404961,-0.597236,-34.02151,25.63642,-0.8401489,2.164583,-2.018236,-0.8401566
28,36.67493,1.449463,-0.4286002,1.345078,-0.7401129,-8.912292,25.71139,-20.94275,1.726345,-2.019545,-20.94274
29,37.90955,1.234619,-0.460316,0.9352984,-0.5349973,-34.38156,33.90098,-10.06412,2.170868,-2.16248,-10.06411
30,39.71509,1.805542,-0.5681056,0.9131988,-0.4269926,-35.93033,44.55534,-25.07553,2.197899,-2.348434,-25.07554
31,41.27698,1.56189,-0.2759961,1.277713,-0.7851014,-12.84338,16.44402,-25.52576,1.794956,-1.857799,-25.52575
32,42.83484,1.557861,0.216321,1.279648,-0.801131,-12.72971,-12.81314,0.9477425,1.792972,-1.347165,0.9477425
33,44.01904,1.184204,0.5768788,1.40021,-0.6607112,-5.727112,-35.43457,21.32615,1.670753,-0.9523466,21.32615
34,45.95361,1.93457,0.3061228,1.890499,-0.7182164,22.98553,-19.42206,10.29319,1.169623,-1.231818,10.29319
35,47.33521,1.381592,0.6410077,2.00548,-0.4275806,30.36321,-47.97952,6.711176,1.040859,-0.7333954,6.711175
36,48.54199,1.206787,0.3034994,2.004814,-0.6581159,30.31899,-20.58438,17.49599,1.04163,-1.211531,17.49599
37,49.75098,1.208984,0.009630461,2.051694,-0.6839911,33.48331,-0.6615906,-9.348602,0.9864025,-1.559249,-9.348618
38,50.88684,1.135864,-0.2648661,1.762056,-0.7779937,15.19212,15.9297,17.56794,1.305644,-1.848822,17.56794
39,52.29797,1.411133,-0.4503826,1.925104,-0.6351382,25.15726,29.84008,11.01638,1.131719,-2.091604,11.01638
