InteractionNumber,ElapsedTime,SplitTime,tposX,tposY,tposZ,trotX,trotY,trotZ,tangX,tangY,tangZ
0,4.510986,4.510986,-4.371139E-08,1.5,-0.85,0,2.504478E-06,0,1.570796,-1.570796,0
1,10.11523,5.604248,-0.2409018,1.922353,1.023833,24.98322,164.5873,-9.029816,1.134757,1.839798,-9.029807
2,14.60376,4.488525,0.1511665,1.567419,1.136207,3.865766,-171.2855,20.30885,1.503326,1.418699,20.30885
3,16.88721,2.283447,0.368212,1.7975,1.03086,17.30749,-157.3144,2.345085,1.268724,1.174857,2.345085
4,21.91162,5.024414,0.6228421,1.955658,0.7859584,27.10731,-135.597,3.511163,1.097685,0.7958175,3.511164
5,24.22632,2.314697,0.6174026,1.703739,0.9098054,11.75572,-140.9034,-16.20093,1.36562,0.8884317,-16.20091
6,28.64819,4.421875,0.3120601,1.743885,1.068226,14.11595,-161.2296,-0.1046448,1.324427,1.243191,-0.1046448
7,32.00024,3.352051,0.04120548,1.614322,1.142589,6.564518,-177.6228,-20.90356,1.456224,1.529307,-20.90355
8,37.71387,5.713623,-0.1328794,1.370496,1.132635,-7.440918,172.2988,-5.789215,1.700665,1.705209,-5.789219
9,39.36206,1.648193,-0.03569907,1.101623,1.066527,-23.47675,177.7694,13.80421,1.980543,1.609727,13.80421
10,41.84644,2.484375,-0.01005255,1.216274,1.108853,-16.48267,179.3993,3.454815,1.858473,1.58128,3.454815
11,44.40845,2.562012,0.03577665,1.23441,1.113422,-15.40201,-177.8733,24.77569,1.839612,1.533678,24.77569
12,47.71729,3.308838,0.3888496,1.6816,1.053226,10.46297,-156.7076,12.50981,1.388183,1.164266,12.50981
13,52.56787,4.850586,0.7308517,1.497576,0.832532,-0.138855,-133.042,-3.708954,1.57322,0.7512243,-3.708966
14,57.24097,4.673096,0.5686628,1.116434,0.8776673,-22.55475,-141.9928,-6.749725,1.964451,0.9074459,-6.749737
15,60.45972,3.21875,0.1422592,0.9696759,0.9857744,-32.02734,-170.3401,-9.658295,2.129779,1.4022,-9.658298
16,64.60156,4.141846,0.07673319,1.259587,1.117633,-13.91095,-175.4659,-7.118805,1.813588,1.491662,-7.118801
17,67.48608,2.884521,-0.2946762,1.527945,1.105188,1.601315,162.855,-17.46991,1.542848,1.870034,-17.46991
18,70.85889,3.372803,0.1561475,1.095981,1.051325,-23.82965,-170.1715,10.04256,1.986702,1.399257,10.04256
19,75.65015,4.79126,0.08893868,0.8986525,0.9440221,-36.96649,-173.6089,24.56585,2.215983,1.459251,24.56585
20,76.74561,1.095459,0.2400244,1.126226,1.045925,-21.94858,-165.0023,16.72151,1.953871,1.309036,16.72151
21,78.48804,1.742432,0.2751725,1.063554,1.006618,-25.87738,-162.1914,-2.015594,2.022441,1.259977,-2.015606
22,81.15112,2.663086,0.1653719,1.086363,1.045297,-24.43347,-169.5347,22.6,1.997241,1.388143,22.6
23,83.25708,2.105957,0.6184049,1.224427,0.8859583,-15.99619,-139.9606,-4.564026,1.849983,0.8719773,-4.564034
24,84.91479,1.657715,0.3209984,1.073397,0.9955591,-25.25214,-159.2118,21.96739,2.011529,1.207974,21.96739
25,88.25415,3.339355,0.5012913,1.325655,0.9975321,-10.04056,-149.3969,6.091794,1.746037,1.036671,6.091793
26,90.33984,2.085693,0.6981264,1.102497,0.7454919,-23.42218,-130.4637,5.015316,1.979591,0.7062249,5.015316
27,92.46875,2.128906,0.3585995,0.9404961,0.8972361,-34.02151,-154.3636,-0.8401489,2.164583,1.123357,-0.8401566
28,96.57666,4.10791,0.4286001,1.345078,1.040113,-8.912292,-154.2886,-20.94275,1.726345,1.122048,-20.94274
29,100.3877,3.811035,0.4603158,0.9352984,0.8349975,-34.38156,-146.099,-10.06412,2.170868,0.979113,-10.06411
30,102.9602,2.57251,0.5681055,0.9131988,0.7269926,-35.93036,-135.4447,-25.07553,2.197899,0.7931591,-25.07554
31,105.5266,2.566406,0.2759958,1.277713,1.085101,-12.84338,-163.556,-25.52576,1.794956,1.283794,-25.52575
32,108.0713,2.544678,-0.2163213,1.279648,1.101131,-12.72971,167.1868,0.9477425,1.792972,1.794428,0.9477425
33,110.2871,2.21582,-0.576879,1.40021,0.960711,-5.727112,144.5654,21.32614,1.670753,2.189246,21.32615
34,113.1951,2.907959,-0.306123,1.890499,1.018216,22.98553,160.5779,10.29319,1.169623,1.909775,10.29319
35,115.7256,2.530518,-0.641008,2.00548,0.7275804,30.3632,132.0205,6.711175,1.040859,2.408198,6.711175
36,118.3196,2.593994,-0.3034998,2.004814,0.9581157,30.31899,159.4156,17.49599,1.04163,1.930062,17.49599
37,121.4326,3.113037,-0.009630932,2.051694,0.983991,33.48331,179.3384,-9.348633,0.9864025,1.582344,-9.348618
38,123.8438,2.411133,0.2648655,1.762056,1.077994,15.19212,-164.0703,17.56794,1.305644,1.292771,17.56794
39,125.447,1.603271,0.4503822,1.925104,0.9351385,25.15726,-150.1599,11.01638,1.131719,1.049989,11.01638
