InteractionNumber,ElapsedTime,SplitTime,tposX,tposY,tposZ,trotX,trotY,trotZ,tangX,tangY,tangZ
0,6.217804,6.217804,-4.371139E-08,1.5,1.15,0,180,0,1.570796,1.570796,0
1,10.29306,4.075256,-0.2409018,1.922353,-0.7238333,24.98321,15.41267,-9.029816,1.134757,-1.839798,-9.029807
2,15.72748,5.434418,0.1511665,1.567419,-0.8362066,3.865766,-8.714508,20.30885,1.503326,-1.418699,20.30885
3,19.02472,3.297241,0.368212,1.7975,-0.7308598,17.30749,-22.68564,2.345084,1.268724,-1.174857,2.345085
4,22.79404,3.769318,0.6228421,1.955658,-0.4859584,27.10731,-44.40302,3.511163,1.097685,-0.7958175,3.511164
5,24.70758,1.913544,0.6174026,1.703739,-0.6098053,11.75572,-39.09662,-16.2009,1.36562,-0.8884317,-16.20091
6,29.36356,4.655975,0.3120601,1.743885,-0.7682258,14.11595,-18.77039,-0.1046448,1.324427,-1.243191,-0.1046448
7,31.64178,2.278229,0.04120548,1.614322,-0.8425888,6.564517,-2.377167,-20.90356,1.456224,-1.529307,-20.90355
8,35.38345,3.741669,-0.1328794,1.370496,-0.8326352,-7.440918,7.701252,-5.789215,1.700665,-1.705209,-5.789219
9,37.24146,1.858002,-0.03569907,1.101623,-0.7665268,-23.47675,2.230565,13.80421,1.980543,-1.609727,13.80421
10,39.09207,1.850616,-0.01005255,1.216274,-0.8088529,-16.48267,0.6006629,3.454815,1.858473,-1.58128,3.454815
11,44.65677,5.564697,0.03577665,1.23441,-0.8134221,-15.40201,-2.126709,24.77569,1.839612,-1.533678,24.77569
12,46.83655,2.179779,0.3888496,1.6816,-0.753226,10.46297,-23.29248,12.50981,1.388183,-1.164266,12.50981
13,49.89197,3.05542,0.7308517,1.497576,-0.5325321,-0.138855,-46.95801,-3.708954,1.57322,-0.7512243,-3.708966
14,52.79684,2.904877,0.5686628,1.116434,-0.5776672,-22.55475,-38.0072,-6.749725,1.964451,-0.9074459,-6.749737
15,54.38068,1.583832,0.1422592,0.9696759,-0.6857743,-32.02737,-9.659882,-9.658295,2.129779,-1.4022,-9.658298
16,57.92636,3.545685,0.07673319,1.259587,-0.8176329,-13.91095,-4.534058,-7.118805,1.813588,-1.491662,-7.118801
17,61.88153,3.95517,-0.2946762,1.527945,-0.8051884,1.601314,17.14503,-17.46991,1.542848,-1.870034,-17.46991
18,65.54385,3.662323,0.1561475,1.095981,-0.7513251,-23.82965,-9.828491,10.04256,1.986702,-1.399257,10.04256
19,68.75735,3.213501,0.08893868,0.8986525,-0.6440221,-36.96649,-6.391083,24.56585,2.215983,-1.459251,24.56585
20,70.73718,1.979828,0.2400244,1.126226,-0.7459246,-21.94858,-14.99774,16.72151,1.953871,-1.309036,16.72151
21,73.10196,2.364777,0.2751725,1.063554,-0.7066182,-25.87738,-17.80862,-2.015594,2.022441,-1.259977,-2.015606
22,78.31467,5.212708,0.1653719,1.086363,-0.7452971,-24.43353,-10.46524,22.6,1.997241,-1.388143,22.6
23,82.27762,3.962952,0.6184049,1.224427,-0.5859582,-15.99619,-40.0394,-4.564026,1.849983,-0.8719773,-4.564034
24,85.5184,3.240784,0.3209984,1.073397,-0.6955591,-25.25214,-20.78818,21.96739,2.011529,-1.207974,21.96739
25,87.98224,2.463837,0.5012913,1.325655,-0.6975321,-10.04059,-30.60312,6.091793,1.746037,-1.036671,6.091793
26,90.27499,2.292755,0.6981264,1.102497,-0.4454919,-23.42218,-49.53629,5.015316,1.979591,-0.7062249,5.015316
27,92.94849,2.673492,0.3585995,0.9404961,-0.597236,-34.02151,-25.63641,-0.8401489,2.164583,-1.123357,-0.8401566
28,96.2399,3.291412,0.4286001,1.345078,-0.7401129,-8.912292,-25.71136,-20.94275,1.726345,-1.122048,-20.94274
29,104.4421,8.202179,0.4603158,0.9352984,-0.5349975,-34.38159,-33.90097,-10.06412,2.170868,-0.979113,-10.06411
30,108.6524,4.210358,0.5681055,0.9131988,-0.4269926,-35.93036,-44.55533,-25.07553,2.197899,-0.7931591,-25.07554
31,110.9707,2.318298,0.2759958,1.277713,-0.7851015,-12.84338,-16.444,-25.52576,1.794956,-1.283794,-25.52575
32,115.3036,4.332855,-0.2163213,1.279648,-0.8011309,-12.72971,12.81316,0.9477425,1.792972,-1.794428,0.9477425
33,117.3686,2.065033,-0.576879,1.40021,-0.6607111,-5.727112,35.43459,21.32614,1.670753,-2.189246,21.32615
34,121.3401,3.971436,-0.306123,1.890499,-0.7182163,22.98553,19.42207,10.29319,1.169623,-1.909775,10.29319
35,124.4469,3.106842,-0.641008,2.00548,-0.4275804,30.36321,47.97956,6.711175,1.040859,-2.408198,6.711175
36,132.1653,7.718384,-0.3034998,2.004814,-0.6581157,30.31899,20.58441,17.49599,1.04163,-1.930062,17.49599
37,134.8706,2.705292,-0.009630932,2.051694,-0.6839911,33.48331,0.6616219,-9.348633,0.9864025,-1.582344,-9.348618
38,138.7463,3.875702,0.2648655,1.762056,-0.7779939,15.19212,-15.92966,17.56794,1.305644,-1.292771,17.56794
39,140.7167,1.970459,0.4503822,1.925104,-0.6351384,25.15726,-29.84006,11.01638,1.131719,-1.049989,11.01638
