time,posX,posY,posZ,rotX,rotY,rotZ
0.01675987,0.0004971288,-0.0003532073,-0.002929777,-0.07235718,0.06860596,0.1580386
0.03676033,0.0005092025,-0.0003601717,-0.002937816,-0.09579468,0.06485253,0.1720657
0.05676079,0.0005133748,-0.000352161,-0.002945225,-0.1060791,0.05817503,0.1711499
0.07675934,0.000503663,-0.0003384611,-0.002954213,-0.1121521,0.05137764,0.166565
0.0967598,0.0004898123,-0.0003218156,-0.002965429,-0.1114502,0.04620324,0.1591474
0.1167603,0.0004877904,-0.0002950791,-0.002993592,-0.09359741,0.03838523,0.1443959
0.1367607,0.0004994841,-0.0002846569,-0.003025834,-0.07452393,0.04197527,0.1376457
0.1567593,0.0005137771,-0.0003024553,-0.003077309,-0.07009888,0.0498716,0.133014
0.1767597,0.0005259514,-0.0003117832,-0.003102166,-0.06826782,0.05389638,0.1419234
0.1967602,0.0005569449,-0.0002996477,-0.003141967,-0.0836792,0.05526239,0.1567783
0.2167606,0.0005741231,-0.0002734681,-0.003155119,-0.1047668,0.07436789,0.1464213
0.2367611,0.000583373,-0.0002108714,-0.003178816,-0.1054688,0.0850533,0.1314443
0.2567596,0.0005964162,-0.0001743214,-0.003220859,-0.09915161,0.08075275,0.134449
0.2767601,0.0005881339,-0.0001612579,-0.003250219,-0.09286499,0.08570371,0.1326691
0.2967606,0.0006058766,-0.0001345677,-0.003317264,-0.08126831,0.08328856,0.1482263
0.316761,0.000620693,-8.178334E-05,-0.003386131,-0.09490967,0.08172918,0.1533857
0.3367596,0.0006138468,-6.541217E-05,-0.003471937,-0.1252747,0.08168297,0.1531714
0.35676,0.0006255582,-4.685207E-05,-0.003517987,-0.1378479,0.08198746,0.1541132
0.3767605,0.000620041,3.413804E-05,-0.003607978,-0.1674805,0.08351344,0.1516977
0.3967609,0.0006177733,0.0001235751,-0.003694836,-0.2010803,0.07951603,0.1522012
0.4167595,0.0006086938,0.0002162255,-0.003757354,-0.2340088,0.08423542,0.1594436
0.4367599,0.0006019883,0.0002893778,-0.003814953,-0.2529907,0.08333419,0.168972
0.4567604,0.0005996004,0.0003118889,-0.003848795,-0.2646484,0.08096123,0.1702501
0.4767609,0.0005914494,0.0003461534,-0.003919169,-0.2887573,0.07249763,0.1771024
0.4967594,0.0005647354,0.0003941854,-0.003987886,-0.3147583,0.07264682,0.1833539
0.5167599,0.0005322704,0.0004489001,-0.004038445,-0.3401184,0.06209787,0.1784676
0.5367603,0.000520777,0.0004807,-0.004054124,-0.3539734,0.0575464,0.1851844
0.5567608,0.0005154395,0.0004805879,-0.004053116,-0.3637695,0.05452981,0.190242
0.5767593,0.0005046995,0.000467685,-0.004037016,-0.3629456,0.0513262,0.1947175
0.5967598,0.0004864624,0.0004519454,-0.004004379,-0.3509827,0.05207797,0.1899298
0.6167603,0.0004916042,0.0004142807,-0.003965028,-0.3372498,0.04601604,0.1913732
0.6367607,0.0004826076,0.0003707597,-0.003924982,-0.3135681,0.05177742,0.1887876
0.6567593,0.0004741112,0.00034811,-0.003904064,-0.297821,0.05427953,0.1854079
0.6767597,0.0004759692,0.0002916124,-0.003850828,-0.2726135,0.0540182,0.1902728
0.6967602,0.000478927,0.0002719672,-0.003826571,-0.2614441,0.05051116,0.1868269
0.7167606,0.0004768632,0.0002843433,-0.003817375,-0.2703247,0.04723029,0.1748734
0.7367611,0.000467062,0.0003362036,-0.003822149,-0.2995605,0.04073697,0.1665516
0.7567596,0.0004511625,0.0003894025,-0.003836059,-0.3273621,0.03873856,0.163631
0.7767601,0.0004143715,0.0005441993,-0.003901118,-0.4008179,0.01329527,0.1704935
0.7967606,0.0003253818,0.000712719,-0.004016892,-0.506958,-0.04556274,0.1982414
0.816761,0.0001748838,0.0009340202,-0.004181289,-0.6467285,-0.1349487,0.228447
0.8367596,-8.956343E-05,0.001248055,-0.004436842,-0.8337708,-0.2698669,0.2633579
0.85676,-0.0002404302,0.001445692,-0.004585805,-0.9409485,-0.3636475,0.3000788
0.8767605,-0.0007041832,0.001993858,-0.004938164,-1.199615,-0.5646362,0.3450912
0.8967609,-0.001135196,0.00264444,-0.005247684,-1.540985,-0.8456726,0.348464
0.9167595,-0.001774736,0.00347893,-0.005568597,-1.962585,-1.22168,0.2702222
0.9367599,-0.002560403,0.004384078,-0.006040495,-2.507111,-1.751678,0.1279291
0.9567604,-0.003010835,0.004937118,-0.006306442,-2.802094,-2.05835,0.04051264
0.9767609,-0.003986049,0.006036044,-0.006988079,-3.471436,-2.793091,-0.1679688
0.9967594,-0.005460955,0.007774517,-0.008001221,-4.478333,-3.906372,-0.4814148
1.01676,-0.006550685,0.009096279,-0.008905607,-5.237274,-4.756989,-0.7620239
1.03676,-0.006681867,0.009127997,-0.009145962,-5.278687,-4.808533,-0.7988586
1.056761,-0.007675998,0.01033834,-0.01013438,-6.008331,-5.640533,-1.038025
1.076759,-0.008911815,0.01224305,-0.01161616,-7.071808,-6.810394,-1.412964
1.09676,-0.00935987,0.01277414,-0.01233551,-7.38678,-7.16925,-1.516235
1.11676,-0.01011059,0.01381089,-0.01357572,-8.012238,-7.823212,-1.724152
1.136761,-0.01059453,0.01509273,-0.0145652,-8.707764,-8.450989,-1.940979
1.156759,-0.01129932,0.01625494,-0.01567868,-9.428375,-9.00415,-2.161285
1.17676,-0.01164625,0.01690418,-0.0162616,-9.8078,-9.303528,-2.267303
1.19676,-0.0121606,0.018234,-0.01728509,-10.64813,-9.899658,-2.422546
1.216761,-0.0127307,0.0194665,-0.01845287,-11.47681,-10.52191,-2.580292
1.236761,-0.01339084,0.02071914,-0.01985039,-12.28336,-11.15021,-2.757019
1.25676,-0.01365674,0.02141315,-0.02040936,-12.66183,-11.45123,-2.874939
1.27676,-0.01408263,0.02261733,-0.02148025,-13.41214,-12.06201,-3.091034
1.296761,-0.01466095,0.02376384,-0.02289872,-14.13776,-12.67612,-3.319916
1.316761,-0.01506939,0.02477281,-0.02419256,-14.80005,-13.23233,-3.548248
1.33676,-0.01514999,0.02527302,-0.02472315,-15.10089,-13.49023,-3.662537
1.35676,-0.0153783,0.02616179,-0.02583142,-15.69492,-13.93945,-3.91156
1.37676,-0.01543007,0.02692802,-0.02717237,-16.21976,-14.33591,-4.160187
1.396761,-0.01532326,0.02765223,-0.02794081,-16.67023,-14.59741,-4.445374
1.416759,-0.01506259,0.02841854,-0.0287376,-17.18262,-14.81512,-4.749817
1.43676,-0.01490219,0.02884814,-0.02928882,-17.42404,-14.91211,-4.923035
1.45676,-0.01449455,0.02958653,-0.02995747,-17.91168,-15.04297,-5.303436
1.476761,-0.01379169,0.03032327,-0.03042323,-18.40958,-15.09509,-5.732697
1.496759,-0.01306917,0.0310126,-0.03096257,-18.97571,-15.12296,-6.242035
1.51676,-0.01221173,0.03166136,-0.03138773,-19.5097,-15.08578,-6.784454
1.53676,-0.01163557,0.03196005,-0.03158032,-19.7471,-15.05075,-7.075592
1.556761,-0.0105654,0.03257599,-0.03196063,-20.2395,-14.93579,-7.663422
1.576759,-0.009268232,0.03323434,-0.0325075,-20.73807,-14.82803,-8.276398
1.59676,-0.007801532,0.03377895,-0.03280472,-21.16531,-14.64316,-8.921295
1.61676,-0.006420314,0.0342561,-0.03319954,-21.5484,-14.41626,-9.581818
1.636761,-0.005651981,0.03444882,-0.03344237,-21.71475,-14.31635,-9.890472
1.656759,-0.004044218,0.03483621,-0.03378229,-22.04718,-14.06128,-10.50223
1.67676,-0.002414839,0.0352917,-0.03404106,-22.37338,-13.78336,-11.08957
1.69676,-0.000748286,0.03562172,-0.03452629,-22.72473,-13.55417,-11.63425
1.716761,0.0007694997,0.0358573,-0.0350479,-23.02371,-13.3183,-12.09976
1.736761,0.001545224,0.03597501,-0.035221,-23.15741,-13.20911,-12.29593
1.75676,0.002882246,0.03633583,-0.03561077,-23.4097,-13.05542,-12.61926
1.77676,0.004005872,0.03659716,-0.03612679,-23.64301,-12.90994,-12.91031
1.796761,0.00503597,0.03686722,-0.03657153,-23.86679,-12.83127,-13.16327
1.816761,0.005916307,0.03714603,-0.03700237,-24.07831,-12.78543,-13.36362
1.83676,0.006247668,0.03728664,-0.03727692,-24.18054,-12.81445,-13.44485
1.85676,0.006847365,0.03748485,-0.03783118,-24.36417,-12.85818,-13.61035
1.87676,0.007289585,0.03759428,-0.03837429,-24.48657,-12.98315,-13.73709
1.896761,0.007590851,0.03774246,-0.03886204,-24.61374,-13.10635,-13.84482
1.916759,0.007838393,0.03799125,-0.03938662,-24.79074,-13.24509,-13.94849
1.93676,0.007856779,0.03810725,-0.03961885,-24.88498,-13.30109,-13.99887
1.95676,0.007794986,0.03834322,-0.04013507,-25.05316,-13.44708,-14.06982
1.976761,0.00763541,0.03852602,-0.04066327,-25.18893,-13.6427,-14.05148
1.996759,0.007393624,0.0387374,-0.04118665,-25.3075,-13.84067,-13.99393
2.01676,0.007224471,0.03882284,-0.04143167,-25.36331,-13.92694,-13.95663
2.03676,0.006901074,0.03899179,-0.0419118,-25.47171,-14.11786,-13.85233
2.056761,0.00651397,0.03915391,-0.04236622,-25.56116,-14.25305,-13.7142
2.076759,0.006138386,0.03920404,-0.0427733,-25.62753,-14.36011,-13.57364
