time,posX,posY,posZ,rotX,rotY,rotZ
0.006292343,-0.0009604031,8.716677E-05,-0.001897878,-0.05465698,0.08354177,0.4198828
0.0262928,-0.0009669252,0.0001340323,-0.001991231,-0.07104492,0.07851649,0.4357815
0.04629326,-0.0009568147,0.0001905132,-0.002096955,-0.1087646,0.07839556,0.4472041
0.06629372,-0.0009647124,0.0002100605,-0.002132701,-0.1296997,0.08237344,0.4473654
0.08629227,-0.0009739324,0.0002530356,-0.002198138,-0.1593018,0.08479494,0.4481991
0.1062927,-0.0009975685,0.0003027067,-0.002249653,-0.1673279,0.08158936,0.4551519
0.1262932,-0.001012924,0.0003287724,-0.00230068,-0.1640625,0.07944068,0.4535061
0.1462936,-0.001029812,0.0003421895,-0.002340328,-0.1619568,0.07815036,0.4565039
0.1662922,-0.001033433,0.0003530045,-0.002394134,-0.1524658,0.07727216,0.4583875
0.1862926,-0.001039259,0.0003375225,-0.002458806,-0.1583557,0.0716664,0.4721151
0.2062931,-0.001056843,0.0003295635,-0.002465879,-0.1767273,0.0670801,0.4844435
0.2262936,-0.001075632,0.0002948637,-0.002459601,-0.1824951,0.06510008,0.4648878
0.2462921,-0.001104581,0.0002856253,-0.002450648,-0.1592407,0.06929477,0.4468159
0.2662926,-0.00111692,0.000275133,-0.002450468,-0.1423035,0.06937475,0.4510935
0.286293,-0.001120766,0.0002588914,-0.002440938,-0.117157,0.06329745,0.4752819
0.3062935,-0.001104535,0.0002897125,-0.002430771,-0.1069946,0.07141822,0.4885637
0.3262939,-0.001089069,0.0002799682,-0.002422438,-0.1084595,0.07605077,0.493192
0.3462925,-0.00109601,0.0002621755,-0.002422112,-0.1034851,0.08249228,0.4891008
0.366293,-0.001093339,0.0002631708,-0.002422646,-0.1000366,0.08190022,0.4844928
0.3862934,-0.00109183,0.0002473441,-0.002423327,-0.1000671,0.08531062,0.4761363
0.4062939,-0.001096144,0.0002554439,-0.00244119,-0.09591675,0.0830931,0.4632786
0.4262924,-0.001094126,0.0002914142,-0.002462329,-0.09616089,0.09303316,0.4690593
0.4462929,-0.001078916,0.0003299939,-0.002490581,-0.1017151,0.09615032,0.4777293
0.4662933,-0.001085639,0.0003435115,-0.002503286,-0.1052551,0.09814567,0.4789622
0.4862938,-0.001092735,0.0003684238,-0.002540796,-0.1130676,0.1026875,0.4854165
0.5062923,-0.001095741,0.0003801795,-0.002589028,-0.1260986,0.1041798,0.4867819
0.5262928,-0.001106718,0.0003929398,-0.002634266,-0.1401367,0.1010158,0.4899594
0.5462933,-0.001116828,0.0004083667,-0.002664653,-0.1534729,0.09212839,0.4956498
0.5662937,-0.001125143,0.0004328511,-0.002677545,-0.1651001,0.09043251,0.4983774
0.5862923,-0.001130073,0.0004967546,-0.002712405,-0.1812744,0.07340112,0.5013673
0.6062927,-0.001173473,0.0005394972,-0.002717174,-0.2279358,0.04928746,0.4953824
0.6262932,-0.001274496,0.0006523512,-0.002727398,-0.3164063,-0.03244019,0.4647578
0.6462936,-0.001490131,0.0008963058,-0.002753087,-0.493103,-0.2150879,0.4136731
0.6662922,-0.001637872,0.001084318,-0.00276321,-0.6416931,-0.3193665,0.375758
0.6862926,-0.002248236,0.002041434,-0.00282615,-1.083435,-0.6349182,0.2768061
0.7062931,-0.002829633,0.002983695,-0.003111133,-1.700592,-1.113953,0.1910581
0.7262936,-0.003525667,0.004001782,-0.003463755,-2.366455,-1.669861,0.113283
0.7462921,-0.003936742,0.004658539,-0.00364147,-2.738586,-1.958893,0.07466019
0.7662926,-0.004865792,0.006136332,-0.004330079,-3.645508,-2.597473,-0.02145386
0.786293,-0.005836953,0.007629465,-0.005191926,-4.617584,-3.261566,-0.1099243
0.8062935,-0.006810163,0.009501103,-0.006077325,-5.698181,-3.950256,-0.195282
0.8262939,-0.007893916,0.01140845,-0.007355025,-6.882324,-4.642822,-0.2507019
0.8462925,-0.008365236,0.01235266,-0.008195032,-7.447815,-4.997223,-0.2521973
0.866293,-0.009344864,0.0140421,-0.009634123,-8.531372,-5.651001,-0.3013611
0.8862934,-0.01039506,0.01578367,-0.01099968,-9.566956,-6.248047,-0.331543
0.9062939,-0.01157437,0.01751869,-0.01286924,-10.57635,-6.857941,-0.3059692
