time,posX,posY,posZ,rotX,rotY,rotZ
0.00711441,0.000116799,-0.0008630885,-0.002817058,-0.1731873,0.1182899,0.4665506
0.02711487,0.0001083352,-0.0009022064,-0.002810378,-0.1618652,0.125838,0.4648734
0.04711533,9.987503E-05,-0.0009542295,-0.002780764,-0.1570129,0.1230715,0.4872425
0.06711578,9.961054E-05,-0.0009828184,-0.002742343,-0.1445007,0.1149787,0.488743
0.08711243,0.0001009852,-0.0009726424,-0.002714197,-0.147644,0.1151826,0.4795004
0.1071129,9.898096E-05,-0.0009453603,-0.002659067,-0.1435852,0.1122096,0.452646
0.1271133,8.943677E-05,-0.0009532269,-0.002619861,-0.1269836,0.1088633,0.4395931
0.1471138,0.000110019,-0.001000509,-0.00261832,-0.1086731,0.1004119,0.4516619
0.1671143,0.0001238473,-0.001045361,-0.002596639,-0.1159363,0.1011246,0.4670328
0.1871147,0.0001234896,-0.001049221,-0.002579663,-0.1252747,0.1023211,0.4641398
0.2071152,0.0001463257,-0.00107488,-0.002545846,-0.1455688,0.1014995,0.4666896
0.2271156,0.0001640283,-0.001105629,-0.002521151,-0.1500244,0.1110076,0.4649562
0.2471123,0.0001804121,-0.001102503,-0.002496408,-0.1440735,0.1166164,0.4551421
0.2671127,0.0001790188,-0.001089406,-0.002467844,-0.1394348,0.1229648,0.4461479
0.2871132,0.0001887083,-0.001085531,-0.002456737,-0.1358948,0.1196924,0.4466795
0.3071136,0.0001796111,-0.001081384,-0.002443631,-0.1269836,0.1282213,0.4400387
0.3271141,0.0001834668,-0.001112332,-0.00243176,-0.1190796,0.1238428,0.4426571
0.3471146,0.0001996309,-0.001119439,-0.002413137,-0.1330261,0.1189533,0.4566312
0.367115,0.0002119467,-0.001125649,-0.002405821,-0.1369324,0.1193502,0.4416036
0.3871155,0.0002098083,-0.001135236,-0.002370413,-0.1402283,0.1297525,0.4106764
0.4071159,0.0001965165,-0.001137855,-0.002323729,-0.1268616,0.1298353,0.4093025
0.4271126,0.0001813918,-0.001147025,-0.00226732,-0.08963013,0.120404,0.431053
0.447113,0.0001563616,-0.001181688,-0.002197757,-0.03915405,0.09989326,0.4567291
0.4671135,9.902567E-05,-0.001296852,-0.002106905,0.03125198,0.09021992,0.4716757
0.487114,6.670132E-05,-0.001397201,-0.002055967,0.07631735,0.07159091,0.4897353
0.5071144,-2.872571E-05,-0.001682279,-0.001928138,0.2360152,0.009991186,0.550713
0.5271149,-0.0001805164,-0.002078028,-0.001753326,0.496458,-0.05459595,0.6033679
0.5471153,-0.000465489,-0.002915434,-0.001361658,0.9004072,-0.1453247,0.6549205
0.5671158,-0.0008009067,-0.003761556,-0.000985632,1.446418,-0.2901611,0.7006771
0.5871124,-0.001020875,-0.004209491,-0.0007558137,1.749624,-0.3818665,0.7258944
0.6071129,-0.001608673,-0.00556157,0.0001328056,2.416099,-0.6549988,0.7933022
0.6271133,-0.002280619,-0.006665138,0.0007567078,3.310838,-1.077026,0.8679448
0.6471138,-0.003234548,-0.008162716,0.00172836,4.229186,-1.610687,0.8962311
0.6671143,-0.004201316,-0.00978418,0.002888131,5.124386,-2.214935,0.8955066
0.6871147,-0.004756536,-0.0105379,0.003549482,5.593815,-2.564026,0.8561029
0.7071152,-0.005991779,-0.01212474,0.00486143,6.481987,-3.359558,0.7429156
0.7271156,-0.007442509,-0.01377889,0.006080991,7.357185,-4.215515,0.5991943
0.7471123,-0.008778844,-0.01551724,0.007477294,8.234441,-5.118896,0.4311029
0.7671127,-0.00941629,-0.01618266,0.008195261,8.619775,-5.606049,0.3395092
0.7871132,-0.01111119,-0.01757826,0.009316924,9.327553,-6.496033,0.2279183
0.8071136,-0.01256542,-0.01891608,0.01052584,9.958585,-7.398621,0.1884302
0.8271141,-0.013996,-0.02017329,0.01167897,10.55963,-8.268158,0.1667903
0.8471146,-0.0156508,-0.02131674,0.0124071,11.11137,-9.091064,0.1615281
0.867115,-0.01649263,-0.02187029,0.01279102,11.35465,-9.446991,0.1795063
0.8871155,-0.01800171,-0.02275093,0.01376056,11.82356,-10.15503,0.2526282
0.9071159,-0.01971135,-0.02364385,0.01449228,12.13544,-10.90634,0.3747191
0.9271126,-0.02152394,-0.02450464,0.01490326,12.481,-11.66119,0.4620229
0.947113,-0.02307961,-0.02530011,0.01541235,12.82255,-12.34375,0.5260788
0.9671135,-0.02379975,-0.02561331,0.01564052,12.96256,-12.67688,0.5270546
0.987114,-0.02551463,-0.0261128,0.01596161,13.18557,-13.30609,0.5080817
1.007114,-0.02704328,-0.02663617,0.016328,13.37361,-13.93158,0.4576761
1.027115,-0.02849172,-0.02717219,0.01675796,13.5641,-14.466,0.4158739
1.047115,-0.02964739,-0.02754913,0.01688225,13.71287,-14.95496,0.3561803
1.067116,-0.03022973,-0.0277308,0.01695046,13.77804,-15.15149,0.3421392
1.087112,-0.03107372,-0.02803769,0.01715817,13.89146,-15.46246,0.3394192
1.107113,-0.03159175,-0.02830645,0.01738869,13.97045,-15.64563,0.3704522
1.127113,-0.03196628,-0.02847875,0.01755016,14.0214,-15.70139,0.4131439
1.147114,-0.03200369,-0.02857378,0.01778867,14.06808,-15.61487,0.4769304
1.167114,-0.03233249,-0.02869828,0.01791902,14.09262,-15.51303,0.5128616
1.187115,-0.03210844,-0.02876325,0.01803895,14.13155,-15.28839,0.5872658
1.207115,-0.0316252,-0.02877228,0.01811665,14.12858,-15.0325,0.642332
1.227116,-0.03116278,-0.02879095,0.01817578,14.11767,-14.78812,0.6873255
1.247112,-0.03054873,-0.02877549,0.0182525,14.1083,-14.51556,0.6593279
1.267113,-0.03009187,-0.02873067,0.01830656,14.11065,-14.37299,0.6514673
1.287113,-0.02923202,-0.0287683,0.01841502,14.14447,-14.08038,0.6050928
1.307114,-0.02809975,-0.02874562,0.01858923,14.19049,-13.68124,0.5104917
1.327114,-0.02672417,-0.02872588,0.01887936,14.20978,-13.06528,0.4234913
1.347115,-0.02498766,-0.0287127,0.01916838,14.243,-12.36682,0.3088551
1.367115,-0.02399164,-0.02871542,0.0193992,14.22845,-11.90295,0.2589501
1.387115,-0.02153392,-0.02859586,0.01991088,14.18876,-10.7713,0.1438003
1.407116,-0.01832577,-0.02843243,0.02063813,14.11376,-9.22467,0.06690835
1.427113,-0.01462508,-0.02833569,0.02158224,14.08639,-7.407379,0.02639022
1.447113,-0.01044925,-0.02831566,0.02230544,14.07375,-5.35791,-0.01373291
1.467113,-0.008002441,-0.02824305,0.02277165,14.02582,-4.126099,-0.02337646
1.487114,-0.002268911,-0.02810337,0.02394014,13.99461,-1.412842,0.006295765
1.507114,0.003302288,-0.02835293,0.02448836,14.0451,1.394849,0.217617
1.527115,0.008823927,-0.02856261,0.02475494,14.13783,4.10181,0.4332758
1.547115,0.01500859,-0.02881395,0.02584216,14.25768,6.817797,0.611812
1.567116,0.01797285,-0.02900496,0.02622682,14.31874,8.124503,0.6770408
1.587112,0.02320133,-0.02950387,0.02598595,14.51643,10.56127,0.8409643
1.607113,0.02816302,-0.02990585,0.02584535,14.73553,12.71657,0.9924811
1.627113,0.0328187,-0.03031031,0.02570846,14.89052,14.66768,1.139954
1.647114,0.03683343,-0.03071545,0.02535727,15.05997,16.27731,1.186451
1.667114,0.03861481,-0.03099717,0.02513018,15.15565,16.99425,1.200948
1.687115,0.04179022,-0.03159241,0.02458215,15.41258,18.27984,1.158214
1.707115,0.04462786,-0.03211085,0.02410256,15.70199,19.27259,1.063578
1.727116,0.04704856,-0.03254932,0.02390363,15.90101,20.04889,0.9550819
1.747112,0.04803559,-0.03269539,0.02359347,15.9978,20.39456,0.8828255
1.767113,0.04953188,-0.03303915,0.02282031,16.13107,20.87065,0.6945733
1.787113,0.050224,-0.03319485,0.02271236,16.17978,21.0149,0.5987197
1.807114,0.05183708,-0.03352146,0.02252322,16.24715,21.34184,0.252557
1.827114,0.05246329,-0.03361091,0.02244074,16.26897,21.35293,-0.05935669
1.847115,0.05268586,-0.03363574,0.02253854,16.24915,21.28966,-0.2486572
1.867115,0.05289524,-0.03362982,0.02271316,16.21445,21.07915,-0.6625366
1.887115,0.05327624,-0.03364101,0.02276461,16.1255,20.80019,-1.116089
1.907116,0.05303877,-0.03337691,0.02290832,15.96711,20.46568,-1.569305
1.927113,0.05281247,-0.03300924,0.02303457,15.7465,20.19423,-1.942596
1.947113,0.0526582,-0.03277187,0.02303264,15.64211,20.04755,-2.095215
1.967113,0.0522095,-0.03239015,0.02289553,15.46758,19.73243,-2.333374
1.987114,0.05145542,-0.03199098,0.02267352,15.29635,19.37069,-2.500977
2.007114,0.05094221,-0.03144378,0.02264322,15.05445,19.05797,-2.584808
2.027115,0.05027252,-0.03089311,0.02261909,14.80193,18.71779,-2.540771
2.047115,0.04986082,-0.03063391,0.02259901,14.67777,18.53039,-2.516388
2.067116,0.0488945,-0.03013814,0.02257982,14.44879,18.09488,-2.495056
2.087112,0.04784639,-0.02970489,0.02253472,14.22088,17.60666,-2.512878
2.107113,0.04680923,-0.02924804,0.02258879,13.9746,17.12883,-2.531921
2.127113,0.04570387,-0.02883228,0.02264128,13.74627,16.65499,-2.580627
2.147114,0.04513745,-0.02860991,0.0225961,13.65012,16.41219,-2.642517
2.167114,0.04410762,-0.02821263,0.02257362,13.46742,15.95698,-2.798615
2.187115,0.0432394,-0.02791235,0.02256141,13.32742,15.53898,-3.004852
2.207115,0.04259044,-0.02764831,0.02256176,13.23639,15.17924,-3.185974
2.227116,0.04209643,-0.02736788,0.02256004,13.15362,14.86013,-3.353668
2.247112,0.04181125,-0.02728754,0.02254845,13.11031,14.72232,-3.433533
2.267113,0.04137402,-0.02719726,0.02244436,13.07608,14.43344,-3.56604
2.287113,0.04103304,-0.02704444,0.02233766,13.04513,14.1982,-3.69873
2.307114,0.04066587,-0.02691696,0.02231521,13.01211,14.06787,-3.813843
2.327114,0.04060359,-0.02692758,0.02231671,13.02629,13.96143,-3.877045
2.347115,0.04064798,-0.02700293,0.02232417,13.05411,13.91575,-3.895905
2.367115,0.04072919,-0.02715252,0.02235937,13.11294,13.85083,-3.932465
2.387115,0.04085294,-0.02729329,0.02243172,13.20115,13.77619,-3.997681
2.407116,0.04103233,-0.02748685,0.02250374,13.27844,13.7113,-4.080994
2.427113,0.04129928,-0.02754003,0.02257351,13.26577,13.70972,-4.140839
2.447113,0.04146098,-0.02751123,0.02262832,13.23231,13.72524,-4.171356
2.467113,0.04175161,-0.02751272,0.02267767,13.20788,13.73403,-4.226929
2.487114,0.04207648,-0.02748227,0.02265205,13.1823,13.75291,-4.314148
2.507114,0.04235184,-0.02741946,0.02258032,13.14377,13.74498,-4.428558
2.527115,0.04258729,-0.02729956,0.02246778,13.08799,13.70697,-4.544342
2.547115,0.04267771,-0.02722005,0.0223726,13.05885,13.67651,-4.614746
2.567116,0.04280813,-0.02708579,0.02219361,13.00445,13.61261,-4.752441
2.587112,0.04288922,-0.02694595,0.02201768,12.9269,13.54298,-4.881592
2.607113,0.04298746,-0.02679141,0.02183326,12.86467,13.50843,-4.967468
2.627113,0.04301645,-0.02674095,0.02175066,12.85266,13.5094,-4.987549
2.647114,0.04309257,-0.02670727,0.02162217,12.85539,13.50056,-5.034424
2.667114,0.04314556,-0.02678625,0.02157445,12.91966,13.52547,-5.036102
2.687115,0.04317676,-0.02702251,0.0216248,13.0754,13.54962,-5.020691
2.707115,0.04316853,-0.02747206,0.02178129,13.33117,13.55149,-4.967316
2.727116,0.04316144,-0.02773469,0.02187939,13.48768,13.53647,-4.946899
2.747112,0.04304165,-0.02892062,0.02236288,13.91411,13.47659,-4.905762
2.767113,0.042953,-0.02995762,0.02287287,14.46012,13.35158,-4.972656
2.787113,0.04288129,-0.03119347,0.02350971,15.06577,13.1738,-5.201782
2.807114,0.04284771,-0.03229423,0.02420017,15.6301,13.00412,-5.447418
2.827114,0.04288629,-0.03282304,0.0245332,15.89538,12.88667,-5.56485
