time,posX,posY,posZ,rotX,rotY,rotZ
0.009523392,-0.002296217,0.001043129,-0.002209344,0.09405869,-0.01669312,0.5218494
0.02952385,-0.002327132,0.001009837,-0.002195824,0.1017787,-0.002020465,0.5228503
0.04952431,-0.002338767,0.0009794391,-0.002188109,0.1064101,-0.0005560556,0.5279474
0.06952286,-0.002355455,0.0009880139,-0.002180738,0.1204398,0.008455458,0.5340725
0.08952332,-0.002360493,0.0009966833,-0.002169234,0.1124522,0.01104209,0.534119
0.1095238,-0.002349596,0.0009991588,-0.002132468,0.0951173,0.01363495,0.5489627
0.1295242,-0.002354492,0.001012185,-0.002112061,0.08609354,0.01397844,0.5571485
0.1495228,-0.002349459,0.0009829472,-0.00211467,0.07352215,0.005418521,0.5739462
0.1695232,-0.002316299,0.0009196551,-0.002158454,0.08136939,-0.00894165,0.5772005
0.1895237,-0.002286554,0.0009195696,-0.002141669,0.07776336,-0.009216309,0.5602856
0.2095242,-0.002277896,0.0009206891,-0.002131578,0.07660877,-0.007904053,0.5388313
0.2295246,-0.002266007,0.0009239977,-0.002105432,0.0942841,0.003969243,0.5018508
0.2495232,-0.002264924,0.0009284318,-0.002080648,0.1198781,0.01937439,0.5018125
0.2695236,-0.002247982,0.0009076619,-0.002075656,0.1366688,0.02538253,0.5221987
0.2895241,-0.002235249,0.000889701,-0.002073858,0.1359267,0.03131191,0.5312267
0.3095245,-0.002211019,0.0008581294,-0.002068997,0.1196197,0.04487097,0.5496991
0.3295231,-0.002192355,0.0008481038,-0.002053772,0.1066928,0.04391783,0.5575208
0.3495235,-0.002193272,0.000838441,-0.002028714,0.09659252,0.05358193,0.5643345
0.369524,-0.002190154,0.000838237,-0.002009751,0.09966355,0.04289941,0.5589207
0.3895245,-0.002199274,0.0008464047,-0.001997499,0.110157,0.04363486,0.5543445
0.409523,-0.002208981,0.000828928,-0.001977872,0.1250899,0.03416828,0.5612781
0.4295235,-0.002228342,0.0008254286,-0.001979726,0.1494887,0.03041791,0.550967
0.4495239,-0.002253544,0.0008035564,-0.001970501,0.1493212,0.02884348,0.5630654
0.4695244,-0.002264976,0.0008057734,-0.001949906,0.1242939,0.01822294,0.5774436
0.4895229,-0.002270941,0.0008019664,-0.001940236,0.1200936,0.01574135,0.5724002
0.5095234,-0.002296817,0.0007872717,-0.001913422,0.1085698,0.0215379,0.5587884
0.5295238,-0.002319157,0.0007905889,-0.00189815,0.1231209,0.02180765,0.5585052
0.5495243,-0.002345017,0.0008219822,-0.001887796,0.1225484,0.01462828,0.5665033
0.5695229,-0.002380188,0.000906147,-0.001936783,0.07558212,-0.01400757,0.5690095
0.5895233,-0.002405219,0.0009822667,-0.00196101,-0.007141113,-0.05953979,0.5503095
0.6095238,-0.002566497,0.001331665,-0.00197863,-0.2834778,-0.2042236,0.4745684
0.6295242,-0.002848353,0.001879463,-0.002047159,-0.6359558,-0.4413757,0.4032133
0.6495228,-0.003438745,0.002727951,-0.002331093,-1.048676,-0.7843933,0.3067745
0.6695232,-0.003741082,0.003132706,-0.002425468,-1.293243,-1.003448,0.2565702
0.6895237,-0.004307631,0.003962658,-0.002730278,-1.777405,-1.468964,0.1525939
0.7095242,-0.005007099,0.005044539,-0.003117197,-2.397308,-1.983276,0.03169668
0.7295246,-0.005657468,0.006058042,-0.003672893,-3.015533,-2.504608,-0.04003906
0.7495232,-0.006312572,0.007065678,-0.004339353,-3.601501,-3.008636,-0.09835815
0.7695236,-0.006828364,0.008221901,-0.004762123,-4.251892,-3.465088,-0.158783
