time,posX,posY,posZ,rotX,rotY,rotZ
0.01873016,-0.6827918,-0.5597219,0.7101462,0.2716505,0.03311038,-1.503448
0.03872681,-0.6826965,-0.5596887,0.7100823,0.2411852,0.06474312,-1.519531
0.05873108,-0.6826198,-0.5597385,0.7100037,0.2175985,0.08983546,-1.510803
0.07872772,-0.6825088,-0.5597331,0.7099469,0.2138477,0.1016676,-1.522491
0.09872437,-0.6824638,-0.5597038,0.7099308,0.1984221,0.1190842,-1.545685
0.1187286,-0.6823829,-0.5596222,0.7098906,0.2099329,0.1530009,-1.586151
0.1387253,-0.6823199,-0.5595635,0.70985,0.2003918,0.1615103,-1.592255
0.1587296,-0.6822508,-0.559521,0.7098014,0.1884742,0.1669712,-1.596191
0.1787262,-0.682208,-0.5595416,0.7097576,0.1606921,0.1679313,-1.602753
0.1987305,-0.682197,-0.5595495,0.7097391,0.1439479,0.1716332,-1.604736
0.2187271,-0.6821558,-0.5595317,0.70973,0.09983277,0.1648422,-1.608337
0.2387238,-0.6821314,-0.5595132,0.7097376,0.07486654,0.1666276,-1.619781
0.258728,-0.6821228,-0.5594615,0.7097523,0.05626249,0.1622053,-1.625275
0.2787247,-0.6821268,-0.5594302,0.7097754,0.05105824,0.1625359,-1.633087
0.2987289,-0.6821283,-0.5593925,0.7098175,0.04960934,0.1635094,-1.634552
0.3187256,-0.682117,-0.5594694,0.7098644,0.06015615,0.151018,-1.632324
0.3387299,-0.6821309,-0.5595576,0.7099319,0.07134786,0.1526654,-1.602997
0.3587265,-0.6821523,-0.5596088,0.7099983,0.09077194,0.1608314,-1.612823
0.3787308,-0.6821706,-0.559652,0.7100822,0.09791156,0.1725482,-1.628754
0.3987274,-0.6821758,-0.5596545,0.7101283,0.09865887,0.1733012,-1.625519
0.4187241,-0.6821983,-0.5596515,0.7102138,0.1048027,0.1815182,-1.605499
0.4387283,-0.682216,-0.5596769,0.7102755,0.1331017,0.180605,-1.585297
0.458725,-0.6822371,-0.5597793,0.7103305,0.1740418,0.184779,-1.58136
0.4787292,-0.6822487,-0.5598357,0.7103857,0.1900168,0.1795149,-1.58429
0.4987259,-0.6822596,-0.559848,0.7104225,0.1878017,0.1803052,-1.594604
0.5187302,-0.6822677,-0.5598859,0.7104679,0.1972799,0.1725546,-1.602478
0.5387268,-0.6822809,-0.5599208,0.7104911,0.2174118,0.1697098,-1.610474
