time,posX,posY,posZ,rotX,rotY,rotZ
0.01815033,-0.0006204294,-0.0005394802,-0.00135669,-0.4303589,0.1855339,0.38423
0.03814888,-0.0006136885,-0.000490352,-0.001346678,-0.4444885,0.1910165,0.3951266
0.05814934,-0.0006345287,-0.0004865399,-0.001362906,-0.4451294,0.1774761,0.4097086
0.0781498,-0.0006493814,-0.00051779,-0.001363419,-0.4465942,0.1707816,0.4209343
0.09815025,-0.000670325,-0.0005484076,-0.001359516,-0.4458923,0.1574963,0.4206668
0.1181488,-0.0006904379,-0.0005302283,-0.001353462,-0.4480896,0.1371039,0.4150909
0.1381493,-0.00071631,-0.0004964028,-0.001336235,-0.4429626,0.1375441,0.3789096
0.1581497,-0.0007380256,-0.0004467063,-0.001325478,-0.4351807,0.1365804,0.3624423
0.1781502,-0.0007483251,-0.0004330966,-0.00132618,-0.4295044,0.1368338,0.3727861
0.1981487,-0.0007516379,-0.0004158586,-0.001331772,-0.4272766,0.1332307,0.396689
0.2181492,-0.000752735,-0.0004290152,-0.001330871,-0.4465942,0.1402566,0.4118527
0.2381496,-0.0007514544,-0.0004264411,-0.001323309,-0.4666138,0.1460461,0.4181726
0.2581501,-0.0007455861,-0.0004303056,-0.001313707,-0.478363,0.1479814,0.427436
0.2781487,-0.0007551974,-0.0004134299,-0.001295898,-0.4863586,0.1551439,0.4276254
0.2981491,-0.0007668482,-0.0004020301,-0.001283051,-0.4845276,0.1560453,0.4243482
0.3181496,-0.0007609315,-0.0003917978,-0.001277519,-0.4695435,0.1564606,0.4155732
0.33815,-0.0007487535,-0.0003760651,-0.001270023,-0.4541931,0.152628,0.4128646
0.3581505,-0.000746551,-0.000391338,-0.001266464,-0.4536743,0.1556207,0.4061751
0.378149,-0.0007299604,-0.0004305837,-0.001260049,-0.4494629,0.1497958,0.4103395
0.3981495,-0.0007259371,-0.0004525984,-0.001231023,-0.4613342,0.1495423,0.4208705
0.4181499,-0.0007276284,-0.0004752815,-0.001206159,-0.4539185,0.1560902,0.3916713
0.4381504,-0.0007271962,-0.0005095701,-0.001165569,-0.421875,0.1519752,0.3900531
0.458149,-0.000736203,-0.0005396057,-0.001142974,-0.3999023,0.1460216,0.3932381
