time,posX,posY,posZ,rotX,rotY,rotZ
0.008033752,-0.002874295,0.0008949541,-0.0008731842,0.1694265,0.1188228,0.9905571
0.02803421,-0.002893911,0.0008980199,-0.0008512562,0.1716404,0.1112325,0.9824008
0.04803467,-0.002916683,0.0008894273,-0.0008324774,0.1760808,0.1061118,0.9909112
0.06803322,-0.002911773,0.0008972936,-0.0008244312,0.1684686,0.0980622,0.9977193
0.08803368,-0.002912215,0.0009187324,-0.0008138385,0.1532255,0.08609705,1.007127
0.1080341,-0.002913904,0.000943669,-0.0008261648,0.15193,0.07509017,1.033177
0.1280346,-0.002909977,0.0009349386,-0.0008340808,0.149267,0.06494875,1.034009
0.148035,-0.002886832,0.0009184197,-0.0008376356,0.136288,0.05733687,1.032043
0.1680336,-0.002881599,0.0009664423,-0.0008193089,0.1244551,0.06352556,0.9800193
0.1880341,-0.002857693,0.0009998141,-0.0008110574,0.1317611,0.08477885,0.9297472
0.2080345,-0.002834898,0.001021391,-0.0008222013,0.1457205,0.08827006,0.9336975
0.228035,-0.002810518,0.001031852,-0.000851676,0.1598001,0.1011426,0.9468908
0.2480335,-0.002802619,0.001042508,-0.0008810238,0.1569314,0.1203918,0.9677596
0.268034,-0.002777326,0.001051961,-0.0008865421,0.1385912,0.1350167,0.9834887
0.2880344,-0.002770328,0.001041975,-0.0008693287,0.1000161,0.1365565,0.9962799
0.3080349,-0.002782412,0.001046477,-0.000855731,0.07322089,0.1274144,0.9972898
0.3280334,-0.00281499,0.001119966,-0.0008069312,-0.006378174,0.09415594,0.991047
0.3480339,-0.002979343,0.001466145,-0.0006785107,-0.2476196,-0.0362854,0.9716227
0.3680344,-0.003303301,0.002038065,-0.0005256373,-0.612854,-0.2480164,0.9292482
0.3880348,-0.004077278,0.003441965,-0.0003329044,-1.26297,-0.6061707,0.8269041
0.4080334,-0.004427262,0.003947284,-0.0003524156,-1.605438,-0.8542175,0.7767962
0.4280338,-0.005109441,0.004925518,-0.0004728964,-2.342987,-1.380188,0.7306232
0.4480343,-0.005846505,0.006182324,-0.0006139961,-3.12085,-1.935486,0.683853
0.4680347,-0.00664711,0.007457941,-0.001074926,-3.920685,-2.499847,0.6586259
0.4880333,-0.007106617,0.008131521,-0.001290363,-4.322693,-2.762299,0.6546205
0.5080338,-0.007854573,0.009602749,-0.001740928,-5.165771,-3.264191,0.6464025
0.5280342,-0.008515794,0.01114134,-0.002171597,-6.0784,-3.75415,0.6525197
0.5480347,-0.009401939,0.01267363,-0.003084615,-7.011169,-4.255554,0.6078916
0.5680332,-0.0100034,0.01408256,-0.003808362,-7.924744,-4.746857,0.5941013
0.5880337,-0.01028373,0.01490892,-0.004071096,-8.429962,-4.969666,0.5821159
0.6080341,-0.01099191,0.01657839,-0.005125851,-9.447601,-5.518097,0.5869914
0.6280346,-0.01189706,0.01800536,-0.006339835,-10.40402,-6.065247,0.6333535
0.6480331,-0.01271202,0.01942009,-0.007248483,-11.30701,-6.623566,0.7500312
0.6680336,-0.01357357,0.0206658,-0.008288234,-12.10828,-7.245636,0.9703619
0.6880341,-0.01411709,0.02123139,-0.008982689,-12.45056,-7.606293,1.140497
0.7080345,-0.01523789,0.0223218,-0.01014987,-13.12515,-8.259674,1.455337
0.728035,-0.01617791,0.0230284,-0.01105798,-13.63925,-8.940002,1.873451
