time,posX,posY,posZ,rotX,rotY,rotZ
0.003437042,-0.002211321,-0.00177338,0.0005731696,0.1133331,-0.1886902,1.144619
0.0234375,-0.002227274,-0.001780946,0.0006043711,0.1206405,-0.1862183,1.153961
0.04343796,-0.002233907,-0.001780028,0.000621139,0.123249,-0.1820068,1.160433
0.06343842,-0.002231572,-0.001775449,0.000631849,0.1234877,-0.1731567,1.165704
0.08343887,-0.002223805,-0.001766972,0.0006159457,0.1213935,-0.1665344,1.163052
0.1034393,-0.002222321,-0.00176779,0.0006010429,0.10953,-0.1584778,1.160189
0.1234398,-0.002209906,-0.00174877,0.0005794296,0.09292095,-0.1563721,1.154615
0.1434364,-0.002203933,-0.001727221,0.0005655778,0.08839002,-0.1565552,1.151263
0.1634369,-0.002180825,-0.001700831,0.0005457231,0.07180275,-0.1568298,1.148212
0.1834373,-0.002131388,-0.00167004,0.00051794,0.06355052,-0.1625671,1.144141
0.2034378,-0.002096944,-0.001649946,0.0004978719,0.05341455,-0.1704102,1.13424
0.2234383,-0.002064872,-0.001648035,0.0004726262,0.0520387,-0.1711426,1.116299
0.2434387,-0.002042961,-0.001646135,0.0004535542,0.05126903,-0.1699524,1.107962
0.2634392,-0.002002255,-0.001655641,0.0004355909,0.04886556,-0.1672668,1.102251
0.2834396,-0.001981492,-0.001660278,0.0004344453,0.04948809,-0.1568298,1.101764
0.3034363,-0.001954846,-0.001658569,0.0004574116,0.05094851,-0.1480408,1.111609
0.3234367,-0.001955517,-0.00165549,0.0004953668,0.04328888,-0.1321106,1.122901
0.3434372,-0.001956061,-0.00164452,0.000501671,0.0416743,-0.1308289,1.125775
0.3634377,-0.001964673,-0.00165709,0.0004922455,0.04415463,-0.1333008,1.136679
0.3834381,-0.001986449,-0.001684663,0.0004684846,0.04712702,-0.1348572,1.151748
0.4034386,-0.002000433,-0.001717367,0.0004817089,0.05541665,-0.1499634,1.14654
0.423439,-0.002002444,-0.001731894,0.0005231065,0.05303118,-0.1557922,1.124949
0.4434395,-0.001999713,-0.001736405,0.000538715,0.0650549,-0.1552734,1.100992
0.4634399,-0.002010605,-0.001737649,0.0005464074,0.09893864,-0.1552429,1.067436
0.4834366,-0.002034087,-0.001735756,0.000547762,0.1117517,-0.1573486,1.084055
0.503437,-0.002038985,-0.001734004,0.000526362,0.1182075,-0.1573486,1.123852
0.5234375,-0.002054273,-0.001750416,0.0005147449,0.0962534,-0.15625,1.147067
0.543438,-0.0020618,-0.001749988,0.0005118193,0.09267748,-0.1567383,1.160502
0.5634384,-0.002072667,-0.001764848,0.0005194057,0.07368445,-0.1607666,1.17147
0.5834389,-0.002081506,-0.001799287,0.00053362,0.09662607,-0.1813965,1.172818
0.6034393,-0.002139386,-0.001861364,0.0005463744,0.1547726,-0.2176819,1.189879
0.6234398,-0.002233513,-0.001988292,0.0005698922,0.2505416,-0.2858887,1.26271
0.6434364,-0.00233176,-0.002093993,0.0005844117,0.3209287,-0.3290405,1.330235
0.6634369,-0.002583276,-0.002393815,0.0006103879,0.4975341,-0.4650879,1.505737
0.6834373,-0.002928361,-0.002746908,0.0006621812,0.7249179,-0.6397705,1.675321
