InteractionNumber,ElapsedTime,SplitTime
0,1.715729,1.715729
1,3.420151,1.704422
2,4.990631,1.57048
3,6.226294,1.235662
4,7.496954,1.27066
5,8.790682,1.293728
6,10.16728,1.376602
7,11.48423,1.316948
8,12.72018,1.23595
9,13.64524,0.9250565
10,14.99335,1.34811
11,16.25058,1.257233
12,17.48733,1.236752
13,18.99095,1.503613
14,20.18261,1.191666
15,21.44121,1.258602
16,22.77789,1.336674
17,24.01424,1.236355
18,25.55131,1.537067
19,26.74393,1.192619
20,27.96832,1.224392
21,29.42648,1.458157
22,31.73279,2.306313
23,33.08022,1.347433
24,34.02773,0.9475098
25,35.16354,1.135803
26,36.34351,1.179977
27,37.52464,1.181129
28,38.81677,1.29213
29,43.63893,4.822159
30,44.9424,1.303467
31,46.40162,1.459221
32,47.92762,1.526001
33,49.15285,1.225227
34,50.37621,1.223366
35,51.50173,1.125519
36,52.66138,1.159653
37,54.21853,1.557144
38,55.31157,1.09304
39,56.81561,1.504044
