InteractionNumber,ElapsedTime,SplitTime
0,2.662628,2.662628
1,4.9291,2.266472
2,6.43972,1.51062
3,10.49255,4.05283
4,12.90935,2.416798
5,15.03645,2.127102
6,16.91899,1.882538
7,18.53356,1.614571
8,20.42738,1.893822
9,21.74134,1.313957
10,24.33617,2.594833
11,26.24215,1.905975
12,27.74527,1.503128
13,29.72514,1.979862
14,31.29655,1.571419
15,32.87941,1.582851
16,34.57143,1.692024
17,36.91207,2.340637
18,39.54148,2.629414
19,41.07647,1.534988
20,42.96928,1.892815
21,44.58517,1.615883
22,46.5459,1.960732
23,49.02954,2.483643
24,50.68858,1.659042
25,52.53763,1.849045
26,54.10796,1.570328
27,56.15736,2.0494
28,58.48336,2.326004
29,61.9826,3.499237
30,63.78645,1.803856
31,66.15941,2.372955
32,68.12055,1.961143
33,70.0891,1.968552
34,72.39539,2.30629
35,74.03344,1.638046
36,75.32535,1.291908
37,77.37532,2.049973
38,79.5581,2.182777
39,81.46325,1.905151
