InteractionNumber,ElapsedTime,SplitTime
0,4.065018,4.065018
1,8.943382,4.878365
2,14.03325,5.089863
3,17.72027,3.687027
4,19.18922,1.468948
5,20.83756,1.648338
6,25.74994,4.912384
7,27.1419,1.39196
8,29.70382,2.56192
9,31.51921,1.815392
10,34.86058,3.34137
11,37.29937,2.438789
12,39.14986,1.850487
13,42.03381,2.883949
14,45.107,3.073189
15,45.98675,0.8797531
16,50.18666,4.199913
17,53.24944,3.062775
18,54.8302,1.580757
19,56.04407,1.213875
20,58.5505,2.506432
21,62.40602,3.855515
22,64.63177,2.225758
23,67.6506,3.018829
24,69.77747,2.126862
25,75.78075,6.003281
26,79.34428,3.563538
27,82.08559,2.741302
28,84.52396,2.43837
29,86.55154,2.027588
30,89.50293,2.951385
31,92.65474,3.15181
32,99.17039,6.515656
33,103.9375,4.767151
34,106.3097,2.372162
35,111.0994,4.789688
36,113.5162,2.416824
37,116.8695,3.353302
38,118.6402,1.770645
39,122.9717,4.331543
