InteractionNumber,ElapsedTime,SplitTime
0,4.99048,4.99048
1,8.477343,3.486862
2,11.68442,3.207081
3,15.72799,4.043564
4,18.22236,2.494373
5,20.12811,1.905746
6,22.73422,2.606117
7,25.9071,3.172878
8,28.5568,2.6497
9,29.69517,1.138367
10,33.31379,3.61862
11,35.39369,2.079903
12,39.37254,3.978851
13,41.1735,1.800957
14,44.11742,2.943916
15,46.15549,2.038078
16,48.91805,2.76255
17,53.03607,4.118027
18,57.63922,4.603149
19,59.7124,2.073181
20,62.97478,3.262375
21,65.09037,2.115593
22,68.91111,3.82074
23,72.2485,3.337387
24,73.78767,1.539177
25,76.01619,2.228516
26,77.84301,1.82682
27,80.60521,2.762199
28,83.86877,3.263557
29,86.77563,2.90686
30,89.2926,2.516975
31,92.06602,2.773422
32,95.63059,3.564568
33,98.71581,3.08522
34,101.8341,3.118256
35,104.787,2.952896
36,107.904,3.11705
37,111.1456,3.241577
38,112.8939,1.748306
39,115.2322,2.338287
