InteractionNumber,ElapsedTime,SplitTime
0,3.219719,3.219719
1,4.844818,1.625099
2,6.170059,1.325241
3,7.473534,1.303474
4,8.686874,1.213341
5,9.600845,0.9139709
6,10.94147,1.34063
7,11.82764,0.8861618
8,12.9212,1.093567
9,13.84451,0.9233093
10,15.35872,1.514206
11,16.68384,1.325119
12,17.79823,1.114395
13,19.27008,1.471848
14,20.79428,1.5242
15,21.73701,0.9427338
16,22.90947,1.172455
17,24.09174,1.182266
18,25.11613,1.024399
19,26.15189,1.035751
20,27.2545,1.102615
21,28.63582,1.381317
22,30.01671,1.38089
23,31.4084,1.391693
24,32.47833,1.069931
25,33.60301,1.12468
26,34.79448,1.191467
27,36.10838,1.313904
28,37.51216,1.403778
29,40.5528,3.040634
30,42.63606,2.083267
31,44.1396,1.50354
32,45.48698,1.347382
33,46.76852,1.28154
34,48.41647,1.647949
35,49.86188,1.445404
36,51.11134,1.249466
37,52.67081,1.559464
38,53.95161,1.280807
39,55.18759,1.235977
