InteractionNumber,ElapsedTime,SplitTime
0,3.879332,3.879332
1,11.577,7.697664
2,16.20925,4.632256
3,18.11464,1.905384
4,30.54271,12.42807
5,33.27237,2.72966
6,39.72133,6.448963
7,42.2316,2.510269
8,45.23293,3.001328
9,47.09306,1.86013
10,49.67775,2.584686
11,53.09819,3.420448
12,57.83971,4.741516
13,59.64618,1.806473
14,64.16872,4.522533
15,66.03935,1.870636
16,69.59268,3.553329
17,73.32483,3.732147
18,76.82072,3.495895
19,78.36905,1.548325
20,80.65282,2.283768
21,82.90244,2.249619
22,86.06436,3.161926
23,88.48247,2.418106
24,90.01993,1.53746
25,93.32759,3.307663
26,96.64717,3.31958
27,99.28639,2.639221
28,102.0486,2.762161
29,103.8853,1.836731
30,107.5512,3.665909
31,110.3689,2.817719
32,113.2311,2.862183
33,116.3724,3.141327
34,120.5914,4.218933
35,126.5177,5.926331
36,130.4827,3.965057
37,133.4234,2.940704
38,136.5309,3.107437
39,139.5385,3.007568
