InteractionNumber,ElapsedTime,SplitTime
0,3.363371,3.363371
1,8.797401,5.434031
2,11.62071,2.823309
3,14.90861,3.287903
4,17.6185,2.709885
5,21.0046,3.386105
6,24.13261,3.12801
7,28.50041,4.367794
8,31.15088,2.650478
9,32.59875,1.44787
10,35.9406,3.341843
11,38.54826,2.607666
12,42.41103,3.86277
13,44.94974,2.538704
14,47.7598,2.810066
15,49.14954,1.389732
16,52.06978,2.920242
17,57.04261,4.972832
18,60.53439,3.491783
19,61.89162,1.357224
20,63.86346,1.97184
21,66.45749,2.594032
22,68.96238,2.50489
23,71.58223,2.61985
24,73.95383,2.371605
25,79.3784,5.424568
26,82.32664,2.948235
27,85.06969,2.743057
28,88.03188,2.962181
29,89.99278,1.960907
30,92.07668,2.0839
31,94.85938,2.782692
32,98.29012,3.430748
33,101.176,2.88588
34,105.195,4.01899
35,106.6769,1.481888
36,108.5584,1.881561
37,111.9638,3.405334
38,113.3483,1.384567
39,116.3468,2.998444
