InteractionNumber,ElapsedTime,SplitTime
0,4.210278,4.210278
1,7.017822,2.807545
2,8.666279,1.648457
3,12.15093,3.484653
4,14.04525,1.894314
5,15.58236,1.537109
6,17.56438,1.982029
7,19.81438,2.25
8,22.16611,2.35173
9,23.25586,1.089741
10,25.9292,2.67334
11,27.98931,2.060112
12,30.21701,2.227707
13,32.26709,2.050079
14,34.27153,2.00444
15,35.87509,1.603554
16,37.62407,1.748978
17,39.5277,1.903633
18,41.08866,1.560959
19,42.62622,1.537567
20,44.71851,2.092285
21,46.1553,1.43679
22,48.90667,2.751373
23,50.64373,1.737061
24,52.86049,2.216759
25,54.36367,1.503174
26,55.96833,1.60466
27,57.58242,1.614098
28,59.778,2.19558
29,67.09166,7.313656
30,68.63124,1.539581
31,70.22415,1.592911
32,71.99655,1.7724
33,74.00008,2.003525
34,77.08575,3.085678
35,79.03416,1.94841
36,81.29617,2.262009
37,83.5787,2.282532
38,85.09337,1.514664
39,87.15401,2.060638
