date,time,posX,posY,posZ,rotX,rotY,rotZ
2024/07/09_14:22:36,0.01464844,0.02018426,-0.0205339,0.01492785,-0.1118469,2.671481,-1.361115
2024/07/09_14:22:36,0.03466797,0.02017342,-0.02054597,0.01491118,-0.1255493,2.676784,-1.352814
2024/07/09_14:22:36,0.0546875,0.02016977,-0.0205441,0.0149007,-0.1269226,2.681383,-1.349792
2024/07/09_14:22:36,0.07470703,0.02017004,-0.02053892,0.01488272,-0.1205444,2.684242,-1.338287
2024/07/09_14:22:36,0.09472656,0.02015739,-0.02057368,0.01490174,-0.1161194,2.688342,-1.333313
2024/07/09_14:22:36,0.114502,0.02016221,-0.02055961,0.01490192,-0.118042,2.682713,-1.336182
2024/07/09_14:22:36,0.1345215,0.02015868,-0.02053017,0.01490676,-0.1280212,2.689992,-1.341064
2024/07/09_14:22:36,0.154541,0.02015319,-0.02053175,0.01490624,-0.1300354,2.688567,-1.341522
2024/07/09_14:22:36,0.1745605,0.02014368,-0.02052797,0.01490688,-0.1286011,2.689,-1.34491
2024/07/09_14:22:36,0.1945801,0.02015048,-0.02053681,0.01492263,-0.1280212,2.689465,-1.349213
2024/07/09_14:22:36,0.2145996,0.02016785,-0.02054843,0.01494884,-0.1280823,2.695865,-1.345123
2024/07/09_14:22:36,0.2346191,0.02018328,-0.02055679,0.01496987,-0.1184082,2.702201,-1.353027
2024/07/09_14:22:36,0.2546387,0.02019067,-0.02057142,0.01498451,-0.1134033,2.707549,-1.355225
2024/07/09_14:22:36,0.2746582,0.02020893,-0.02059322,0.01500119,-0.09866333,2.710827,-1.352386
2024/07/09_14:22:36,0.2946777,0.02021077,-0.02063105,0.01500673,-0.08953857,2.718872,-1.354492
2024/07/09_14:22:36,0.3146973,0.02022409,-0.020647,0.01501016,-0.08990479,2.722145,-1.344818
2024/07/09_14:22:36,0.3347168,0.02022992,-0.02065247,0.01501658,-0.07446289,2.72464,-1.345093
2024/07/09_14:22:36,0.3544922,0.02023695,-0.02066666,0.01502011,-0.06985474,2.72106,-1.343964
2024/07/09_14:22:36,0.3745117,0.02022933,-0.0206757,0.01503062,-0.07180786,2.719885,-1.341431
2024/07/09_14:22:36,0.3945313,0.02021414,-0.0206103,0.01503533,-0.1111755,2.710757,-1.344452
2024/07/09_14:22:36,0.4145508,0.02018156,-0.02060072,0.01500779,-0.1171875,2.698149,-1.348083
2024/07/09_14:22:36,0.4345703,0.02014383,-0.02059623,0.01496357,-0.1236572,2.686754,-1.343384
2024/07/09_14:22:36,0.4545898,0.02013025,-0.02057631,0.01494481,-0.1335144,2.684464,-1.342926
2024/07/09_14:22:36,0.4746094,0.02011529,-0.02053176,0.01490806,-0.1591797,2.675678,-1.340515
2024/07/09_14:22:36,0.4946289,0.02009493,-0.02046868,0.01487617,-0.1760559,2.684807,-1.344604
2024/07/09_14:22:36,0.5146484,0.02008057,-0.02039882,0.01481634,-0.1843872,2.684725,-1.373779
2024/07/09_14:22:36,0.534668,0.02006074,-0.02031999,0.01474211,-0.2026672,2.692967,-1.354767
2024/07/09_14:22:36,0.5546875,0.0200372,-0.02026876,0.01470628,-0.2192383,2.694673,-1.337494
2024/07/09_14:22:36,0.574707,0.01997991,-0.02017441,0.01463001,-0.2483215,2.694368,-1.314331
2024/07/09_14:22:36,0.5947266,0.01993296,-0.02008753,0.01456587,-0.2938843,2.67337,-1.296509
2024/07/09_14:22:36,0.614502,0.01989226,-0.01999391,0.01453185,-0.3267517,2.652685,-1.296204
2024/07/09_14:22:36,0.6345215,0.01985381,-0.01993238,0.01451896,-0.3607483,2.626259,-1.285278
