date,time,posX,posY,posZ,rotX,rotY,rotZ
2024/07/09_13:55:09,0.01251221,0.003237706,-0.02640886,0.01246159,1.926539,1.808482,0.247172
2024/07/09_13:55:09,0.0324707,0.003280164,-0.02642945,0.01245052,1.933415,1.811772,0.233808
2024/07/09_13:55:09,0.05249023,0.003296755,-0.02644433,0.01238178,1.93876,1.78626,0.2318284
2024/07/09_13:55:09,0.07250977,0.003284827,-0.02645,0.01235877,1.934802,1.779969,0.2251761
2024/07/09_13:55:09,0.0925293,0.003243475,-0.02641197,0.0123527,1.93125,1.749837,0.207046
2024/07/09_13:55:09,0.1124878,0.003212918,-0.02640996,0.0123308,1.936746,1.735346,0.1901785
2024/07/09_13:55:09,0.1325073,0.003207426,-0.02643839,0.01230507,1.950172,1.720422,0.1895289
2024/07/09_13:55:09,0.1525269,0.003249999,-0.02651186,0.01231537,1.941305,1.718095,0.2002987
2024/07/09_13:55:09,0.1724854,0.003268272,-0.02651981,0.0123148,1.93643,1.722468,0.2002891
2024/07/09_13:55:09,0.1925049,0.003300094,-0.02647782,0.01231057,1.913387,1.730245,0.1920914
2024/07/09_13:55:09,0.2125244,0.003298514,-0.0264576,0.01230184,1.917674,1.749266,0.1704063
2024/07/09_13:55:09,0.2324829,0.003295737,-0.02644675,0.01227186,1.943673,1.753403,0.1841761
2024/07/09_13:55:09,0.2525024,0.00328656,-0.02646111,0.01224831,1.948964,1.745355,0.1946001
2024/07/09_13:55:09,0.272522,0.003273282,-0.02647866,0.01225803,1.941944,1.739912,0.1933527
2024/07/09_13:55:10,0.2924805,0.003258284,-0.02650146,0.01229256,1.94593,1.718525,0.1774208
2024/07/09_13:55:10,0.3125,0.003250394,-0.02651852,0.01229261,1.951437,1.694783,0.1631898
2024/07/09_13:55:10,0.3325195,0.003241717,-0.02652407,0.01229318,1.948308,1.675676,0.1573642
2024/07/09_13:55:10,0.352478,0.00323243,-0.02652067,0.01231391,1.948982,1.672838,0.1535247
2024/07/09_13:55:10,0.3724976,0.003223685,-0.02653166,0.01234743,1.958015,1.669385,0.1406875
2024/07/09_13:55:10,0.3925171,0.003232326,-0.02657885,0.01233806,1.978826,1.647062,0.1259548
2024/07/09_13:55:10,0.4124756,0.003219458,-0.026638,0.0124003,1.991615,1.622454,0.1165491
2024/07/09_13:55:10,0.4324951,0.00320523,-0.02667492,0.01246949,2.002428,1.61381,0.08257899
2024/07/09_13:55:10,0.4525146,0.003203758,-0.02668339,0.0124616,2.016669,1.60899,0.0625801
2024/07/09_13:55:10,0.4724731,0.003184021,-0.02663117,0.01247513,2.006403,1.591283,0.06947216
2024/07/09_13:55:10,0.4924927,0.003135819,-0.02652958,0.0125112,1.974927,1.576265,0.08056391
2024/07/09_13:55:10,0.5125122,0.003089166,-0.02644945,0.01251487,1.9531,1.563398,0.1043163
2024/07/09_13:55:10,0.5324707,0.003049817,-0.0263892,0.01251033,1.917067,1.552804,0.1102645
2024/07/09_13:55:10,0.5524902,0.00303071,-0.02633948,0.01252324,1.899093,1.545582,0.1048591
2024/07/09_13:55:10,0.5725098,0.002989438,-0.0262463,0.01255664,1.868555,1.530716,0.1107363
2024/07/09_13:55:10,0.5925293,0.002929073,-0.02608994,0.01257452,1.837125,1.50594,0.1153234
2024/07/09_13:55:10,0.6124878,0.002842214,-0.02582779,0.01265363,1.74058,1.474278,0.1252829
2024/07/09_13:55:10,0.6325073,0.00271112,-0.0257055,0.01276661,1.696067,1.424304,0.1479176
2024/07/09_13:55:10,0.6525269,0.002623495,-0.02574029,0.0128037,1.714481,1.400254,0.1243079
2024/07/09_13:55:10,0.6724854,0.002469976,-0.02587912,0.01287042,1.783063,1.355541,0.1280038
2024/07/09_13:55:10,0.6925049,0.002330122,-0.02608381,0.01298409,1.866735,1.339992,0.1288933
2024/07/09_13:55:10,0.7125244,0.002204233,-0.0262893,0.0130917,1.956085,1.303953,0.1391363
2024/07/09_13:55:10,0.7324829,0.002058968,-0.02661997,0.01323156,2.115148,1.286675,0.1386132
2024/07/09_13:55:10,0.7525024,0.001992468,-0.02687698,0.01331186,2.240569,1.267178,0.1545154
2024/07/09_13:55:10,0.772522,0.001732677,-0.02787035,0.01352541,2.577007,1.193816,0.2089149
2024/07/09_13:55:10,0.7924805,0.001366708,-0.0287196,0.01372116,3.028046,1.066489,0.2635944
2024/07/09_13:55:10,0.8125,0.00101703,-0.02953652,0.0140463,3.388256,0.9257326,0.3080773
2024/07/09_13:55:10,0.8325195,0.000601802,-0.0301998,0.01445252,3.69556,0.7520528,0.3283938
2024/07/09_13:55:10,0.852478,0.00036183,-0.03032699,0.0146323,3.775517,0.6224847,0.3384103
2024/07/09_13:55:10,0.8724976,-0.0001511909,-0.030606,0.01506159,3.81767,0.382659,0.3329544
2024/07/09_13:55:10,0.8925171,-0.000682313,-0.03076319,0.01539156,3.825232,0.1091493,0.2922634
2024/07/09_13:55:10,0.9124756,-0.001314971,-0.03096239,0.01555673,3.873316,-0.1882019,0.2106469
2024/07/09_13:55:10,0.9324951,-0.001902901,-0.03092406,0.01570744,3.861444,-0.4953308,0.1211491
2024/07/09_13:55:10,0.9525146,-0.002167254,-0.03086972,0.01574387,3.830262,-0.6427307,0.09249561
2024/07/09_13:55:10,0.9724731,-0.00269248,-0.03075887,0.01570391,3.756735,-0.9264832,0.0573842
2024/07/09_13:55:10,0.9924927,-0.003161907,-0.03052586,0.01564824,3.61419,-1.188843,0.01847516
2024/07/09_13:55:10,1.012512,-0.003523349,-0.03007234,0.01548462,3.428963,-1.415497,-0.03887939
2024/07/09_13:55:10,1.032471,-0.00380883,-0.02952432,0.01531723,3.161219,-1.595306,-0.06698608
2024/07/09_13:55:10,1.05249,-0.003936858,-0.02927919,0.01522578,3.003668,-1.671173,-0.08230591
2024/07/09_13:55:10,1.07251,-0.004198004,-0.02885093,0.01495669,2.762275,-1.797791,-0.103363
2024/07/09_13:55:10,1.092529,-0.004381102,-0.02842844,0.01459905,2.576461,-1.938385,-0.1275024
2024/07/09_13:55:10,1.112488,-0.004479736,-0.02796952,0.01431806,2.382876,-2.03006,-0.1517944
2024/07/09_13:55:10,1.132507,-0.004536963,-0.02774404,0.01418952,2.265166,-2.064087,-0.1567993
2024/07/09_13:55:10,1.152527,-0.004585396,-0.02717602,0.01392759,1.998659,-2.129059,-0.1711121
2024/07/09_13:55:10,1.172485,-0.004564458,-0.02645016,0.01369205,1.655688,-2.190979,-0.2497559
2024/07/09_13:55:10,1.192505,-0.00451187,-0.0259451,0.01344762,1.394891,-2.218018,-0.3236389
2024/07/09_13:55:10,1.212524,-0.004272722,-0.02524417,0.01311721,1.05774,-2.206635,-0.3693848
2024/07/09_13:55:10,1.232483,-0.004172444,-0.02490814,0.01299223,0.8622425,-2.182465,-0.4034729
2024/07/09_13:55:10,1.252502,-0.003881886,-0.02410384,0.01269495,0.4436233,-2.137939,-0.5013733
2024/07/09_13:55:10,1.272522,-0.003586163,-0.02306729,0.01232024,-0.1192322,-2.076782,-0.6008911
2024/07/09_13:55:11,1.29248,-0.003248189,-0.02176772,0.01177252,-0.8422852,-2.038605,-0.7644958
2024/07/09_13:55:11,1.3125,-0.002958923,-0.02057146,0.01108604,-1.540771,-2.056702,-1.009674
2024/07/09_13:55:11,1.33252,-0.002739196,-0.02013208,0.01069078,-1.799896,-2.084473,-1.160522
2024/07/09_13:55:11,1.352478,-0.002172393,-0.01881617,0.009731223,-2.400665,-2.107239,-1.380829
2024/07/09_13:55:11,1.372498,-0.001629124,-0.01717717,0.008674474,-3.126007,-2.112213,-1.613586
2024/07/09_13:55:11,1.392517,-0.0009062821,-0.01591703,0.007484661,-3.844391,-2.053406,-1.865234
2024/07/09_13:55:11,1.412476,-3.224611E-05,-0.01459431,0.006147125,-4.456085,-1.901093,-2.092804
2024/07/09_13:55:11,1.432495,0.0004380392,-0.01387311,0.005530142,-4.798401,-1.80896,-2.173218
2024/07/09_13:55:11,1.452515,0.001379271,-0.0123816,0.00421382,-5.544647,-1.636353,-2.314911
2024/07/09_13:55:11,1.472473,0.002281133,-0.01080143,0.002837703,-6.305237,-1.460754,-2.522308
