date,time,posX,posY,posZ,rotX,rotY,rotZ
2024/07/09_14:07:21,0.008789063,0.01552274,-0.06421629,0.04587311,12.971,0.2487109,-2.170593
2024/07/09_14:07:21,0.02880859,0.01553628,-0.06425109,0.04587977,12.99022,0.264651,-2.197418
2024/07/09_14:07:21,0.04870605,0.01553288,-0.06428092,0.04594564,12.99643,0.269347,-2.185791
2024/07/09_14:07:21,0.06872559,0.01552821,-0.06428639,0.04591918,13.017,0.2742519,-2.175171
2024/07/09_14:07:21,0.08874512,0.01554688,-0.06426562,0.04592092,13.0108,0.2742166,-2.164276
2024/07/09_14:07:21,0.1087646,0.01556015,-0.06426409,0.04596309,12.99924,0.2798765,-2.160583
2024/07/09_14:07:21,0.1287842,0.01556601,-0.06422837,0.04597445,12.98061,0.2811328,-2.165894
2024/07/09_14:07:21,0.1488037,0.01556241,-0.06415189,0.04592244,12.96502,0.2724915,-2.171478
2024/07/09_14:07:22,0.1688232,0.01554742,-0.06409547,0.04593601,12.93719,0.2669793,-2.173706
2024/07/09_14:07:22,0.1887207,0.0155563,-0.06406695,0.04593857,12.92992,0.2568957,-2.175995
2024/07/09_14:07:22,0.2087402,0.01555395,-0.06404482,0.04590327,12.92583,0.2577954,-2.168976
2024/07/09_14:07:22,0.2287598,0.01554867,-0.06398652,0.04585493,12.9116,0.2560654,-2.164154
2024/07/09_14:07:22,0.2487793,0.01556743,-0.06400923,0.04587436,12.91091,0.2589898,-2.156464
2024/07/09_14:07:22,0.2687988,0.01557737,-0.06399822,0.04583658,12.91225,0.254778,-2.149384
2024/07/09_14:07:22,0.2888184,0.01557979,-0.06398196,0.04582398,12.90793,0.2569646,-2.146484
2024/07/09_14:07:22,0.3087158,0.01558777,-0.06397378,0.04585774,12.90522,0.259719,-2.142731
2024/07/09_14:07:22,0.3287354,0.01559073,-0.06396841,0.04586004,12.90073,0.2726544,-2.136047
2024/07/09_14:07:22,0.3487549,0.01559382,-0.06394635,0.04585344,12.90465,0.274992,-2.130951
2024/07/09_14:07:22,0.3687744,0.01556792,-0.06393745,0.04590588,12.87916,0.2713191,-2.122864
2024/07/09_14:07:22,0.3887939,0.01554691,-0.06394255,0.04594004,12.87475,0.2704199,-2.125702
2024/07/09_14:07:22,0.4088135,0.0155429,-0.06390426,0.04594988,12.86536,0.2723913,-2.11557
2024/07/09_14:07:22,0.4287109,0.01553588,-0.06390545,0.04598587,12.85714,0.265945,-2.110474
2024/07/09_14:07:22,0.4487305,0.01552689,-0.06397247,0.04604572,12.87595,0.2676226,-2.123016
2024/07/09_14:07:22,0.46875,0.01551486,-0.06405705,0.04606959,12.90054,0.262846,-2.123291
2024/07/09_14:07:22,0.4887695,0.01550575,-0.06410404,0.04608425,12.92422,0.2604565,-2.12674
2024/07/09_14:07:22,0.5087891,0.01546562,-0.06423643,0.04617252,12.94876,0.2549257,-2.135986
2024/07/09_14:07:22,0.5288086,0.01544988,-0.06434081,0.04623744,12.98199,0.2604797,-2.133942
2024/07/09_14:07:22,0.5487061,0.01545109,-0.06442013,0.04625522,13.02438,0.2664944,-2.152313
2024/07/09_14:07:22,0.5687256,0.0154399,-0.06448687,0.04628798,13.04321,0.2749849,-2.151276
2024/07/09_14:07:22,0.5887451,0.01543538,-0.0645145,0.04630053,13.05099,0.2768927,-2.141144
2024/07/09_14:07:22,0.6087646,0.01542004,-0.06451883,0.04628048,13.06257,0.2778499,-2.108551
2024/07/09_14:07:22,0.6287842,0.01539129,-0.06452063,0.04625794,13.06191,0.2746429,-2.08606
2024/07/09_14:07:22,0.6488037,0.01536043,-0.06449108,0.04625181,13.0377,0.2740006,-2.097748
2024/07/09_14:07:22,0.6688232,0.01534095,-0.06445263,0.04622167,13.03008,0.2741596,-2.102722
2024/07/09_14:07:22,0.6887207,0.0153313,-0.06445225,0.04620384,13.03191,0.2707231,-2.099915
2024/07/09_14:07:22,0.7087402,0.01530793,-0.06450959,0.04619818,13.0432,0.2584117,-2.10257
2024/07/09_14:07:22,0.7287598,0.01530531,-0.06454591,0.04617724,13.06367,0.259271,-2.10791
2024/07/09_14:07:22,0.7487793,0.01531898,-0.06459222,0.04617126,13.07953,0.2655722,-2.079285
2024/07/09_14:07:22,0.7687988,0.01533108,-0.06471059,0.04619029,13.10668,0.2716265,-2.078278
2024/07/09_14:07:22,0.7888184,0.01533985,-0.06476442,0.04620612,13.13395,0.2817549,-2.107452
2024/07/09_14:07:22,0.8087158,0.015367,-0.06484484,0.04621426,13.15933,0.2923403,-2.100037
2024/07/09_14:07:22,0.8287354,0.01537136,-0.06490745,0.04623361,13.19117,0.2863977,-2.100311
2024/07/09_14:07:22,0.8487549,0.01534274,-0.06494418,0.04626695,13.19899,0.2813355,-2.098053
2024/07/09_14:07:22,0.8687744,0.01530942,-0.06489723,0.04625459,13.17047,0.2393748,-2.097015
2024/07/09_14:07:22,0.8887939,0.01527534,-0.06483596,0.04625104,13.1283,0.2043713,-2.121704
2024/07/09_14:07:22,0.9088135,0.01518324,-0.06469523,0.04624196,13.05729,0.1306808,-2.177399
2024/07/09_14:07:22,0.9287109,0.01508072,-0.06453177,0.04617875,12.99964,0.01525462,-2.274139
2024/07/09_14:07:22,0.9487305,0.01503764,-0.06435239,0.0460741,12.94813,-0.04208374,-2.327148
2024/07/09_14:07:22,0.96875,0.0150393,-0.06425828,0.04602895,12.90349,-0.05453491,-2.345154
2024/07/09_14:07:22,0.9887695,0.0151072,-0.06410447,0.045975,12.83525,-0.04647827,-2.35434
2024/07/09_14:07:22,1.008789,0.01524683,-0.06365269,0.04576357,12.66987,-0.04284668,-2.394318
2024/07/09_14:07:22,1.028809,0.01541195,-0.06327835,0.04557453,12.51673,-0.02642822,-2.426483
2024/07/09_14:07:22,1.048706,0.01555524,-0.06287879,0.04532939,12.38193,-0.07723999,-2.500366
2024/07/09_14:07:22,1.068726,0.01558021,-0.06239761,0.04493427,12.25515,-0.1704712,-2.621521
2024/07/09_14:07:22,1.088745,0.01558349,-0.06216203,0.04478293,12.17547,-0.2264099,-2.689209
2024/07/09_14:07:22,1.108765,0.01560523,-0.06173311,0.04451174,12.00005,-0.3456116,-2.813873
2024/07/09_14:07:22,1.128784,0.01561486,-0.06152159,0.04437921,11.92505,-0.4065552,-2.878113
2024/07/09_14:07:22,1.148804,0.01563708,-0.06086619,0.04392193,11.69303,-0.5892944,-3.057953
2024/07/09_14:07:23,1.168823,0.0157433,-0.0604228,0.04361965,11.54027,-0.703064,-3.188721
2024/07/09_14:07:23,1.188721,0.0157745,-0.06017946,0.04348027,11.44205,-0.7425232,-3.259827
2024/07/09_14:07:23,1.20874,0.01588951,-0.05975046,0.04320033,11.25174,-0.8013916,-3.405914
2024/07/09_14:07:23,1.22876,0.01600512,-0.05928072,0.04287137,11.08914,-0.8761292,-3.520538
2024/07/09_14:07:23,1.248779,0.01612759,-0.05867242,0.04256539,10.86755,-0.9632568,-3.667358
2024/07/09_14:07:23,1.268799,0.0161819,-0.05841016,0.04243607,10.7467,-0.9890747,-3.73642
2024/07/09_14:07:23,1.288818,0.01631926,-0.05791057,0.04204664,10.56349,-1.042084,-3.877594
2024/07/09_14:07:23,1.308716,0.01646759,-0.05733724,0.04168144,10.36876,-1.105347,-3.995056
2024/07/09_14:07:23,1.328735,0.01658391,-0.05671946,0.04128663,10.1352,-1.162903,-4.176758
2024/07/09_14:07:23,1.348755,0.01674314,-0.0560533,0.04084033,9.907351,-1.235779,-4.315765
2024/07/09_14:07:23,1.368774,0.01677529,-0.05573186,0.04064727,9.772251,-1.278656,-4.3927
