date,time,posX,posY,posZ,rotX,rotY,rotZ
2024/07/09_14:31:50,0.01049805,-0.00465674,-0.04047191,0.03904953,3.196961,0.7264316,-6.798676
2024/07/09_14:31:50,0.03051758,-0.004593763,-0.04045117,0.03906595,3.172908,0.7333971,-6.795929
2024/07/09_14:31:50,0.05053711,-0.004529922,-0.04043546,0.03910111,3.171157,0.7454777,-6.811371
2024/07/09_14:31:50,0.07055664,-0.004470154,-0.04038744,0.03909444,3.145309,0.7432517,-6.826904
2024/07/09_14:31:50,0.09057617,-0.004400529,-0.04030765,0.03908115,3.09911,0.7417982,-6.847382
2024/07/09_14:31:50,0.1105957,-0.004371397,-0.04027321,0.03908627,3.077891,0.7464317,-6.857666
2024/07/09_14:31:50,0.1306152,-0.004319981,-0.04016191,0.03904588,3.015216,0.7594561,-6.869232
2024/07/09_14:31:50,0.1506348,-0.004286948,-0.0399812,0.03892072,2.905176,0.7697598,-6.86554
2024/07/09_14:31:50,0.1706543,-0.00423568,-0.03975105,0.03887175,2.802005,0.778676,-6.882904
2024/07/09_14:31:50,0.1906738,-0.004194602,-0.03955395,0.03875646,2.727831,0.7904297,-6.921387
2024/07/09_14:31:50,0.2106934,-0.00417307,-0.03944651,0.03868802,2.690054,0.79603,-6.933807
2024/07/09_14:31:50,0.2304688,-0.004163153,-0.03919175,0.0385565,2.584893,0.7995176,-6.928284
2024/07/09_14:31:50,0.2504883,-0.004193757,-0.0389132,0.03845818,2.464346,0.785163,-6.923126
2024/07/09_14:31:50,0.2705078,-0.004260898,-0.03864557,0.03825584,2.358334,0.7579084,-6.927795
2024/07/09_14:31:50,0.2905273,-0.004348509,-0.03840272,0.03808768,2.26634,0.7271369,-6.941803
2024/07/09_14:31:50,0.3105469,-0.004386868,-0.03828324,0.03802139,2.226163,0.696628,-6.960846
2024/07/09_14:31:50,0.3305664,-0.004493219,-0.03806638,0.03789788,2.126326,0.6327702,-6.988953
2024/07/09_14:31:50,0.3505859,-0.00463634,-0.03783895,0.03776703,2.038628,0.5615863,-7.039124
2024/07/09_14:31:50,0.3706055,-0.004789389,-0.03768544,0.03768952,1.976792,0.4717413,-7.085114
2024/07/09_14:31:50,0.390625,-0.004965853,-0.03758818,0.03760445,1.931926,0.3801859,-7.127838
2024/07/09_14:31:50,0.4106445,-0.005063524,-0.03754772,0.03754731,1.908312,0.3278823,-7.141876
2024/07/09_14:31:50,0.4306641,-0.005272891,-0.03747383,0.03748485,1.862173,0.2119113,-7.180359
2024/07/09_14:31:50,0.4506836,-0.005527969,-0.03743703,0.03746957,1.864704,0.07054538,-7.230682
2024/07/09_14:31:50,0.4707031,-0.005887028,-0.03748708,0.03740698,1.89824,-0.1181641,-7.256805
2024/07/09_14:31:50,0.4904785,-0.006334275,-0.03749492,0.03738732,1.887026,-0.3395081,-7.286072
2024/07/09_14:31:50,0.510498,-0.006554046,-0.03746599,0.03740468,1.860118,-0.4482727,-7.311188
2024/07/09_14:31:50,0.5305176,-0.007057153,-0.0373795,0.03744959,1.807143,-0.6600647,-7.32959
2024/07/09_14:31:50,0.5505371,-0.007785451,-0.03717134,0.03743136,1.768919,-0.910614,-7.312592
2024/07/09_14:31:50,0.5705566,-0.008469529,-0.0369578,0.03740724,1.711353,-1.184235,-7.269714
2024/07/09_14:31:50,0.5905762,-0.009273332,-0.03668758,0.03735809,1.632743,-1.441284,-7.207153
2024/07/09_14:31:50,0.6105957,-0.009672335,-0.0365484,0.03731579,1.593547,-1.581055,-7.159363
2024/07/09_14:31:50,0.6306152,-0.01060738,-0.03620866,0.03715571,1.520164,-1.857513,-7.08548
2024/07/09_14:31:51,0.6506348,-0.01169778,-0.03575924,0.03693515,1.42448,-2.207764,-6.943329
2024/07/09_14:31:51,0.6706543,-0.01277802,-0.03528549,0.0366773,1.275542,-2.560364,-6.786896
2024/07/09_14:31:51,0.6906738,-0.01386207,-0.03474964,0.03638826,1.12802,-2.861145,-6.655792
2024/07/09_14:31:51,0.7106934,-0.01440686,-0.03446772,0.03619008,1.04912,-3.006256,-6.585266
2024/07/09_14:31:51,0.7304688,-0.01552091,-0.03393896,0.03581066,0.8956724,-3.302612,-6.448486
2024/07/09_14:31:51,0.7504883,-0.01650893,-0.03333765,0.03537419,0.7468451,-3.579102,-6.295074
2024/07/09_14:31:51,0.7705078,-0.01744338,-0.03255977,0.03487455,0.5341931,-3.789429,-6.143127
2024/07/09_14:31:51,0.7905273,-0.01839183,-0.03174524,0.03431926,0.2824165,-3.951752,-6.018555
2024/07/09_14:31:51,0.8105469,-0.0188391,-0.03130939,0.03401086,0.1660085,-4.024475,-5.949585
2024/07/09_14:31:51,0.8305664,-0.01964277,-0.03044757,0.03336032,-0.09817505,-4.183044,-5.762115
2024/07/09_14:31:51,0.8505859,-0.02034836,-0.02965368,0.0326747,-0.3538818,-4.300201,-5.564911
2024/07/09_14:31:51,0.8706055,-0.0209449,-0.02872403,0.03191041,-0.5895691,-4.370575,-5.371094
2024/07/09_14:31:51,0.890625,-0.02122891,-0.02817935,0.03152116,-0.7349243,-4.39743,-5.266418
2024/07/09_14:31:51,0.9106445,-0.02177611,-0.02718332,0.03073033,-1.053436,-4.444641,-5.028229
2024/07/09_14:31:51,0.9306641,-0.02232162,-0.02626943,0.02988358,-1.33548,-4.490356,-4.809082
2024/07/09_14:31:51,0.9506836,-0.02283229,-0.02523528,0.02897619,-1.599792,-4.532196,-4.559723
2024/07/09_14:31:51,0.9707031,-0.02333709,-0.024141,0.02806883,-1.914093,-4.554779,-4.322693
2024/07/09_14:31:51,0.9904785,-0.02363922,-0.02362459,0.02756618,-2.072205,-4.573669,-4.214142
2024/07/09_14:31:51,1.010498,-0.02424435,-0.02257522,0.02658169,-2.358429,-4.622162,-3.935333
2024/07/09_14:31:51,1.030518,-0.02488854,-0.02142106,0.02546377,-2.634491,-4.682404,-3.656769
2024/07/09_14:31:51,1.050537,-0.0255851,-0.02022227,0.0243267,-2.939056,-4.723694,-3.362671
2024/07/09_14:31:51,1.070557,-0.02632908,-0.0190776,0.02314126,-3.249603,-4.775848,-3.015472
2024/07/09_14:31:51,1.090576,-0.02721325,-0.01788902,0.02194015,-3.559174,-4.791565,-2.653687
2024/07/09_14:31:51,1.110596,-0.02760924,-0.01730064,0.0213157,-3.714813,-4.812836,-2.453339
2024/07/09_14:31:51,1.130615,-0.02840595,-0.01614654,0.02001623,-4.040527,-4.842438,-2.017395
2024/07/09_14:31:51,1.150635,-0.0292618,-0.01492822,0.01869215,-4.369476,-4.833405,-1.575775
2024/07/09_14:31:51,1.170654,-0.03016612,-0.01362307,0.01739038,-4.723602,-4.773743,-1.158295
2024/07/09_14:31:51,1.190674,-0.03059474,-0.01298511,0.01670035,-4.920349,-4.735748,-0.9434204
2024/07/09_14:31:51,1.210693,-0.03142267,-0.01173449,0.01529928,-5.28595,-4.646332,-0.4992676
2024/07/09_14:31:51,1.230469,-0.03216741,-0.01040865,0.01384032,-5.654297,-4.525665,-0.06912231
2024/07/09_14:31:51,1.250488,-0.03293577,-0.009132307,0.0123633,-6.036041,-4.385101,0.3823981
2024/07/09_14:31:51,1.270508,-0.03361053,-0.007930067,0.01083634,-6.420654,-4.240753,0.8189033
2024/07/09_14:31:51,1.290527,-0.03383442,-0.007380043,0.01007184,-6.624176,-4.165924,1.021654
2024/07/09_14:31:51,1.310547,-0.03444649,-0.006244149,0.008641073,-7.000763,-3.931915,1.414996
2024/07/09_14:31:51,1.330566,-0.03490447,-0.005054996,0.007145051,-7.353149,-3.746277,1.807474
2024/07/09_14:31:51,1.350586,-0.03526941,-0.003921876,0.005708671,-7.743195,-3.55545,2.1537
2024/07/09_14:31:51,1.370605,-0.03558421,-0.00276375,0.004219976,-8.10376,-3.347839,2.466511
2024/07/09_14:31:51,1.390625,-0.03593985,-0.002048856,0.003427518,-8.259186,-3.18457,2.530707
2024/07/09_14:31:51,1.410645,-0.03590063,-0.001133664,0.002058273,-8.704376,-3.008331,2.867919
2024/07/09_14:31:51,1.430664,-0.03609039,-8.638762E-05,0.0006630826,-9.074005,-2.757751,3.125503
2024/07/09_14:31:51,1.450684,-0.0361972,0.0009260241,-0.000707068,-9.428589,-2.532837,3.40775
2024/07/09_14:31:51,1.470703,-0.03626468,0.001976273,-0.002066511,-9.815979,-2.308594,3.581294
2024/07/09_14:31:51,1.490479,-0.03627307,0.002456548,-0.002642126,-10.02802,-2.179352,3.680365
2024/07/09_14:31:51,1.510498,-0.03628717,0.003372411,-0.003978539,-10.37494,-1.968262,3.847499
2024/07/09_14:31:51,1.530518,-0.03624871,0.004252856,-0.005278555,-10.70987,-1.805145,4.01887
2024/07/09_14:31:51,1.550537,-0.03611345,0.005162785,-0.006581255,-11.07187,-1.659119,4.155482
2024/07/09_14:31:51,1.570557,-0.03594566,0.006105549,-0.007882873,-11.46149,-1.473206,4.232382
2024/07/09_14:31:51,1.590576,-0.035869,0.006636328,-0.008568243,-11.68011,-1.35907,4.232698
2024/07/09_14:31:51,1.610596,-0.03565434,0.007661838,-0.009840391,-12.15906,-1.166443,4.238767
2024/07/09_14:31:51,1.630615,-0.03538149,0.00867349,-0.01119941,-12.63028,-0.9639893,4.149651
2024/07/09_14:31:52,1.650635,-0.03492561,0.009657781,-0.01258276,-13.07208,-0.7503357,4.066078
2024/07/09_14:31:52,1.670654,-0.03455408,0.01065149,-0.01401479,-13.50305,-0.5350037,3.974151
2024/07/09_14:31:52,1.690674,-0.03434429,0.01108481,-0.01471288,-13.69659,-0.4601135,3.927891
2024/07/09_14:31:52,1.710693,-0.03387723,0.01192833,-0.01609687,-14.06323,-0.290863,3.841177
2024/07/09_14:31:52,1.730469,-0.03338867,0.01283448,-0.01737182,-14.44989,-0.1260681,3.720026
2024/07/09_14:31:52,1.750488,-0.03295733,0.01370752,-0.01861822,-14.85956,0.001683596,3.635949
2024/07/09_14:31:52,1.770508,-0.0324201,0.01455817,-0.01991927,-15.23117,0.1316791,3.524915
2024/07/09_14:31:52,1.790527,-0.0321569,0.01500397,-0.02053255,-15.42279,0.2171548,3.462561
2024/07/09_14:31:52,1.810547,-0.03167623,0.01579025,-0.02180338,-15.80328,0.3786353,3.350421
2024/07/09_14:31:52,1.830566,-0.03113546,0.0165276,-0.02303806,-16.15176,0.4922275,3.288005
2024/07/09_14:31:52,1.850586,-0.03058655,0.01737404,-0.02424806,-16.52679,0.6546394,3.167546
2024/07/09_14:31:52,1.870605,-0.03014401,0.01814464,-0.02538649,-16.91669,0.8409591,3.069418
2024/07/09_14:31:52,1.890625,-0.02991691,0.01854408,-0.02600352,-17.09134,0.9206526,3.028718
2024/07/09_14:31:52,1.910645,-0.02936655,0.01937248,-0.02722549,-17.46771,1.117962,2.940521
2024/07/09_14:31:52,1.930664,-0.02890964,0.02027035,-0.02849153,-17.86371,1.319319,2.901591
2024/07/09_14:31:52,1.950684,-0.0285126,0.02118489,-0.02984037,-18.27917,1.529236,2.859707
2024/07/09_14:31:52,1.970703,-0.02829013,0.02167145,-0.03048104,-18.4913,1.66837,2.839991
2024/07/09_14:31:52,1.990479,-0.02790885,0.02267618,-0.03180445,-18.94397,1.939487,2.83157
2024/07/09_14:31:52,2.010498,-0.02762478,0.02355508,-0.0330683,-19.41013,2.237695,2.885023
2024/07/09_14:31:52,2.030518,-0.02741574,0.02439507,-0.03441424,-19.81824,2.523218,2.97437
2024/07/09_14:31:52,2.050537,-0.02746253,0.02513426,-0.03569008,-20.16449,2.785319,3.086832
2024/07/09_14:31:52,2.070557,-0.0275013,0.02553608,-0.03633948,-20.32129,2.90212,3.164343
2024/07/09_14:31:52,2.090576,-0.02763249,0.02637472,-0.03761301,-20.64874,3.126923,3.376032
2024/07/09_14:31:52,2.110596,-0.02797405,0.02702492,-0.03867364,-20.978,3.340865,3.627356
2024/07/09_14:31:52,2.130615,-0.02844843,0.02758438,-0.0396749,-21.23352,3.490502,3.913887
2024/07/09_14:31:52,2.150635,-0.02901219,0.02817521,-0.04056609,-21.45816,3.64061,4.205782
2024/07/09_14:31:52,2.170654,-0.02931091,0.02843443,-0.04096333,-21.57446,3.736043,4.372686
2024/07/09_14:31:52,2.190674,-0.02995989,0.02893253,-0.04175217,-21.79498,3.906718,4.704601
2024/07/09_14:31:52,2.210693,-0.03063806,0.0292712,-0.04237507,-21.95248,4.094862,5.046374
2024/07/09_14:31:52,2.230469,-0.03121889,0.02952809,-0.04284743,-22.03854,4.341222,5.476199
2024/07/09_14:31:52,2.250488,-0.03185586,0.02965739,-0.04317145,-22.05377,4.605493,5.883843
2024/07/09_14:31:52,2.270508,-0.03214738,0.02966462,-0.04323526,-22.04996,4.733828,6.070416
2024/07/09_14:31:52,2.290527,-0.0327468,0.02973413,-0.04321855,-22.01678,5.051891,6.403997
2024/07/09_14:31:52,2.310547,-0.03328373,0.02968826,-0.04311538,-21.9639,5.367776,6.769288
2024/07/09_14:31:52,2.330566,-0.03385703,0.02958321,-0.04293936,-21.87216,5.635914,7.143367
2024/07/09_14:31:52,2.350586,-0.03426656,0.02946864,-0.04270993,-21.74002,5.884011,7.47843
2024/07/09_14:31:52,2.370605,-0.03447873,0.02938892,-0.04246602,-21.69244,6.049367,7.617903
2024/07/09_14:31:52,2.390625,-0.0347771,0.02921348,-0.04199449,-21.59421,6.360558,7.896259
2024/07/09_14:31:52,2.410645,-0.0351275,0.02896233,-0.04133467,-21.46466,6.601975,8.15851
2024/07/09_14:31:52,2.430664,-0.03539906,0.02869195,-0.04066365,-21.30185,6.796918,8.395103
2024/07/09_14:31:52,2.450684,-0.03566343,0.02832662,-0.04001066,-21.07764,6.966888,8.665171
2024/07/09_14:31:52,2.470703,-0.03581286,0.02810565,-0.03969258,-20.9353,7.01396,8.785909
2024/07/09_14:31:52,2.490479,-0.03618155,0.02760802,-0.03888659,-20.61407,7.082482,9.045349
2024/07/09_14:31:52,2.510498,-0.03658196,0.02703918,-0.03796548,-20.26614,7.062569,9.37484
2024/07/09_14:31:52,2.530518,-0.03716279,0.02627179,-0.03683573,-19.89951,6.978598,9.684349
2024/07/09_14:31:52,2.550537,-0.03785107,0.02543425,-0.03562918,-19.46109,6.776377,9.986831
