date,time,posX,posY,posZ,rotX,rotY,rotZ
2024/07/09_13:39:40,0.001579285,0.02217595,-0.01873094,0.04061643,0.1314012,1.769018,-3.134979
2024/07/09_13:39:40,0.02157974,0.02220095,-0.01871542,0.04061361,0.131623,1.766388,-3.135803
2024/07/09_13:39:41,0.0415802,0.02221357,-0.0186803,0.04061356,0.1170995,1.776034,-3.131775
2024/07/09_13:39:41,0.06157684,0.02221357,-0.01863535,0.04061376,0.09206934,1.776083,-3.118042
2024/07/09_13:39:41,0.0815773,0.02223511,-0.01860753,0.04061056,0.08829369,1.769764,-3.120392
2024/07/09_13:39:41,0.1015778,0.0222206,-0.01860223,0.04060009,0.06774623,1.758062,-3.114471
2024/07/09_13:39:41,0.1215782,0.02220949,-0.01858459,0.0405893,0.06420267,1.741689,-3.118378
2024/07/09_13:39:41,0.1415787,0.02216427,-0.01857139,0.04059261,0.04575978,1.724694,-3.116882
2024/07/09_13:39:41,0.1615791,0.02212263,-0.01855804,0.04059132,0.02945983,1.705598,-3.110382
2024/07/09_13:39:41,0.1815796,0.02208995,-0.0185658,0.04060578,0.02456607,1.668302,-3.112854
2024/07/09_13:39:41,0.20158,0.02206289,-0.01855307,0.04060372,0.01241001,1.65257,-3.114197
2024/07/09_13:39:41,0.2215767,0.02205855,-0.01854391,0.04057996,0.007989153,1.650144,-3.138031
2024/07/09_13:39:41,0.2415771,0.02203544,-0.01849972,0.04053839,0.002916601,1.648265,-3.156464
2024/07/09_13:39:41,0.2615776,0.02200131,-0.01841961,0.04047852,-0.003495623,1.642463,-3.134308
2024/07/09_13:39:41,0.2815781,0.02199114,-0.01834902,0.04038614,-0.03439331,1.631842,-3.106812
2024/07/09_13:39:41,0.3015785,0.02197042,-0.01825586,0.04027176,-0.07162476,1.650003,-3.092682
2024/07/09_13:39:41,0.321579,0.02195385,-0.01820123,0.04021435,-0.09729004,1.646845,-3.084442
2024/07/09_13:39:41,0.3415794,0.02194798,-0.01806922,0.04008422,-0.1385498,1.639854,-3.065674
2024/07/09_13:39:41,0.3615799,0.0219429,-0.01801481,0.04002627,-0.1573486,1.640986,-3.05426
2024/07/09_13:39:41,0.3815765,0.02188962,-0.01785763,0.03990807,-0.2169189,1.630016,-3.021179
2024/07/09_13:39:41,0.401577,0.02187135,-0.01780492,0.03987502,-0.2156982,1.625776,-3.014313
2024/07/09_13:39:41,0.4215775,0.0218293,-0.0177153,0.03980221,-0.2305603,1.611503,-3.016022
2024/07/09_13:39:41,0.4415779,0.02177624,-0.01767024,0.0397513,-0.2651367,1.591812,-2.978943
2024/07/09_13:39:41,0.4615784,0.02172768,-0.01759993,0.03970827,-0.2985229,1.569399,-2.975464
2024/07/09_13:39:41,0.4815788,0.02168711,-0.0175501,0.03964603,-0.3262329,1.558076,-3.019257
2024/07/09_13:39:41,0.5015793,0.02167984,-0.01749905,0.03962462,-0.3476257,1.550416,-2.998596
2024/07/09_13:39:41,0.5215797,0.02164439,-0.01736229,0.03959953,-0.3970642,1.532772,-2.967773
2024/07/09_13:39:41,0.5415802,0.02159913,-0.01722032,0.03955858,-0.4566956,1.51526,-2.940735
2024/07/09_13:39:41,0.5615768,0.02156788,-0.01707727,0.03950997,-0.5327759,1.49778,-2.926147
2024/07/09_13:39:41,0.5815773,0.02152762,-0.01690401,0.03945928,-0.6083984,1.478839,-2.915497
2024/07/09_13:39:41,0.6015778,0.02146452,-0.01676289,0.0393655,-0.6643982,1.445575,-2.886017
2024/07/09_13:39:41,0.6215782,0.02141601,-0.01671314,0.03931478,-0.6936951,1.431157,-2.885834
2024/07/09_13:39:41,0.6415787,0.02133823,-0.01662679,0.03923558,-0.7087708,1.399231,-2.885895
2024/07/09_13:39:41,0.6615791,0.02126766,-0.01661015,0.03917939,-0.6978149,1.35391,-2.890442
2024/07/09_13:39:41,0.6815796,0.02119079,-0.01662647,0.03917227,-0.6855469,1.323087,-2.911804
2024/07/09_13:39:41,0.70158,0.02115941,-0.01665812,0.03918075,-0.6711731,1.308555,-2.914917
2024/07/09_13:39:41,0.7215767,0.02111027,-0.01677401,0.03920916,-0.6125793,1.276121,-2.941101
2024/07/09_13:39:42,0.7415771,0.02108666,-0.0169408,0.03925822,-0.5405273,1.240104,-3.012726
2024/07/09_13:39:42,0.7615776,0.0210558,-0.01710906,0.03934194,-0.4668274,1.202177,-3.090454
