date,time,posX,posY,posZ,rotX,rotY,rotZ
2024/07/09_13:48:24,0.01588821,0.003224671,-0.02509872,0.01990654,2.728177,1.299459,-1.007294
2024/07/09_13:48:24,0.03588867,0.003225232,-0.02510006,0.01989159,2.733455,1.301071,-1.004486
2024/07/09_13:48:25,0.05588531,0.003215543,-0.02510213,0.01990993,2.732232,1.300008,-1.0047
2024/07/09_13:48:25,0.07588577,0.003214832,-0.02509634,0.01993321,2.721105,1.296507,-1.006409
2024/07/09_13:48:25,0.09588623,0.003225214,-0.02505589,0.0199272,2.712237,1.289026,-1.019073
2024/07/09_13:48:25,0.1158867,0.003231888,-0.02502652,0.01991861,2.707131,1.282555,-1.027527
2024/07/09_13:48:25,0.1358871,0.00324948,-0.02503458,0.01990777,2.709521,1.275639,-1.031067
2024/07/09_13:48:25,0.1558876,0.003247007,-0.02503012,0.01990597,2.703361,1.278206,-1.032837
2024/07/09_13:48:25,0.1758881,0.003258813,-0.02499883,0.01988957,2.702633,1.277028,-1.030151
2024/07/09_13:48:25,0.1958885,0.003257871,-0.02498169,0.01988734,2.698931,1.272037,-1.027893
2024/07/09_13:48:25,0.215889,0.003244809,-0.0249693,0.01988327,2.695734,1.281066,-1.027466
2024/07/09_13:48:25,0.2358856,0.003246249,-0.02496398,0.01985393,2.693973,1.27648,-1.031403
2024/07/09_13:48:25,0.2558861,0.003243958,-0.02499034,0.01983806,2.701136,1.273862,-1.035095
2024/07/09_13:48:25,0.2758865,0.00324608,-0.02505375,0.01981969,2.716409,1.26864,-1.032196
2024/07/09_13:48:25,0.295887,0.003247797,-0.02507416,0.01981293,2.728697,1.265945,-1.033722
2024/07/09_13:48:25,0.3158875,0.00324003,-0.02507933,0.01982994,2.73404,1.269905,-1.040924
2024/07/09_13:48:25,0.3358879,0.00321842,-0.02507853,0.01985487,2.748602,1.272024,-1.061066
2024/07/09_13:48:25,0.3558884,0.003213052,-0.02507437,0.01983849,2.759006,1.272013,-1.072449
2024/07/09_13:48:25,0.3758888,0.003186123,-0.025023,0.01981721,2.755,1.2729,-1.055603
2024/07/09_13:48:25,0.3958855,0.003164857,-0.0249358,0.01983479,2.714755,1.261368,-1.026093
2024/07/09_13:48:25,0.4158859,0.00312743,-0.02483865,0.01981554,2.665925,1.252938,-1.018219
2024/07/09_13:48:25,0.4358864,0.003100571,-0.02471955,0.0197795,2.624875,1.236012,-1.018311
2024/07/09_13:48:25,0.4558868,0.003082077,-0.02466684,0.01978804,2.606734,1.226262,-1.020508
2024/07/09_13:48:25,0.4758873,0.003045149,-0.02459582,0.01981238,2.567398,1.207951,-1.004181
2024/07/09_13:48:25,0.4958878,0.003024954,-0.02449726,0.0197581,2.541497,1.186138,-1.012177
2024/07/09_13:48:25,0.5158882,0.003010951,-0.02442716,0.01968517,2.511931,1.166771,-1.018158
2024/07/09_13:48:25,0.5358887,0.003009987,-0.02440219,0.01965092,2.470275,1.151012,-1.002045
2024/07/09_13:48:25,0.5558853,0.003004562,-0.02436564,0.0196512,2.446432,1.143962,-1.008728
2024/07/09_13:48:25,0.5758858,0.003006368,-0.02431017,0.01964936,2.435281,1.136484,-1.037567
2024/07/09_13:48:25,0.5958862,0.003022313,-0.02429992,0.01967777,2.418076,1.138753,-1.028748
2024/07/09_13:48:25,0.6158867,0.002997815,-0.02424703,0.01970831,2.400283,1.118392,-1.024017
2024/07/09_13:48:25,0.6358871,0.002942029,-0.02421678,0.01975324,2.394672,1.07732,-1.033142
2024/07/09_13:48:25,0.6558876,0.002902702,-0.02426803,0.01975781,2.418177,1.050972,-1.059174
2024/07/09_13:48:25,0.6758881,0.002818358,-0.02436068,0.01978847,2.441197,0.9900783,-1.114075
2024/07/09_13:48:25,0.6958885,0.002761073,-0.02440842,0.01989683,2.432094,0.9509836,-1.14505
2024/07/09_13:48:25,0.715889,0.002716284,-0.02445591,0.01999093,2.44169,0.908779,-1.166748
2024/07/09_13:48:25,0.7358856,0.002705365,-0.0245511,0.02007925,2.490811,0.8883454,-1.183197
2024/07/09_13:48:25,0.7558861,0.002715026,-0.02463694,0.02012928,2.530531,0.8832414,-1.189362
2024/07/09_13:48:25,0.7758865,0.002733004,-0.02483009,0.02023562,2.604664,0.8808869,-1.208099
2024/07/09_13:48:25,0.795887,0.002768218,-0.02504621,0.0202957,2.671123,0.8717808,-1.232605
2024/07/09_13:48:25,0.8158875,0.002783775,-0.02518255,0.02038921,2.717864,0.8548452,-1.252136
2024/07/09_13:48:25,0.8358879,0.002768215,-0.02536029,0.02051394,2.79326,0.8181205,-1.284485
2024/07/09_13:48:25,0.8558884,0.002739794,-0.02549927,0.02053447,2.85358,0.7686333,-1.309418
2024/07/09_13:48:26,0.8758888,0.002659145,-0.02575097,0.02060208,2.97057,0.6773697,-1.381317
2024/07/09_13:48:26,0.8958855,0.002536692,-0.02596587,0.02074078,3.067559,0.5650073,-1.456818
2024/07/09_13:48:26,0.9158859,0.002345867,-0.02625963,0.02086712,3.216128,0.4211708,-1.555756
2024/07/09_13:48:26,0.9358864,0.002069402,-0.02671418,0.02094015,3.460897,0.2062546,-1.680206
2024/07/09_13:48:26,0.9558868,0.001769081,-0.02721791,0.02101158,3.630236,0.06557143,-1.765503
2024/07/09_13:48:26,0.9758873,0.001344733,-0.02806864,0.02116622,4.051531,-0.2344971,-1.965271
2024/07/09_13:48:26,0.9958878,0.00084031,-0.02892211,0.021309,4.54561,-0.5890808,-2.220398
2024/07/09_13:48:26,1.015888,0.0002792068,-0.02955019,0.02147537,4.893711,-0.9472961,-2.470612
2024/07/09_13:48:26,1.035889,-0.0002328977,-0.03007153,0.02219809,5.070637,-1.319855,-2.550903
2024/07/09_13:48:26,1.055885,-0.0004643453,-0.03045094,0.02225176,5.200758,-1.499939,-2.578918
2024/07/09_13:48:26,1.075886,-0.0009909607,-0.03116397,0.02255733,5.481909,-1.846375,-2.666107
2024/07/09_13:48:26,1.095886,-0.001562835,-0.03148042,0.02268074,5.728974,-2.223114,-2.887451
2024/07/09_13:48:26,1.115887,-0.002113526,-0.03191208,0.02308613,5.844164,-2.492554,-3.039886
2024/07/09_13:48:26,1.135887,-0.002290477,-0.03206188,0.02318631,5.86186,-2.620026,-3.090027
2024/07/09_13:48:26,1.155888,-0.002708538,-0.03216688,0.02338216,5.907544,-2.817352,-3.187836
2024/07/09_13:48:26,1.175888,-0.003041408,-0.03221588,0.02349888,5.902329,-2.958282,-3.236389
2024/07/09_13:48:26,1.195889,-0.003381201,-0.03230552,0.02356544,5.883611,-3.05661,-3.249664
2024/07/09_13:48:26,1.215889,-0.003494576,-0.03223774,0.02347669,5.899231,-3.080139,-3.214691
2024/07/09_13:48:26,1.235886,-0.003533411,-0.03223174,0.02345324,5.896194,-3.075714,-3.202087
2024/07/09_13:48:26,1.255886,-0.003537934,-0.03225581,0.02337073,5.93464,-3.053741,-3.190613
2024/07/09_13:48:26,1.275887,-0.003417653,-0.03238539,0.02326335,6.008926,-2.987427,-3.20105
2024/07/09_13:48:26,1.295887,-0.003216971,-0.03244302,0.02328553,5.994572,-2.911133,-3.226654
2024/07/09_13:48:26,1.315887,-0.002948591,-0.03227009,0.02334854,5.801998,-2.80658,-3.19931
2024/07/09_13:48:26,1.335888,-0.002781078,-0.03205732,0.02341325,5.635956,-2.751617,-3.180176
