date,time,posX,posY,posZ,rotX,rotY,rotZ
2024/07/09_14:53:24,0.004394531,0.01728801,-0.05114359,0.04304311,6.106454,-0.7800598,-1.589233
2024/07/09_14:53:24,0.02441406,0.01727171,-0.05111915,0.04303349,6.095864,-0.7802124,-1.579681
2024/07/09_14:53:24,0.04443359,0.01726607,-0.05111672,0.04304862,6.094511,-0.7813416,-1.579987
2024/07/09_14:53:24,0.06445313,0.01726704,-0.05114002,0.0430525,6.102904,-0.78479,-1.58429
2024/07/09_14:53:24,0.08447266,0.01726653,-0.05117799,0.04304995,6.131722,-0.7969666,-1.58844
2024/07/09_14:53:24,0.1044922,0.01725729,-0.05122157,0.04306664,6.140577,-0.7947388,-1.601105
2024/07/09_14:53:24,0.1245117,0.01727322,-0.05125017,0.04307971,6.149207,-0.7935791,-1.60672
2024/07/09_14:53:24,0.1445313,0.01727377,-0.05128975,0.04309337,6.164694,-0.7968445,-1.618713
2024/07/09_14:53:24,0.1645508,0.0172694,-0.05131144,0.04309724,6.168508,-0.791626,-1.627289
2024/07/09_14:53:24,0.1845703,0.01729732,-0.05132549,0.04307968,6.188275,-0.7770386,-1.635315
2024/07/09_14:53:24,0.2045898,0.01730452,-0.05128693,0.04306354,6.186091,-0.7747498,-1.624054
2024/07/09_14:53:24,0.2246094,0.01728541,-0.05125881,0.0430652,6.173204,-0.7776794,-1.59726
2024/07/09_14:53:24,0.2446289,0.01728631,-0.05123291,0.04302951,6.169661,-0.7786865,-1.589325
2024/07/09_14:53:25,0.2646484,0.01729121,-0.05120066,0.04302041,6.160516,-0.7760315,-1.590576
2024/07/09_14:53:25,0.2841797,0.01727126,-0.05113782,0.04301037,6.134392,-0.784729,-1.598694
2024/07/09_14:53:25,0.3041992,0.01724554,-0.05111706,0.04300296,6.125721,-0.7961426,-1.595428
2024/07/09_14:53:25,0.3242188,0.01725277,-0.05110082,0.04299898,6.123893,-0.8074036,-1.604675
2024/07/09_14:53:25,0.3442383,0.01726644,-0.05111447,0.04299163,6.132728,-0.8164368,-1.617554
