date,time,posX,posY,posZ,rotX,rotY,rotZ
2024/07/09_14:41:35,0.009765625,0.01253939,-0.01438649,0.0005725598,1.066728,0.5039551,-0.9564514
2024/07/09_14:41:35,0.02978516,0.0124501,-0.01439115,0.0006028686,1.058127,0.4987556,-0.959259
2024/07/09_14:41:35,0.04980469,0.01238062,-0.01439697,0.0005988193,1.05414,0.4804666,-0.9603577
2024/07/09_14:41:35,0.06982422,0.01237242,-0.01438204,0.0005847287,1.048479,0.4765437,-0.9631348
2024/07/09_14:41:35,0.08984375,0.01232783,-0.01435291,0.0005572545,1.041251,0.4764099,-0.9618835
2024/07/09_14:41:35,0.1098633,0.01233548,-0.01434065,0.0005091311,1.047093,0.4745885,-0.9613342
2024/07/09_14:41:35,0.1298828,0.01233306,-0.01433825,0.0004703068,1.045154,0.486799,-0.9520874
2024/07/09_14:41:35,0.1496582,0.0123481,-0.01432634,0.0004439841,1.039879,0.4920697,-0.946991
2024/07/09_14:41:35,0.1696777,0.01235345,-0.01434386,0.0004226756,1.033941,0.5054874,-0.9500732
2024/07/09_14:41:35,0.1896973,0.01237794,-0.01433761,0.0003985207,1.029504,0.5101612,-0.9526367
2024/07/09_14:41:35,0.2097168,0.0123804,-0.01433552,0.0003883903,1.0273,0.5185539,-0.9529724
2024/07/09_14:41:35,0.2297363,0.01242285,-0.01431948,0.0003335855,1.03057,0.5126514,-0.9554443
2024/07/09_14:41:35,0.2497559,0.01246911,-0.01429424,0.0002809866,1.015694,0.5099289,-0.9536743
2024/07/09_14:41:35,0.2697754,0.01248233,-0.01424799,0.0002823365,1.004914,0.5080472,-0.9547119
2024/07/09_14:41:35,0.2897949,0.0124878,-0.01424068,0.0003025319,0.9844015,0.5015014,-0.9544983
2024/07/09_14:41:35,0.3098145,0.01249217,-0.01424899,0.0003202904,0.9832447,0.4981821,-0.9460449
2024/07/09_14:41:35,0.329834,0.0124954,-0.0142749,0.0003634132,0.9749201,0.4927157,-0.9464417
2024/07/09_14:41:35,0.3498535,0.01247716,-0.01430094,0.0004161252,0.98925,0.4923846,-0.9446716
2024/07/09_14:41:35,0.369873,0.01246599,-0.01431766,0.0004200022,1.000751,0.4959063,-0.9436646
2024/07/09_14:41:35,0.3896484,0.01242676,-0.0144235,0.0004755992,1.045558,0.4985574,-0.9424744
2024/07/09_14:41:35,0.409668,0.01240723,-0.01446237,0.0005098309,1.064012,0.4987361,-0.9413147
2024/07/09_14:41:35,0.4296875,0.0123742,-0.01455568,0.0005762746,1.10578,0.4990979,-0.9277954
2024/07/09_14:41:35,0.449707,0.0123161,-0.01463007,0.0006371483,1.141299,0.5084222,-0.9385681
2024/07/09_14:41:35,0.4697266,0.01219548,-0.014635,0.0006997705,1.140759,0.5011781,-0.8899231
2024/07/09_14:41:35,0.4897461,0.01201952,-0.01461211,0.0007320024,1.143308,0.4705093,-0.8256226
2024/07/09_14:41:35,0.5097656,0.01192514,-0.01460053,0.0007424959,1.136957,0.4510081,-0.7951965
2024/07/09_14:41:35,0.5297852,0.01181,-0.01457419,0.0007553769,1.135665,0.4318804,-0.786499
2024/07/09_14:41:35,0.5498047,0.01137214,-0.01450146,0.0008608059,1.102321,0.3475096,-0.7261047
2024/07/09_14:41:35,0.5698242,0.01104353,-0.01444938,0.0009285902,1.068141,0.2762103,-0.6633911
2024/07/09_14:41:35,0.5898438,0.01067622,-0.01441496,0.0009948543,1.073231,0.1883292,-0.6002808
2024/07/09_14:41:35,0.6098633,0.01047945,-0.01442352,0.001030263,1.081508,0.1468923,-0.5856934
2024/07/09_14:41:35,0.6298828,0.01007753,-0.01445626,0.00108304,1.117013,0.05627409,-0.5308838
2024/07/09_14:41:35,0.6496582,0.009667442,-0.0145116,0.001154385,1.124211,-0.05444336,-0.4485474
2024/07/09_14:41:35,0.6696777,0.009249084,-0.01461217,0.001231863,1.17141,-0.1603088,-0.4447327
2024/07/09_14:41:35,0.6896973,0.009043153,-0.01467374,0.001280861,1.200186,-0.1907959,-0.4432068
2024/07/09_14:41:35,0.7097168,0.008658622,-0.0147887,0.001395552,1.251637,-0.2647705,-0.4004517
2024/07/09_14:41:35,0.7297363,0.008270204,-0.01488353,0.001498603,1.308787,-0.3545837,-0.3286743
2024/07/09_14:41:35,0.7497559,0.007856015,-0.01500185,0.001618428,1.357904,-0.4242859,-0.2476807
2024/07/09_14:41:35,0.7697754,0.007405267,-0.01515593,0.001765323,1.434642,-0.5139465,-0.1642151
2024/07/09_14:41:35,0.7897949,0.00715192,-0.01524552,0.001866239,1.467669,-0.5715027,-0.1196899
2024/07/09_14:41:36,0.8098145,0.006648492,-0.01547004,0.002041962,1.574801,-0.6597595,0.03270723
2024/07/09_14:41:36,0.829834,0.006088767,-0.01569079,0.002211115,1.696513,-0.7708435,0.1651911
2024/07/09_14:41:36,0.8498535,0.005507313,-0.01582108,0.002414285,1.781909,-0.8857727,0.3129894
2024/07/09_14:41:36,0.869873,0.004886355,-0.01587767,0.002602185,1.789666,-0.9977722,0.5085059
2024/07/09_14:41:36,0.8896484,0.004564479,-0.01588609,0.002675985,1.804687,-1.060547,0.6255217
2024/07/09_14:41:36,0.909668,0.003922179,-0.01587608,0.002752356,1.790626,-1.192505,0.8384352
2024/07/09_14:41:36,0.9296875,0.0032411,-0.01581273,0.002793255,1.761995,-1.301483,1.011378
2024/07/09_14:41:36,0.949707,0.002606764,-0.01567602,0.00276411,1.722272,-1.412048,1.180848
2024/07/09_14:41:36,0.9697266,0.001971348,-0.0155031,0.002705999,1.663752,-1.514954,1.326944
2024/07/09_14:41:36,0.9897461,0.001697965,-0.01537435,0.002644855,1.6252,-1.575317,1.395142
2024/07/09_14:41:36,1.009766,0.001118142,-0.01511486,0.002443599,1.530015,-1.690552,1.517802
2024/07/09_14:41:36,1.029785,0.0005468251,-0.01478363,0.002215144,1.412222,-1.790527,1.598761
2024/07/09_14:41:36,1.049805,3.59714E-05,-0.01438623,0.001889964,1.264445,-1.904022,1.680464
2024/07/09_14:41:36,1.069824,-0.0004845774,-0.01400067,0.001567732,1.106431,-2.000702,1.764159
2024/07/09_14:41:36,1.089844,-0.0007065721,-0.01379104,0.001388911,1.025109,-2.049103,1.807721
2024/07/09_14:41:36,1.109863,-0.001131926,-0.01336923,0.0010537,0.843402,-2.145721,1.912637
2024/07/09_14:41:36,1.129883,-0.001542683,-0.01291325,0.0006404499,0.672908,-2.22998,1.996037
