InteractionNumber,ElapsedTime,SplitTime,tposX,tposY,tposZ,trotX,trotY,trotZ
0,4.4880370,4.4880370,-4.371139E-08,1.5,1.15,0,180,0
1,8.185547,3.69751,0.2409017,1.922353,-0.7238333,24.98322,-15.41266,-9.029816
2,11.40503,3.219482,-0.1511665,1.567419,-0.8362066,3.865766,8.714516,20.30885
3,15.39209,3.987061,-0.3682121,1.7975,-0.7308596,17.30749,22.68563,2.345085
4,17.3855,1.993408,-0.6228422,1.955658,-0.4859583,27.10731,44.40302,3.511163
5,20.19263,2.807129,-0.6174027,1.703739,-0.6098052,11.75572,39.09663,-16.20093
6,22.53149,2.338867,-0.3120602,1.743885,-0.7682258,14.11595,18.77039,-0.1046448
7,29.3252,6.793701,-0.04120557,1.614322,-0.8425888,6.564517,2.377168,-20.90356
8,31.80884,2.483643,0.1328793,1.370496,-0.8326352,-7.440918,-7.701233,-5.789215
9,33.33496,1.526123,0.03569899,1.101623,-0.7665268,-23.47675,-2.23056,13.80421
10,34.93848,1.603516,0.01005246,1.216274,-0.8088529,-16.48267,-0.600647,3.454815
11,37.54639,2.60791,-0.03577673,1.23441,-0.8134221,-15.40201,2.126705,24.77569
12,39.98462,2.438232,-0.3888496,1.6816,-0.753226,10.46298,23.29246,12.50981
13,41.88916,1.904541,-0.7308517,1.497576,-0.532532,-0.138855,46.95802,-3.708954
14,43.90503,2.015869,-0.5686629,1.116434,-0.5776672,-22.55475,38.00719,-6.749725
15,45.1748,1.269775,-0.1422592,0.9696759,-0.6857743,-32.02737,9.659877,-9.658295
16,46.64478,1.469971,-0.07673328,1.259587,-0.8176329,-13.91095,4.534065,-7.118805
17,49.23975,2.594971,0.2946762,1.527945,-0.8051884,1.601315,-17.14502,-17.46991
18,51.09937,1.859619,-0.1561475,1.095981,-0.7513251,-23.82965,9.828493,10.04256
19,52.54785,1.448486,-0.08893876,0.8986525,-0.6440221,-36.96649,6.391085,24.56585
20,53.99585,1.447998,-0.2400245,1.126226,-0.7459246,-21.94858,14.99775,16.72151
21,55.54346,1.547607,-0.2751725,1.063554,-0.7066182,-25.87738,17.80864,-2.015594
22,57.79419,2.250732,-0.165372,1.086363,-0.7452971,-24.43353,10.46526,22.6
23,59.84302,2.048828,-0.6184049,1.224427,-0.5859582,-15.99619,40.03939,-4.564026
24,61.68018,1.837158,-0.3209983,1.073397,-0.6955591,-25.25214,20.78819,21.96739
25,63.61743,1.937256,-0.5012914,1.325655,-0.6975321,-10.04059,30.60313,6.091793
26,65.50024,1.882813,-0.6981264,1.102497,-0.4454919,-23.42218,49.53629,5.015316
27,67.36011,1.859863,-0.3585996,0.9404961,-0.597236,-34.02151,25.63642,-0.8401489
28,69.75488,2.394775,-0.4286002,1.345078,-0.7401129,-8.912292,25.71139,-20.94275
29,71.41333,1.658447,-0.460316,0.9352984,-0.5349973,-34.38156,33.90098,-10.06412
30,73.33032,1.916992,-0.5681056,0.9131988,-0.4269926,-35.93033,44.55534,-25.07553
31,75.13672,1.806396,-0.2759961,1.277713,-0.7851014,-12.84338,16.44402,-25.52576
32,76.92896,1.792236,0.216321,1.279648,-0.801131,-12.72971,-12.81314,0.9477425
33,78.79932,1.870361,0.5768788,1.40021,-0.6607112,-5.727112,-35.43457,21.32615
34,80.35913,1.559814,0.3061228,1.890499,-0.7182164,22.98553,-19.42206,10.29319
35,81.79517,1.436035,0.6410077,2.00548,-0.4275806,30.36321,-47.97952,6.711176
36,84.19238,2.397217,0.3034994,2.004814,-0.6581159,30.31899,-20.58438,17.49599
37,85.67407,1.481689,0.009630461,2.051694,-0.6839911,33.48331,-0.6615906,-9.348602
38,87.21094,1.536865,-0.2648661,1.762056,-0.7779937,15.19212,15.9297,17.56794
39,88.63892,1.427979,-0.4503826,1.925104,-0.6351382,25.15726,29.84008,11.01638
