InteractionNumber,ElapsedTime,SplitTime,tposX,tposY,tposZ,trotX,trotY,trotZ
0,3.8399050,3.8399050,-4.371139E-08,1.5,1.15,0,180,0
1,23.73212,19.89221,-0.2409017,1.077647,-0.7238332,-24.98322,15.41268,-9.029816
2,31.79529,8.063171,0.1511665,1.432581,-0.8362066,-3.865753,-8.714508,20.30885
3,38.89038,7.095093,0.368212,1.2025,-0.7308598,-17.3075,-22.68564,2.345085
4,65.34241,26.45203,0.6228421,1.044342,-0.4859584,-27.1073,-44.40302,3.511163
5,86.76129,21.41888,0.6174026,1.296261,-0.6098055,-11.75571,-39.09662,-16.20093
6,90.92676,4.165466,0.3120601,1.256115,-0.7682258,-14.11594,-18.77039,-0.1046448
7,97.78729,6.860535,0.04120548,1.385678,-0.8425889,-6.564514,-2.377167,-20.90356
8,105.751,7.963684,-0.1328794,1.629504,-0.832635,7.440931,7.701252,-5.789215
9,109.7717,4.020691,-0.03569906,1.898377,-0.7665267,23.47677,2.230565,13.80421
10,118.4256,8.653931,-0.01005255,1.783726,-0.8088528,16.48269,0.6006631,3.454815
11,137.3822,18.9566,0.03577665,1.76559,-0.813422,15.40201,-2.126709,24.77569
12,157.8199,20.43768,0.3888496,1.3184,-0.7532262,-10.46295,-23.29248,12.50981
13,163.8461,6.026184,0.7308517,1.502424,-0.5325321,0.1388715,-46.95801,-3.708954
14,170.3946,6.548523,0.5686628,1.883566,-0.5776672,22.55475,-38.00717,-6.749725
15,173.2687,2.874084,0.1422592,2.030324,-0.6857743,32.02735,-9.659882,-9.658295
16,180.6867,7.41803,0.07673319,1.740414,-0.8176328,13.91096,-4.534058,-7.118805
17,198.8859,18.19916,-0.2946762,1.472056,-0.8051884,-1.601318,17.14503,-17.46991
18,207.8771,8.991272,0.1561475,1.904019,-0.751325,23.82965,-9.828491,10.04256
19,212.1511,4.273926,0.08893868,2.101348,-0.644022,36.96648,-6.391083,24.56585
20,217.8779,5.726868,0.2400244,1.873774,-0.7459246,21.94859,-14.99774,16.72151
21,224.3161,6.438171,0.2751725,1.936446,-0.7066182,25.87736,-17.80862,-2.015594
22,235.7745,11.45837,0.1653719,1.913637,-0.7452971,24.43349,-10.46524,22.6
23,242.546,6.771484,0.6184049,1.775574,-0.5859582,15.9962,-40.0394,-4.564026
24,245.5089,2.962891,0.3209983,1.926603,-0.695559,25.25216,-20.78818,21.96739
25,249.7967,4.287842,0.5012913,1.674346,-0.6975321,10.04058,-30.60312,6.091793
26,263.5208,13.72412,0.6981264,1.897503,-0.4454918,23.4222,-49.53629,5.015316
27,267.127,3.606201,0.3585995,2.059504,-0.597236,34.02152,-25.63641,-0.8401489
28,273.8878,6.760742,0.4286001,1.654922,-0.7401129,8.912284,-25.71136,-20.94275
29,284.1469,10.25916,0.4603159,2.064701,-0.5349976,34.38157,-33.90094,-10.06412
30,287.532,3.385132,0.5681055,2.086801,-0.4269927,35.93034,-44.55533,-25.07553
31,294.3145,6.782471,0.2759958,1.722287,-0.7851015,12.84339,-16.444,-25.52576
32,298.3469,4.032349,-0.2163213,1.720352,-0.8011309,12.72971,12.81316,0.9477425
33,303.1475,4.800659,-0.576879,1.59979,-0.6607111,5.727099,35.43459,21.32614
34,307.7917,4.644165,-0.306123,1.109501,-0.7182162,-22.98553,19.42207,10.29319
35,310.1863,2.394653,-0.641008,0.9945202,-0.4275803,-30.36322,47.97956,6.711175
36,312.7256,2.539307,-0.3034998,0.9951863,-0.6581157,-30.319,20.58441,17.49599
37,317.0361,4.310425,-0.009630932,0.9483062,-0.6839911,-33.48331,0.6616223,-9.348633
38,324.6432,7.607178,0.2648655,1.237944,-0.7779939,-15.19211,-15.92966,17.56794
39,330.5909,5.947632,0.4503823,1.074896,-0.6351385,-25.15729,-29.84006,11.01638
