InteractionNumber,ElapsedTime,SplitTime,tposX,tposY,tposZ,trotX,trotY,trotZ
0,37.567380,37.567380,-4.371139E-08,1.5,-0.85,0,2.504478E-06,0
1,41.05347,3.486084,0.2409016,1.077647,1.023833,-24.98322,-164.5873,-9.029816
2,54.17371,13.12024,-0.1511666,1.432581,1.136207,-3.865753,171.2855,20.30885
3,77.76428,23.59058,-0.3682121,1.2025,1.03086,-17.3075,157.3144,2.345085
4,87.61023,9.845947,-0.6228423,1.044342,0.7859584,-27.1073,135.597,3.511163
5,128.7511,41.14087,-0.6174028,1.296261,0.9098053,-11.75571,140.9034,-16.2009
6,135.8926,7.141479,-0.3120602,1.256115,1.068226,-14.11594,161.2296,-0.1046448
7,150.594,14.70142,-0.04120557,1.385678,1.142589,-6.564514,177.6228,-20.90356
8,172.8258,22.23181,0.1328793,1.629504,1.132635,7.440931,-172.2988,-5.789215
9,173.8278,1.001953,0.03569898,1.898377,1.066527,23.47677,-177.7694,13.80421
10,180.0762,6.248413,0.01005246,1.783726,1.108853,16.48269,-179.3994,3.454815
11,192.2386,12.16248,-0.03577673,1.76559,1.113422,15.40201,177.8733,24.77569
12,202.3846,10.146,-0.3888496,1.3184,1.053226,-10.46295,156.7076,12.50981
13,210.2155,7.830811,-0.7308517,1.502424,0.832532,0.1388715,133.042,-3.708954
14,219.8274,9.611938,-0.5686629,1.883566,0.8776672,22.55475,141.9928,-6.749725
15,222.5338,2.706421,-0.1422592,2.030324,0.9857743,32.02735,170.3401,-9.658295
16,231.7338,9.199951,-0.07673328,1.740414,1.117633,13.91096,175.4659,-7.118805
17,242.7379,11.00415,0.2946762,1.472056,1.105188,-1.601318,-162.855,-17.46991
18,254.3993,11.66138,-0.1561475,1.904019,1.051325,23.82965,170.1715,10.04256
19,274.158,19.75867,-0.08893874,2.101348,0.9440219,36.96649,173.6089,24.56585
20,301.7576,27.59961,-0.2400245,1.873774,1.045925,21.94859,165.0022,16.72151
21,311.1726,9.415039,-0.2751725,1.936446,1.006618,25.87736,162.1914,-2.015594
22,344.1151,32.9425,-0.165372,1.913637,1.045297,24.43348,169.5347,22.6
23,350.9209,6.805786,-0.6184049,1.775574,0.8859583,15.9962,139.9606,-4.564026
24,364.8982,13.97729,-0.3209983,1.926603,0.9955591,25.25216,159.2118,21.96739
25,372.2272,7.328979,-0.5012914,1.674346,0.997532,10.04058,149.3969,6.091794
26,376.6151,4.387939,-0.6981264,1.897503,0.7454919,23.4222,130.4637,5.015316
27,388.7886,12.17346,-0.3585996,2.059504,0.897236,34.02152,154.3636,-0.8401489
28,393.5334,4.744873,-0.4286002,1.654922,1.040113,8.912284,154.2886,-20.94275
29,402.4662,8.932739,-0.460316,2.064701,0.8349975,34.38156,146.099,-10.06412
30,410.2406,7.774414,-0.5681056,2.086801,0.7269926,35.93034,135.4447,-25.07553
31,420.3444,10.10376,-0.2759961,1.722287,1.085101,12.84338,163.556,-25.52576
32,468.5251,48.18079,0.216321,1.720352,1.101131,12.72971,-167.1869,0.9477425
33,474.9956,6.470459,0.5768788,1.59979,0.9607112,5.727098,-144.5654,21.32615
34,487.504,12.50842,0.3061228,1.109501,1.018216,-22.98553,-160.578,10.29319
35,492.5272,5.023193,0.6410077,0.9945202,0.7275805,-30.36322,-132.0205,6.711176
36,500.4353,7.908081,0.3034994,0.9951863,0.9581158,-30.319,-159.4156,17.49599
37,520.572,20.13672,0.009630462,0.9483062,0.9839911,-33.48331,-179.3384,-9.348633
38,527.8678,7.295776,-0.2648661,1.237944,1.077994,-15.19211,164.0703,17.56794
39,532.9685,5.100708,-0.4503826,1.074896,0.9351382,-25.15726,150.1599,11.01637
