InteractionNumber,ElapsedTime,SplitTime,tposX,tposY,tposZ,trotX,trotY,trotZ
0,11.983890,11.983890,-4.371139E-08,1.5,-0.85,0,2.504478E-06,0
1,17.89795,5.914063,0.2409016,1.077647,-0.7238332,-24.98322,-15.41266,-9.029816
2,22.88794,4.98999,-0.1511666,1.432581,-0.8362066,-3.865753,8.714518,20.30885
3,29.94922,7.061279,-0.3682121,1.2025,-0.7308596,-17.3075,22.68563,2.345084
4,32.82275,2.873535,-0.6228423,1.044342,-0.4859584,-27.1073,44.40303,3.511163
5,38.20215,5.379395,-0.6174028,1.296261,-0.6098053,-11.75571,39.09662,-16.2009
6,44.37231,6.170166,-0.3120602,1.256115,-0.7682258,-14.11594,18.7704,-0.1046448
7,50.56519,6.192871,-0.04120557,1.385678,-0.8425889,-6.564514,2.377168,-20.90356
8,54.37402,3.808838,0.1328793,1.629504,-0.832635,7.44093,-7.701233,-5.789215
9,56.17871,1.804688,0.03569898,1.898377,-0.7665267,23.47677,-2.23056,13.80421
10,57.75977,1.581055,0.01005246,1.783726,-0.8088528,16.48269,-0.600647,3.454814
11,62.24902,4.489258,-0.03577673,1.76559,-0.813422,15.40202,2.126705,24.77569
12,66.79321,4.544189,-0.3888496,1.3184,-0.7532262,-10.46295,23.29246,12.50981
13,69.58911,2.795898,-0.7308517,1.502424,-0.532532,0.1388714,46.95802,-3.708954
14,77.17334,7.584229,-0.5686629,1.883566,-0.5776671,22.55475,38.00719,-6.749725
15,78.94434,1.770996,-0.1422592,2.030324,-0.6857743,32.02736,9.659877,-9.658295
16,82.92065,3.976318,-0.07673328,1.740414,-0.8176328,13.91096,4.534067,-7.118805
17,86.28442,3.36377,0.2946762,1.472056,-0.8051884,-1.601318,-17.14502,-17.46991
18,88.95728,2.672852,-0.1561475,1.904019,-0.751325,23.82965,9.828495,10.04256
19,92.68848,3.731201,-0.08893874,2.101348,-0.644022,36.96648,6.391084,24.56585
20,97.43286,4.744385,-0.2400245,1.873774,-0.7459246,21.94859,14.99774,16.72151
21,100.7729,3.340088,-0.2751725,1.936446,-0.7066182,25.87736,17.80865,-2.015594
22,106.5996,5.82666,-0.165372,1.913637,-0.7452971,24.43349,10.46525,22.6
23,110.0078,3.408203,-0.6184049,1.775574,-0.5859582,15.9962,40.03938,-4.564026
24,112.1794,2.171631,-0.3209983,1.926603,-0.695559,25.25216,20.78819,21.96739
25,116.2454,4.065918,-0.5012914,1.674346,-0.6975321,10.04058,30.60313,6.091793
26,119.4653,3.219971,-0.6981264,1.897503,-0.4454918,23.4222,49.5363,5.015317
27,121.8364,2.371094,-0.3585996,2.059504,-0.597236,34.02152,25.63642,-0.8401489
28,125.323,3.486572,-0.4286002,1.654922,-0.7401129,8.912282,25.71138,-20.94275
29,169.3281,44.00513,-0.460316,2.064701,-0.5349975,34.38157,33.90097,-10.06412
30,174.4856,5.157471,-0.5681056,2.086801,-0.4269926,35.93034,44.55533,-25.07556
31,179.6086,5.123047,-0.2759961,1.722287,-0.7851014,12.84338,16.44402,-25.52576
32,183.7407,4.13208,0.216321,1.720352,-0.801131,12.7297,-12.81314,0.9477425
33,187.1377,3.396973,0.5768788,1.59979,-0.6607112,5.727099,-35.43457,21.32615
34,192.4949,5.357178,0.3061228,1.109501,-0.7182163,-22.98553,-19.42206,10.29319
35,200.1028,7.60791,0.6410077,0.9945202,-0.4275805,-30.36322,-47.97952,6.711174
36,203.2659,3.163086,0.3034994,0.9951863,-0.6581159,-30.31903,-20.58438,17.49599
37,206.8518,3.585938,0.009630462,0.9483062,-0.6839912,-33.48331,-0.6615906,-9.348633
38,210.072,3.220215,-0.2648661,1.237944,-0.7779937,-15.19211,15.9297,17.56793
39,214.1138,4.041748,-0.4503826,1.074896,-0.6351383,-25.15726,29.84008,11.01638
