InteractionNumber,ElapsedTime,SplitTime,tposX,tposY,tposZ,trotX,trotY,trotZ
0,2.2719690,2.2719690,-0.2409017,1.077647,1.023833,-24.98322,164.5873,-9.029816
1,4.576408,2.30444,0.1511665,1.432581,1.136207,-3.865753,-171.2855,20.30885
2,7.327065,2.750656,0.368212,1.2025,1.03086,-17.3075,-157.3144,2.345085
3,10.749,3.42194,0.6228421,1.044342,0.7859584,-27.1073,-135.597,3.511163
4,12.30774,1.558731,0.6174026,1.296261,0.9098054,-11.75571,-140.9034,-16.2009
5,13.45478,1.147049,0.3120601,1.256115,1.068226,-14.11594,-161.2296,-0.1046448
6,14.99187,1.537086,0.04120548,1.385678,1.142589,-6.564514,-177.6228,-20.90356
7,16.54,1.548126,-0.1328794,1.629504,1.132635,7.44093,172.2988,-5.789215
8,18.33307,1.793068,-0.03569906,1.898377,1.066527,23.47677,177.7694,13.80421
9,19.258,0.9249306,-0.01005255,1.783726,1.108853,16.48269,179.3993,3.454815
10,20.79478,1.536785,0.03577665,1.76559,1.113422,15.40201,-177.8733,24.77569
11,22.26148,1.466702,0.3888496,1.3184,1.053226,-10.46295,-156.7076,12.50981
12,23.76826,1.506783,0.7308517,1.502424,0.832532,0.1388713,-133.042,-3.708954
13,25.36126,1.592995,0.5686628,1.883566,0.8776672,22.55475,-141.9928,-6.749725
14,27.12097,1.759712,0.1422592,2.030324,0.9857744,32.02735,-170.3401,-9.658295
15,28.4467,1.325729,0.07673319,1.740414,1.117633,13.91096,-175.4659,-7.118805
16,30.02776,1.581062,-0.2946762,1.472056,1.105188,-1.601318,162.855,-17.46991
17,32.241,2.213234,0.1561475,1.904019,1.051325,23.82965,-170.1715,10.04256
18,33.91502,1.674019,0.08893868,2.101348,0.9440219,36.96648,-173.6089,24.56585
19,35.04722,1.132202,0.2400244,1.873774,1.045925,21.94859,-165.0023,16.72151
20,36.18687,1.139648,0.2751725,1.936446,1.006618,25.87735,-162.1914,-2.015594
21,37.86861,1.68174,0.1653719,1.913637,1.045297,24.43349,-169.5347,22.6
22,39.48408,1.615471,0.6184049,1.775574,0.8859583,15.9962,-139.9606,-4.564026
23,41.177,1.692924,0.3209983,1.926603,0.9955591,25.25216,-159.2118,21.96739
24,42.61388,1.436874,0.5012913,1.674346,0.9975321,10.04058,-149.3969,6.091793
25,44.03956,1.425682,0.6981264,1.897503,0.7454919,23.4222,-130.4637,5.015317
26,45.39865,1.359093,0.3585995,2.059504,0.897236,34.02152,-154.3636,-0.8401489
27,47.36678,1.968132,0.4286001,1.654922,1.040113,8.91228,-154.2886,-20.94275
28,49.08614,1.719353,0.4603159,2.064701,0.8349975,34.38156,-146.099,-10.06412
29,51.04491,1.958771,0.5681055,2.086801,0.7269927,35.93033,-135.4447,-25.07553
30,52.6679,1.622993,0.2759958,1.722287,1.085101,12.84339,-163.556,-25.52576
31,54.23169,1.563789,-0.2163213,1.720352,1.101131,12.7297,167.1868,0.9477426
32,56.22424,1.992546,-0.576879,1.59979,0.960711,5.727099,144.5654,21.32614
33,57.82291,1.598679,-0.306123,1.109501,1.018216,-22.98553,160.5779,10.29319
34,59.48783,1.664917,-0.641008,0.9945202,0.7275803,-30.36319,132.0204,6.711177
35,60.89117,1.403343,-0.3034998,0.9951863,0.9581157,-30.319,159.4156,17.49599
36,62.22739,1.336212,-0.009630932,0.9483062,0.9839911,-33.48331,179.3384,-9.348633
37,63.87581,1.648422,0.2648655,1.237944,1.077994,-15.19211,-164.0703,17.56794
38,65.2012,1.325394,0.4503823,1.074896,0.9351385,-25.15729,-150.1599,11.01638
39,66.90511,1.703911,0.01785488,0.9378985,0.9768755,-34.20126,-178.763,2.554253
