InteractionNumber,ElapsedTime,SplitTime,tposX,tposY,tposZ,trotX,trotY,trotZ
0,11.360240,11.360240,-0.2409018,1.922353,1.023833,24.98322,164.5873,-9.029816
1,51.11233,39.75209,0.1511665,1.567419,1.136207,3.865766,-171.2855,20.30885
2,57.04865,5.936325,0.368212,1.7975,1.03086,17.30749,-157.3144,2.345085
3,60.53487,3.486221,0.6228421,1.955658,0.7859584,27.10731,-135.597,3.511163
4,64.77826,4.243385,0.6174026,1.703739,0.9098054,11.75572,-140.9034,-16.20093
5,69.44597,4.667709,0.3120601,1.743885,1.068226,14.11595,-161.2296,-0.1046448
6,76.76339,7.317421,0.04120548,1.614322,1.142589,6.564518,-177.6228,-20.90356
7,95.0835,18.32011,-0.1328794,1.370496,1.132635,-7.440918,172.2988,-5.789215
8,103.5491,8.465576,-0.03569907,1.101623,1.066527,-23.47675,177.7694,13.80421
9,107.614,4.064957,-0.01005255,1.216274,1.108853,-16.48267,179.3993,3.454815
10,121.6485,14.0345,0.03577665,1.23441,1.113422,-15.40201,-177.8733,24.77569
11,133.2757,11.62713,0.3888496,1.6816,1.053226,10.46297,-156.7076,12.50981
12,147.2319,13.95627,0.7308517,1.497576,0.832532,-0.138855,-133.042,-3.708954
13,150.1497,2.917786,0.5686628,1.116434,0.8776673,-22.55475,-141.9928,-6.749725
14,168.3712,18.22144,0.1422592,0.9696759,0.9857744,-32.02734,-170.3401,-9.658295
15,172.0355,3.664368,0.07673319,1.259587,1.117633,-13.91095,-175.4659,-7.118805
16,178.5295,6.493988,-0.2946762,1.527945,1.105188,1.601315,162.855,-17.46991
17,194.3447,15.81519,0.1561475,1.095981,1.051325,-23.82965,-170.1715,10.04256
18,210.8623,16.51758,0.08893868,0.8986525,0.9440221,-36.96649,-173.6089,24.56585
19,214.9609,4.098663,0.2400244,1.126226,1.045925,-21.94858,-165.0023,16.72151
20,218.1133,3.152374,0.2751725,1.063554,1.006618,-25.87738,-162.1914,-2.015594
21,222.4454,4.332062,0.1653719,1.086363,1.045297,-24.43347,-169.5347,22.6
22,234.218,11.77264,0.6184049,1.224427,0.8859583,-15.99619,-139.9606,-4.564026
23,256.2045,21.98651,0.3209984,1.073397,0.9955591,-25.25214,-159.2118,21.96739
24,260.7154,4.510864,0.5012913,1.325655,0.9975321,-10.04056,-149.3969,6.091794
25,267.5281,6.812714,0.6981264,1.102497,0.7454919,-23.42218,-130.4637,5.015316
26,269.5142,1.986084,0.3585995,0.9404961,0.8972361,-34.02151,-154.3636,-0.8401489
27,276.0632,6.549042,0.4286001,1.345078,1.040113,-8.912292,-154.2886,-20.94275
28,278.8028,2.739563,0.4603158,0.9352984,0.8349975,-34.38156,-146.099,-10.06412
29,294.1933,15.39047,0.5681055,0.9131988,0.7269926,-35.93036,-135.4447,-25.07553
30,302.0057,7.812439,0.2759958,1.277713,1.085101,-12.84338,-163.556,-25.52576
31,309.6884,7.682648,-0.2163213,1.279648,1.101131,-12.72971,167.1868,0.9477425
32,318.5878,8.899414,-0.576879,1.40021,0.960711,-5.727112,144.5654,21.32614
33,322.709,4.121185,-0.306123,1.890499,1.018216,22.98553,160.5779,10.29319
34,329.2581,6.549164,-0.641008,2.00548,0.7275804,30.3632,132.0205,6.711175
35,332.8677,3.609589,-0.3034998,2.004814,0.9581157,30.31899,159.4156,17.49599
36,340.1397,7.272003,-0.009630932,2.051694,0.983991,33.48331,179.3384,-9.348633
37,344.1378,3.998047,0.2648655,1.762056,1.077994,15.19212,-164.0703,17.56794
38,349.1502,5.012421,0.4503822,1.925104,0.9351385,25.15726,-150.1599,11.01638
39,353.4164,4.266174,0.01785488,2.062101,0.9768755,34.20126,-178.763,2.554254
