InteractionNumber,ElapsedTime,SplitTime,tposX,tposY,tposZ,trotX,trotY,trotZ
0,9.176270,9.176270,-4.371139E-08,1.5,1.15,0,180,0
1,35.73877,26.5625,-0.2409018,1.922353,-0.7238333,24.98321,15.41267,-9.029816
2,39.13672,3.397949,0.1511665,1.567419,-0.8362066,3.865766,-8.714508,20.30885
3,63.09424,23.95752,0.368212,1.7975,-0.7308598,17.30749,-22.68564,2.345084
4,84.16699,21.07275,0.6228421,1.955658,-0.4859584,27.10731,-44.40302,3.511163
5,93.67871,9.511719,0.6174026,1.703739,-0.6098053,11.75572,-39.09662,-16.2009
6,106.7319,13.05322,0.3120601,1.743885,-0.7682258,14.11595,-18.77039,-0.1046448
7,111.957,5.225098,0.04120548,1.614322,-0.8425888,6.564517,-2.377167,-20.90356
8,119.1504,7.193359,-0.1328794,1.370496,-0.8326352,-7.440918,7.701252,-5.789215
9,121.0669,1.916504,-0.03569907,1.101623,-0.7665268,-23.47675,2.230565,13.80421
10,123.3164,2.249512,-0.01005255,1.216274,-0.8088529,-16.48267,0.6006629,3.454815
11,136.2031,12.88672,0.03577665,1.23441,-0.8134221,-15.40201,-2.126709,24.77569
12,141.248,5.044922,0.3888496,1.6816,-0.753226,10.46297,-23.29248,12.50981
13,153.4111,12.16309,0.7308517,1.497576,-0.5325321,-0.138855,-46.95801,-3.708954
14,157.8105,4.399414,0.5686628,1.116434,-0.5776672,-22.55475,-38.0072,-6.749725
15,164.9834,7.172852,0.1422592,0.9696759,-0.6857743,-32.02737,-9.659882,-9.658295
16,179.585,14.60156,0.07673319,1.259587,-0.8176329,-13.91095,-4.534058,-7.118805
17,216.752,37.16699,-0.2946762,1.527945,-0.8051884,1.601314,17.14503,-17.46991
18,229.1602,12.4082,0.1561475,1.095981,-0.7513251,-23.82965,-9.828491,10.04256
19,230.4512,1.291016,0.08893868,0.8986525,-0.6440221,-36.96649,-6.391083,24.56585
20,234.2168,3.765625,0.2400244,1.126226,-0.7459246,-21.94858,-14.99774,16.72151
21,236.79,2.573242,0.2751725,1.063554,-0.7066182,-25.87738,-17.80862,-2.015594
22,239.9741,3.184082,0.1653719,1.086363,-0.7452971,-24.43353,-10.46524,22.6
23,245.2871,5.312988,0.6184049,1.224427,-0.5859582,-15.99619,-40.0394,-4.564026
24,248.6177,3.330566,0.3209984,1.073397,-0.6955591,-25.25214,-20.78818,21.96739
25,257.7632,9.145508,0.5012913,1.325655,-0.6975321,-10.04059,-30.60312,6.091793
26,263.7656,6.002441,0.6981264,1.102497,-0.4454919,-23.42218,-49.53629,5.015316
27,269.8022,6.036621,0.3585995,0.9404961,-0.597236,-34.02151,-25.63641,-0.8401489
28,275.5938,5.791504,0.4286001,1.345078,-0.7401129,-8.912292,-25.71136,-20.94275
29,288.5137,12.91992,0.4603158,0.9352984,-0.5349975,-34.38159,-33.90097,-10.06412
30,296.0981,7.584473,0.5681055,0.9131988,-0.4269926,-35.93036,-44.55533,-25.07553
31,300.4082,4.310059,0.2759958,1.277713,-0.7851015,-12.84338,-16.444,-25.52576
32,317.9849,17.57666,-0.2163213,1.279648,-0.8011309,-12.72971,12.81316,0.9477425
33,325.9585,7.973633,-0.576879,1.40021,-0.6607111,-5.727112,35.43459,21.32614
34,328.7544,2.795898,-0.306123,1.890499,-0.7182163,22.98553,19.42207,10.29319
35,331.4614,2.707031,-0.641008,2.00548,-0.4275804,30.36321,47.97956,6.711175
36,338.0479,6.586426,-0.3034998,2.004814,-0.6581157,30.31899,20.58441,17.49599
37,358.0249,19.97705,-0.009630932,2.051694,-0.6839911,33.48331,0.6616219,-9.348633
38,369.7866,11.76172,0.2648655,1.762056,-0.7779939,15.19212,-15.92966,17.56794
39,374.4644,4.677734,0.4503822,1.925104,-0.6351384,25.15726,-29.84006,11.01638
